event_id,seq,ts_ms,ax,ay,az,gx,gy,gz
1,0,10889,-3912,-79,-1180,-2,4,-3
1,1,10902,-3910,-99,-1178,0,3,-2
1,2,10914,-3921,-101,-1161,-1,3,-4
1,3,10927,-3917,-95,-1151,0,5,-3
1,4,10939,-3923,-94,-1141,1,2,-2
1,5,10952,-3921,-98,-1152,0,4,-2
1,6,10964,-3914,-103,-1166,1,5,-4
1,7,10977,-3911,-107,-1179,-3,4,-3
1,8,10990,-3913,-114,-1183,-1,4,-2
1,9,11002,-3920,-91,-1170,1,3,-1
1,10,11015,-3922,-81,-1163,-1,3,-2
1,11,11028,-3921,-70,-1141,2,3,-2
1,12,11040,-3917,-74,-1162,1,2,-2
1,13,11053,-3919,-98,-1171,1,4,0
1,14,11065,-3918,-112,-1174,1,3,-2
1,15,11078,-3918,-115,-1164,-1,3,-3
1,16,11091,-3914,-109,-1170,-2,4,-1
1,17,11103,-3918,-96,-1167,-1,2,0
1,18,11116,-3920,-87,-1158,-2,3,0
1,19,11128,-3922,-77,-1144,0,4,-2
1,20,11141,-3925,-84,-1162,-2,4,-4
1,21,11154,-3914,-102,-1175,0,3,-2
1,22,11166,-3916,-111,-1187,-2,2,-3
1,23,11179,-3913,-115,-1186,-1,3,-3
1,24,11192,-3920,-100,-1165,-2,4,-4
1,25,11204,-3924,-92,-1140,-2,2,-2
1,26,11217,-3928,-79,-1127,0,4,-2
1,27,11229,-3928,-69,-1135,2,3,-2
1,28,11242,-3910,-82,-1196,-2,7,-2
1,29,11254,-3904,-106,-1205,-1,5,-2
1,30,11267,-3908,-111,-1202,-2,2,-5
1,31,11280,-3908,-118,-1172,-2,2,0
1,32,11292,-3925,-86,-1130,1,3,-2
1,33,11305,-3930,-64,-1126,-1,3,-3
1,34,11318,-3934,-53,-1127,-1,5,-3
1,35,11330,-3923,-56,-1145,1,5,-3
1,36,11343,-3909,-113,-1200,1,4,-4
1,37,11355,-3905,-145,-1184,0,2,-4
1,38,11368,-3919,-148,-1161,0,1,-2
1,39,11381,-3922,-126,-1152,1,1,-4
1,40,11393,-3924,-61,-1153,-1,1,0
1,41,11406,-3925,-42,-1150,-1,4,-3
1,42,11419,-3919,-51,-1164,1,4,-3
1,43,11431,-3914,-87,-1169,1,1,-1
1,44,11444,-3920,-144,-1150,-2,7,-2
