event_id,seq,ts_ms,ax,ay,az,gx,gy,gz
2,1000,515327331,45,-1405,3923,37,-234,272
2,1001,515334838,218,-1807,3852,58,-293,203
2,1002,515342285,238,-2416,4081,65,-359,116
2,1003,515349731,371,-2235,4426,65,-581,-120
2,1004,515357177,371,-2235,4426,120,-774,-216
2,1005,515364624,724,-1387,4924,465,-1430,-328
2,1006,515372070,978,-722,4278,342,-1148,-349
2,1007,515379516,1324,-550,3236,252,-132,-271
2,1008,515386962,1324,-550,3236,355,258,-199
2,1009,515394409,1458,-510,3238,513,714,-125
2,1010,515401855,1297,-465,3721,546,629,-107
2,1011,515409301,1194,-292,3447,574,468,-43
2,1012,515416748,1194,-292,3447,571,575,30
2,1013,515424194,970,-268,3341,374,800,110
2,1014,515431640,637,-416,3565,239,810,116
2,1015,515439178,661,-619,3606,38,656,144
2,1016,515446655,661,-619,3606,-20,587,149
2,1017,515454101,949,-878,3444,26,616,186
2,1018,515461547,1104,-965,3347,67,718,200
2,1019,515468994,896,-688,3466,97,1032,233
2,1020,515476440,896,-688,3466,112,1060,250
2,1021,515483917,478,-434,3843,187,824,264
2,1022,515491363,0,-899,3737,255,743,255
2,1023,515498809,-202,-1311,3643,422,443,86
2,1024,515506256,-202,-1311,3643,528,324,8
2,1025,515513702,9,-977,3875,604,232,-85
2,1026,515521148,576,-763,4883,471,195,-99
2,1027,515528625,1256,-874,5285,-87,151,22
2,1028,515536132,1256,-874,5285,-278,63,72
2,1029,515543579,926,-846,4509,-282,-155,55
2,1030,515551025,951,-927,3699,-172,-188,67
2,1031,515558471,1096,-818,3475,111,-68,163
2,1032,515565917,1096,-818,3475,162,65,211
2,1033,515573394,895,-935,3885,77,198,278
2,1034,515580841,775,-1285,4182,-48,199,270
2,1035,515588287,683,-1241,4084,-226,130,209
2,1036,515595733,683,-1241,4084,-245,61,183
2,1037,515603179,282,-765,4153,-106,-148,183
2,1038,515610626,65,-589,4335,28,-318,184
2,1039,515618103,384,-758,4173,261,-606,141
2,1040,515625549,384,-758,4173,284,-684,113
2,1041,515632995,689,-822,3866,339,-580,104
2,1042,515640441,599,-892,3872,358,-492,80
2,1043,515647888,553,-1014,4185,368,-345,45
2,1044,515655334,553,-1014,4185,350,-323,22
2,1045,515662872,563,-1047,4355,313,-345,-19
2,1046,515670318,629,-1012,4222,294,-348,-33
2,1047,515677764,651,-943,4092,254,-334,-51
2,1048,515685272,651,-943,4092,224,-321,-55
2,1049,515692718,611,-812,4060,170,-314,-60
2,1050,515700164,627,-824,4018,161,-331,-66
2,1051,515707641,691,-910,3983,167,-338,-63
2,1052,515715087,691,-910,3983,173,-323,-64
2,1053,515722534,708,-860,4014,167,-310,-73
2,1054,515729980,728,-721,4063,146,-315,-71
2,1055,515737426,764,-592,4018,136,-340,-76
2,1056,515744873,764,-592,4018,146,-352,-75
2,1057,515752349,817,-518,3943,192,-330,-88
2,1058,515759796,879,-560,3992,206,-332,-97
2,1059,515767242,873,-706,4027,229,-319,-125
2,1060,515774688,873,-706,4027,229,-306,-133
2,1061,515782135,887,-891,4024,243,-288,-133
2,1062,515789642,878,-1030,3989,237,-274,-129
2,1063,515797149,875,-1085,4012,205,-193,-105
2,1064,515804687,875,-1085,4012,166,-199,-105
2,1065,515812194,724,-973,4108,52,-224,141
2,1066,515819641,856,-471,3968,233,34,97
2,1067,515827087,1239,-880,4130,39,-331,-29
2,1068,515834533,1239,-880,4130,99,-379,35
2,1069,515841979,773,-769,3920,110,-412,34
2,1070,515849426,733,-868,3888,141,-425,84
2,1071,515856872,796,-1207,4062,518,-273,123
2,1072,515864318,796,-1207,4062,456,-380,5
2,1073,515871765,1214,-669,4053,249,-418,-32
2,1074,515879211,1071,-282,3835,119,-411,-79
2,1075,515886657,893,-389,3832,105,-363,17
2,1076,515894104,893,-389,3832,204,-382,46
2,1077,515901550,909,-793,4033,199,-532,-21
2,1078,515908996,920,-1175,3915,200,-493,-10
2,1079,515916442,1090,-912,4110,209,-376,-178
2,1080,515924011,1090,-912,4110,133,-410,-59
2,1081,515931457,769,-1053,4190,474,-370,-79
2,1082,515938903,1128,-472,4109,394,-452,-128
2,1083,515946350,1224,-496,3750,122,-309,-74
2,1084,515953796,1224,-496,3750,50,-258,-77
2,1085,515961242,1144,-532,3971,80,-236,-46
2,1086,515968688,1209,-548,4082,106,-254,-41
2,1087,515976135,1092,-537,3917,88,-223,-80
2,1088,515983642,1092,-537,3917,85,-202,-78
2,1089,515991088,1118,-512,3942,84,-151,-66
