event_id,seq,ts_us,ax,ay,az,gx,gy,gz
1,0,52270,1348,-16463,-1688,-1,-38,-46
1,1,52275,1410,-16403,-1505,3,-45,-45
1,2,52280,1534,-16327,-1379,5,-51,-48
1,3,52285,1498,-16272,-1232,3,-57,-46
1,4,52290,1502,-16264,-1200,1,-58,-43
1,5,52295,1598,-16168,-1225,-2,-49,-41
1,6,52300,1693,-16102,-1360,-6,-33,-36
1,7,52305,1735,-16107,-1256,-7,-17,-33
1,8,52310,1707,-16175,-1274,-17,3,-31
1,9,52315,1620,-16105,-1258,-20,25,-31
1,10,52320,1556,-16097,-1269,-24,44,-24
1,11,52325,1460,-16163,-1212,-26,58,-18
1,12,52330,1408,-16320,-1401,-32,65,-15
1,13,52335,1329,-16325,-1268,-28,60,-12
1,14,52340,1562,-16265,-1232,-25,46,-17
1,15,52345,1315,-16301,-1259,-28,37,-15
1,16,52350,1305,-16333,-1222,-26,24,-16
1,17,52355,1341,-16419,-1364,-26,16,-15
1,18,52360,1376,-16442,-1445,-24,12,-14
1,19,52365,1405,-16388,-1449,-22,6,-12
1,20,52370,1298,-16392,-1402,-22,-3,-11
1,21,52375,1182,-16406,-1270,-21,-14,-14
1,22,52380,1200,-16442,-1236,-21,-23,-15
1,23,52385,1267,-16427,-1296,-19,-30,-13
1,24,52390,1314,-16396,-1327,-16,-39,-13
1,25,52395,1300,-16350,-1352,-14,-46,-14
1,26,52400,1403,-16260,-1275,-14,-50,-15
1,27,52405,1462,-16241,-1241,-17,-44,-15
1,28,52410,1643,-16235,-1167,-21,-26,-11
1,29,52415,1789,-16239,-1371,-28,7,-6
1,30,52420,1617,-16155,-1106,-29,47,5
1,31,52425,1469,-16292,-1412,-47,72,5
1,32,52430,1382,-16321,-1293,-43,87,-2
1,33,52435,1453,-16285,-1142,-43,105,1
1,34,52440,902,-16552,-1452,-53,127,11
1,35,52445,1112,-16526,-1299,-45,117,7
1,36,52450,1051,-16560,-1302,-43,100,11
1,37,52455,947,-16631,-1362,-38,69,4
1,38,52460,923,-16667,-1334,-27,29,-4
1,39,52465,865,-16706,-1434,-23,-6,-8
1,40,52470,890,-16699,-1336,-16,-35,-11
1,41,52475,977,-16630,-1368,-9,-58,-13
1,42,52480,1141,-16509,-1498,-2,-98,-18
1,43,52485,1208,-16462,-1360,3,-113,-22
1,44,52490,1299,-16453,-1301,5,-117,-23
1,45,52495,1406,-16447,-1292,3,-116,-23
1,46,52500,1684,-16349,-1320,7,-102,-17
1,47,52505,1666,-16281,-1177,4,-84,-15
1,48,52510,2045,-16267,-1519,-4,-62,-18
1,49,52515,1999,-16144,-1140,-2,-19,-12
1,50,52520,1782,-16270,-1418,-23,32,-4
1,51,52525,1775,-16213,-1307,-21,75,-2
1,52,52530,1683,-16231,-1354,-29,122,8
1,53,52535,1276,-16340,-1368,-35,152,15
1,54,52540,1222,-16321,-1215,-30,148,11
1,55,52545,1006,-16422,-1153,-31,135,13
1,56,52550,786,-16477,-1127,-25,103,9
1,57,52555,858,-16512,-1120,-13,55,3
1,58,52560,836,-16482,-1201,-6,5,-1
1,59,52565,902,-16378,-1152,4,-45,-9
1,60,52570,1117,-16277,-1209,9,-87,-16
1,61,52575,1240,-16248,-1316,15,-109,-18
1,62,52580,1147,-16263,-1172,22,-111,-16
1,63,52585,1376,-16198,-1390,16,-107,-21
1,64,52590,1672,-16103,-1489,15,-86,-19
1,65,52595,1470,-16080,-1358,12,-56,-13
1,66,52600,1562,-16086,-1420,7,-29,-15
1,67,52605,1703,-16061,-1311,2,6,-14
1,68,52610,1624,-16100,-1207,-6,45,-7
1,69,52615,1611,-16129,-1230,-10,76,-2
1,70,52620,1528,-16118,-1229,-14,102,1
1,71,52625,1413,-16171,-1294,-17,119,4
1,72,52630,1277,-16261,-1226,-16,120,2
1,73,52635,1240,-16340,-1298,-17,112,2
1,74,52640,1174,-16367,-1278,-13,98,1
1,75,52645,1181,-16398,-1318,-7,76,-2
