event_id,seq,ts_us,ax,ay,az,gx,gy,gz
1,0,51838,-648,-16413,-1437,-66,-105,13
1,1,51843,-630,-16368,-1607,-65,-120,12
1,2,51848,-555,-16306,-1695,-65,-123,14
1,3,51853,-411,-16275,-1758,-69,-117,17
1,4,51858,-256,-16314,-1812,-67,-94,18
1,5,51863,-294,-16331,-1820,-66,-63,14
1,6,51868,-419,-16308,-1894,-63,-36,10
1,7,51873,-503,-16259,-1929,-60,-12,10
1,8,51878,-538,-16224,-1980,-60,11,13
1,9,51883,-520,-16303,-1989,-58,39,14
1,10,51888,-500,-16309,-1898,-56,63,16
1,11,51893,-473,-16369,-1828,-56,85,15
1,12,51898,-527,-16370,-1770,-56,106,11
1,13,51903,-666,-16336,-1766,-52,122,6
1,14,51908,-776,-16316,-1672,-50,130,5
1,15,51913,-865,-16307,-1613,-50,132,4
1,16,51918,-909,-16305,-1456,-49,122,5
1,17,51923,-953,-16268,-1324,-47,99,6
1,18,51928,-971,-16228,-1248,-47,68,7
1,19,51933,-929,-16250,-1210,-47,30,9
1,20,51938,-965,-16232,-1166,-45,-9,8
1,21,51943,-979,-16225,-1048,-44,-53,6
1,22,51948,-919,-16252,-1025,-45,-101,8
1,23,51953,-826,-16347,-1166,-45,-146,10
1,24,51958,-833,-16439,-1368,-46,-179,8
1,25,51963,-704,-16410,-1438,-47,-191,8
1,26,51968,-580,-16385,-1534,-48,-187,9
1,27,51973,-492,-16357,-1601,-45,-172,11
1,28,51978,-510,-16361,-1750,-43,-144,11
1,29,51983,-577,-16363,-1882,-43,-114,8
1,30,51988,-660,-16360,-1879,-39,-89,9
1,31,51993,-768,-16312,-1852,-37,-62,7
1,32,51998,-764,-16265,-1859,-37,-33,7
1,33,52003,-650,-16290,-1870,-35,-2,9
1,34,52008,-560,-16303,-1928,-31,29,11
1,35,52013,-587,-16270,-1869,-30,58,11
1,36,52018,-689,-16292,-1726,-28,78,6
1,37,52023,-885,-16288,-1538,-25,87,4
1,38,52028,-991,-16329,-1478,-23,85,5
1,39,52033,-979,-16341,-1451,-21,68,7
1,40,52038,-1002,-16371,-1407,-18,44,8
1,41,52043,-986,-16456,-1311,-16,10,9
1,42,52048,-1014,-16456,-1296,-17,-23,9
1,43,52053,-983,-16485,-1309,-13,-47,9
1,44,52058,-933,-16494,-1429,-10,-58,9
1,45,52063,-831,-16532,-1557,-11,-60,9
1,46,52068,-710,-16604,-1595,-12,-57,7
1,47,52073,-579,-16618,-1625,-10,-46,9
1,48,52078,-545,-16632,-1628,-8,-28,11
1,49,52083,-596,-16617,-1638,-7,-4,9
1,50,52088,-589,-16637,-1675,-4,23,5
1,51,52093,-666,-16611,-1670,-1,47,5
1,52,52098,-670,-16564,-1598,-3,59,6
1,53,52103,-618,-16497,-1472,-2,60,11
1,54,52108,-640,-16494,-1448,-1,62,11
1,55,52113,-726,-16501,-1425,0,58,9
1,56,52118,-796,-16466,-1393,2,49,6
1,57,52123,-814,-16450,-1385,1,33,7
1,58,52128,-787,-16392,-1399,2,9,10
1,59,52133,-815,-16395,-1340,3,-16,10
1,60,52138,-797,-16419,-1364,5,-45,9
1,61,52143,-867,-16374,-1386,5,-69,8
1,62,52148,-803,-16372,-1362,4,-94,7
1,63,52153,-762,-16282,-1368,4,-119,8
1,64,52158,-649,-16240,-1387,6,-140,8
1,65,52163,-625,-16229,-1519,7,-153,9
1,66,52168,-631,-16270,-1616,7,-161,6
1,67,52173,-622,-16255,-1626,4,-161,5
1,68,52178,-502,-16177,-1585,5,-154,5
1,69,52183,-437,-16186,-1639,7,-139,5
1,70,52188,-413,-16228,-1715,8,-114,4
1,71,52193,-457,-16210,-1732,7,-88,1
1,72,52198,-524,-16173,-1676,6,-68,0
1,73,52203,-619,-16210,-1703,8,-52,0
1,74,52208,-638,-16311,-1727,8,-37,1
1,75,52213,-631,-16389,-1699,8,-21,-2
1,76,52218,-565,-16452,-1592,7,-8,-5
1,77,52223,-574,-16494,-1576,6,4,-2
1,78,52228,-495,-16468,-1639,4,14,-3
1,79,52233,-518,-16423,-1605,5,27,-9
1,80,52238,-531,-16401,-1549,5,34,-9
1,81,52243,-614,-16380,-1525,3,33,-8
1,82,52248,-715,-16435,-1457,3,20,-9
1,83,52253,-793,-16409,-1361,2,2,-10
1,84,52258,-812,-16378,-1351,2,-23,-12
1,85,52263,-836,-16337,-1417,3,-51,-10
1,86,52268,-843,-16338,-1400,1,-87,-10
1,87,52273,-838,-16375,-1447,1,-117,-10
1,88,52278,-812,-16412,-1551,0,-144,-13
1,89,52283,-786,-16476,-1599,-1,-162,-14
1,90,52288,-646,-16472,-1658,-2,-164,-12
1,91,52293,-533,-16465,-1752,-4,-150,-15
1,92,52298,-482,-16470,-1758,-3,-123,-17
1,93,52303,-506,-16559,-1778,-5,-95,-18
1,94,52308,-549,-16591,-1768,-5,-67,-21
1,95,52313,-625,-16549,-1704,-7,-43,-24
