event_id,seq,ts_ms,ax,ay,az,gx,gy,gz
2,0,29896,-1128,-15947,-3720,0,3,7
2,1,29901,-1152,-15960,-3691,2,-1,7
2,2,29906,-1140,-15957,-3659,4,-7,7
2,3,29911,-1176,-15934,-3752,3,-10,6
2,4,29916,-1160,-15926,-3736,2,-11,4
2,5,29921,-1162,-15899,-3725,2,-16,4
2,6,29926,-1161,-15913,-3767,2,-21,9
2,7,29931,-1136,-15921,-3777,2,-18,9
2,8,29936,-1146,-15904,-3759,4,-16,9
2,9,29941,-1178,-15930,-3776,4,-14,8
2,10,29946,-1219,-15917,-3767,4,-15,6
2,11,29951,-1236,-15930,-3730,6,-16,8
2,12,29956,-1268,-15894,-3756,8,-16,10
2,13,29961,-1216,-15918,-3744,5,-10,7
2,14,29966,-1259,-15974,-3756,4,-8,10
2,15,29971,-1245,-15971,-3776,3,-12,7
2,16,29976,-1246,-15964,-3767,5,-15,6
2,17,29981,-1210,-15877,-3729,4,-16,6
2,18,29986,-1207,-15839,-3769,5,-13,4
2,19,29991,-1219,-15835,-3764,5,-8,4
2,20,29996,-1223,-15895,-3789,5,3,4
2,21,30001,-1298,-15902,-3769,6,4,0
2,22,30006,-1312,-15915,-3787,9,-3,0
2,23,30011,-1308,-15926,-3753,7,-2,2
2,24,30016,-1264,-15913,-3702,4,6,0
2,25,30021,-1248,-15942,-3627,6,6,-2
2,26,30026,-1245,-15979,-3635,7,-2,0
2,27,30031,-1234,-15953,-3708,5,-12,0
2,28,30036,-1182,-15979,-3755,4,-15,-1
2,29,30041,-1165,-15955,-3724,4,-15,2
2,30,30046,-1110,-15921,-3668,7,-20,-1
2,31,30051,-1163,-15950,-3756,8,-20,-3
2,32,30056,-1151,-15890,-3838,9,-12,-3
2,33,30061,-1134,-15887,-3788,9,-6,-3
2,34,30066,-1146,-15941,-3731,8,-2,-1
2,35,30071,-1163,-15927,-3730,10,-4,-4
2,36,30076,-1186,-15967,-3759,7,-4,-3
2,37,30081,-1192,-15976,-3720,6,-1,-3
2,38,30086,-1178,-15978,-3682,8,-4,-5
2,39,30091,-1133,-15987,-3626,8,-10,-1
2,40,30096,-1107,-15941,-3609,4,-14,-1
2,41,30101,-1174,-15940,-3648,5,-19,-4
2,42,30106,-1199,-15925,-3739,9,-25,-4
2,43,30111,-1180,-15924,-3764,6,-26,-3
2,44,30116,-1174,-15912,-3724,7,-20,-5
2,45,30121,-1216,-15892,-3689,6,-20,-5
2,46,30126,-1198,-15906,-3764,6,-22,-7
2,47,30131,-1159,-15909,-3777,6,-15,-6
2,48,30136,-1228,-15941,-3705,5,-12,-5
2,49,30141,-1238,-15960,-3715,7,-8,-4
2,50,30146,-1243,-15970,-3733,7,-11,-4
2,51,30151,-1186,-15994,-3670,3,-13,-5
2,52,30156,-1178,-15974,-3641,5,-13,-5
2,53,30161,-1196,-15990,-3693,7,-18,-4
2,54,30166,-1208,-15966,-3746,6,-22,-6
2,55,30171,-1132,-15941,-3793,6,-20,-6
2,56,30176,-1171,-15945,-3793,5,-13,-8
2,57,30181,-1232,-15947,-3772,3,-7,-6
2,58,30186,-1208,-15907,-3775,3,-9,-6
2,59,30191,-1204,-15906,-3738,1,-3,-8
2,60,30196,-1212,-15971,-3696,5,1,-7
2,61,30201,-1241,-15996,-3690,7,-2,-10
2,62,30206,-1255,-15982,-3702,4,-10,-9
2,63,30211,-1265,-15976,-3691,4,-13,-6
2,64,30216,-1234,-16024,-3698,5,-12,-9
2,65,30221,-1187,-15999,-3748,2,-13,-9
2,66,30226,-1212,-15974,-3749,5,-14,-10
2,67,30231,-1176,-16024,-3744,6,-10,-10
2,68,30236,-1160,-16002,-3758,4,-6,-10
2,69,30241,-1200,-15941,-3781,2,-3,-10
2,70,30246,-1159,-15897,-3718,5,-2,-9
2,71,30251,-1161,-15865,-3702,5,-3,-12
2,72,30256,-1251,-15817,-3749,5,-3,-14
2,73,30261,-1218,-15847,-3760,5,-2,-11
2,74,30266,-1193,-15876,-3774,5,0,-10
2,75,30271,-1192,-15892,-3771,5,-3,-10
2,76,30276,-1161,-15908,-3751,5,-9,-10
2,77,30281,-1159,-15935,-3786,3,-8,-11
2,78,30286,-1123,-15902,-3798,4,-1,-12
2,79,30291,-1171,-15939,-3777,5,1,-9
2,80,30296,-1183,-15978,-3782,3,1,-8
2,81,30301,-1158,-15990,-3744,3,-2,-9
2,82,30306,-1123,-16000,-3706,4,1,-10
2,83,30311,-1092,-16004,-3730,5,1,-11
2,84,30316,-1160,-15991,-3670,3,0,-9
2,85,30321,-1153,-15998,-3661,3,-6,-10
