event_id,seq,ts_ms,ax,ay,az,gx,gy,gz
16,0,724356,-1635,-16028,-3306,-2,24,3
16,1,724361,-1623,-16053,-3241,-5,24,3
16,2,724366,-1668,-16001,-3222,-4,16,5
16,3,724371,-1663,-15972,-3232,-1,7,8
16,4,724376,-1674,-15953,-3256,-5,3,6
16,5,724381,-1704,-15929,-3273,-4,-4,5
16,6,724386,-1703,-15953,-3268,-1,-9,5
16,7,724391,-1674,-15947,-3289,0,-10,3
16,8,724396,-1624,-15937,-3311,-3,-13,2
16,9,724401,-1624,-15936,-3330,-3,-14,2
16,10,724406,-1652,-15942,-3382,-1,-11,3
16,11,724411,-1644,-15963,-3319,0,-11,3
16,12,724416,-1647,-15952,-3332,1,-6,2
16,13,724421,-1640,-15969,-3333,1,-3,2
16,14,724426,-1583,-15977,-3267,0,-3,3
16,15,724431,-1584,-15957,-3226,-1,-4,-1
16,16,724436,-1609,-15963,-3256,0,-7,-2
16,17,724441,-1655,-15961,-3324,1,-14,-2
16,18,724446,-1643,-15990,-3333,5,-13,-2
16,19,724451,-1631,-16037,-3331,4,-9,-1
16,20,724456,-1646,-16010,-3317,2,-9,-1
16,21,724461,-1686,-15976,-3341,1,-7,-5
16,22,724466,-1661,-15992,-3324,0,-2,-6
16,23,724471,-1626,-16006,-3332,3,2,-4
16,24,724476,-1654,-16057,-3327,4,8,-6
16,25,724481,-1694,-16056,-3262,6,9,-9
16,26,724486,-1691,-16031,-3224,4,9,-11
16,27,724491,-1683,-16012,-3221,2,9,-11
16,28,724496,-1654,-15987,-3196,4,4,-10
16,29,724501,-1637,-15978,-3217,3,-2,-9
16,30,724506,-1632,-16041,-3231,6,-12,-9
16,31,724511,-1614,-16019,-3262,5,-18,-10
16,32,724516,-1598,-16047,-3223,5,-20,-9
16,33,724521,-1547,-16043,-3287,4,-19,-9
16,34,724526,-1570,-16052,-3316,3,-16,-13
16,35,724531,-1594,-16030,-3273,3,-16,-12
16,36,724536,-1595,-16002,-3302,4,-16,-11
16,37,724541,-1636,-16008,-3298,3,-12,-11
16,38,724546,-1656,-16005,-3247,4,-13,-10
16,39,724551,-1622,-16002,-3228,4,-11,-10
16,40,724556,-1599,-15967,-3252,3,-8,-10
16,41,724561,-1608,-16008,-3290,3,-6,-11
16,42,724566,-1598,-16000,-3286,5,-10,-11
16,43,724571,-1640,-15977,-3259,5,-13,-13
16,44,724576,-1626,-15985,-3274,5,-15,-12
16,45,724581,-1610,-16008,-3288,5,-16,-10
16,46,724586,-1573,-15989,-3253,4,-15,-9
16,47,724591,-1550,-16009,-3254,4,-15,-9
16,48,724596,-1567,-15998,-3304,5,-11,-11
16,49,724601,-1587,-15947,-3261,4,-11,-12
16,50,724606,-1618,-15961,-3325,4,-11,-9
16,51,724611,-1611,-15965,-3351,5,-10,-9
