event_id,seq,ts_ms,ax,ay,az,gx,gy,gz,putt_start_valid,impact_seq
1,0,25756,1448,-16378,1387,0,-52,0,1,382
1,1,25761,1508,-16369,1356,-2,-57,1,1,382
1,2,25766,1528,-16416,1365,0,-55,1,1,382
1,3,25771,1451,-16394,1419,0,-51,1,1,382
1,4,25776,1514,-16391,1367,1,-57,3,1,382
1,5,25781,1514,-16381,1400,1,-54,5,1,382
1,6,25786,1596,-16405,1337,0,-51,6,1,382
1,7,25791,1525,-16368,1418,-1,-43,2,1,382
1,8,25796,1470,-16390,1427,0,-49,0,1,382
1,9,25801,1440,-16377,1382,2,-50,4,1,382
1,10,25806,1516,-16359,1345,1,-47,7,1,382
1,11,25811,1521,-16407,1353,0,-34,5,1,382
1,12,25816,1429,-16379,1374,1,-30,3,1,382
1,13,25821,1391,-16437,1298,2,-30,2,1,382
1,14,25826,1393,-16421,1288,1,-29,1,1,382
1,15,25831,1425,-16416,1356,1,-23,3,1,382
1,16,25836,1434,-16416,1425,0,-11,0,1,382
1,17,25841,1436,-16386,1394,1,-13,0,1,382
1,18,25846,1417,-16385,1429,3,-7,-1,1,382
1,19,25851,1475,-16400,1384,2,-2,-2,1,382
1,20,25856,1461,-16437,1368,2,1,0,1,382
1,21,25861,1404,-16382,1415,0,-3,0,1,382
1,22,25866,1403,-16387,1409,2,-4,2,1,382
1,23,25871,1442,-16378,1391,2,-4,1,1,382
1,24,25876,1478,-16396,1401,2,-2,3,1,382
1,25,25881,1452,-16359,1425,-1,-1,2,1,382
1,26,25886,1407,-16394,1447,0,-4,2,1,382
1,27,25891,1347,-16400,1409,1,-6,0,1,382
1,28,25896,1415,-16384,1407,1,-9,-1,1,382
1,29,25901,1394,-16422,1429,1,-9,2,1,382
1,30,25906,1393,-16389,1391,2,-11,2,1,382
1,31,25911,1396,-16378,1395,3,-10,1,1,382
1,32,25916,1399,-16401,1427,2,-7,1,1,382
1,33,25921,1430,-16367,1385,2,-6,2,1,382
1,34,25926,1415,-16411,1393,3,-7,0,1,382
1,35,25931,1399,-16421,1417,2,-4,1,1,382
1,36,25936,1366,-16403,1348,0,-2,-1,1,382
1,37,25941,1388,-16432,1362,2,3,-1,1,382
1,38,25946,1425,-16391,1367,7,5,-1,1,382
1,39,25951,1432,-16377,1378,5,9,-2,1,382
1,40,25956,1470,-16438,1412,3,8,-2,1,382
1,41,25961,1421,-16438,1416,2,7,-3,1,382
1,42,25966,1400,-16435,1412,3,7,-1,1,382
1,43,25971,1431,-16400,1418,3,11,0,1,382
1,44,25976,1392,-16377,1400,2,13,-2,1,382
1,45,25981,1384,-16387,1452,0,12,-2,1,382
1,46,25986,1392,-16415,1478,2,11,-1,1,382
1,47,25991,1401,-16390,1466,3,9,-2,1,382
1,48,25996,1354,-16412,1455,2,9,1,1,382
1,49,26001,1353,-16382,1458,3,13,-2,1,382
1,50,26006,1348,-16388,1474,1,11,-2,1,382
1,51,26011,1385,-16380,1454,1,9,-1,1,382
1,52,26016,1476,-16325,1496,1,10,-1,1,382
1,53,26021,1488,-16355,1551,2,11,0,1,382
1,54,26026,1504,-16402,1555,3,4,0,1,382
1,55,26031,1578,-16368,1553,0,-8,1,1,382
1,56,26036,1651,-16430,1644,0,-13,4,1,382
1,57,26041,1652,-16361,1716,-1,-17,7,1,382
1,58,26046,1724,-16357,1810,-4,-23,7,1,382
1,59,26051,1817,-16303,1869,-8,-23,10,1,382
1,60,26056,1928,-16284,1810,-6,-20,13,1,382
1,61,26061,1916,-16336,1769,-7,-16,15,1,382
1,62,26066,1980,-16378,1628,-11,-20,17,1,382
1,63,26071,2103,-16448,1488,-10,-17,22,1,382
1,64,26076,2506,-16374,1425,-16,-5,36,1,382
1,65,26081,2529,-16311,1502,-16,-7,40,1,382
1,66,26086,2589,-16377,1355,-16,-24,44,1,382
1,67,26091,2609,-16385,1134,-15,-28,53,1,382
1,68,26096,2673,-16442,1055,-16,-15,60,1,382
1,69,26101,2506,-16396,1084,-18,-2,61,1,382
1,70,26106,2287,-16384,1144,-18,-1,64,1,382
1,71,26111,2094,-16383,1203,-14,0,65,1,382
1,72,26116,1968,-16386,1198,-15,15,66,1,382
1,73,26121,1873,-16400,1295,-20,47,66,1,382
1,74,26126,1676,-16354,1438,-22,81,67,1,382
1,75,26131,1536,-16384,1471,-19,97,66,1,382
1,76,26136,1453,-16389,1455,-19,110,64,1,382
1,77,26141,1538,-16416,1313,-21,123,61,1,382
1,78,26146,1477,-16393,1384,-23,148,60,1,382
1,79,26151,1360,-16400,1385,-24,169,61,1,382
1,80,26156,1340,-16400,1441,-27,183,56,1,382
1,81,26161,1286,-16388,1438,-25,195,55,1,382
1,82,26166,1175,-16373,1391,-28,212,51,1,382
1,83,26171,1023,-16384,1313,-29,231,46,1,382
1,84,26176,937,-16442,1241,-27,249,44,1,382
1,85,26181,923,-16470,1172,-27,267,39,1,382
1,86,26186,832,-16469,1161,-28,291,34,1,382
1,87,26191,816,-16430,1223,-30,308,29,1,382
1,88,26196,884,-16387,1330,-29,317,28,1,382
1,89,26201,969,-16407,1300,-28,328,24,1,382
1,90,26206,1030,-16411,1242,-28,342,21,1,382
1,91,26211,975,-16572,1043,-25,357,19,1,382
1,92,26216,827,-16972,469,-22,391,13,1,382
1,93,26221,678,-17283,101,-23,476,12,1,382
1,94,26226,702,-17582,-312,-22,594,15,1,382
1,95,26231,792,-18069,17,-23,747,11,1,382
1,96,26236,1035,-18412,692,-20,858,17,1,382
1,97,26241,1346,-18768,1450,-9,884,28,1,382
1,98,26246,1497,-19003,1764,-4,822,40,1,382
1,99,26251,1588,-19288,1807,1,718,53,1,382
1,100,26256,1547,-19461,1989,5,608,71,1,382
1,101,26261,1537,-19536,2288,10,497,91,1,382
1,102,26266,1608,-19612,2337,19,374,113,1,382
1,103,26271,1701,-19669,2104,29,247,131,1,382
1,104,26276,1745,-19707,1867,37,122,150,1,382
1,105,26281,1825,-19682,1803,44,-3,173,1,382
1,106,26286,2027,-19685,1805,50,-112,192,1,382
1,107,26291,2057,-19691,1262,56,-191,212,1,382
1,108,26296,2086,-19554,865,73,-200,228,1,382
1,109,26301,1683,-19473,851,75,-149,242,1,382
1,110,26306,1786,-19336,632,86,-120,255,1,382
1,111,26311,1912,-19329,761,94,-81,275,1,382
1,112,26316,2253,-19266,433,100,-53,290,1,382
1,113,26321,2367,-18936,718,108,17,302,1,382
1,114,26326,2166,-18795,690,115,90,314,1,382
1,115,26331,2062,-18514,707,127,173,330,1,382
1,116,26336,2129,-18392,722,133,265,349,1,382
1,117,26341,2212,-18148,908,140,346,359,1,382
1,118,26346,2197,-17934,1014,150,396,380,1,382
1,119,26351,1911,-17716,1107,156,455,398,1,382
1,120,26356,1582,-17415,1125,165,533,406,1,382
1,121,26361,1437,-17200,1149,171,626,424,1,382
1,122,26366,1323,-16987,1402,176,712,443,1,382
1,123,26371,1326,-16782,1627,181,754,456,1,382
1,124,26376,1079,-16716,1927,190,782,478,1,382
1,125,26381,851,-16640,2006,197,789,492,1,382
1,126,26386,647,-16620,2233,206,799,508,1,382
1,127,26391,489,-16499,2592,212,814,526,1,382
1,128,26396,385,-16294,2764,217,797,542,1,382
1,129,26401,20,-16141,2683,221,759,559,1,382
1,130,26406,-343,-15961,2706,227,723,571,1,382
1,131,26411,-552,-15734,2961,230,693,587,1,382
1,132,26416,-635,-15588,3167,236,666,605,1,382
1,133,26421,-690,-15489,3011,244,642,617,1,382
1,134,26426,-901,-15407,2847,249,623,625,1,382
1,135,26431,-1032,-15271,2872,254,606,638,1,382
1,136,26436,-1088,-15153,2967,255,587,653,1,382
1,137,26441,-1090,-15113,2505,267,614,676,1,382
1,138,26446,-1107,-15060,2503,271,636,681,1,382
1,139,26451,-1144,-14920,2732,274,637,694,1,382
1,140,26456,-1174,-14866,2773,274,638,707,1,382
1,141,26461,-1327,-14868,2470,283,657,720,1,382
1,142,26466,-1455,-14915,2242,288,704,729,1,382
1,143,26471,-1565,-14903,2337,288,760,739,1,382
1,144,26476,-1685,-14828,2574,290,797,749,1,382
1,145,26481,-1766,-14788,2727,292,814,757,1,382
1,146,26486,-1840,-14808,2703,298,815,771,1,382
1,147,26491,-1880,-14811,2894,303,819,783,1,382
1,148,26496,-2017,-14743,3072,303,802,796,1,382
1,149,26501,-2147,-14685,3275,312,769,812,1,382
1,150,26506,-2392,-14734,3194,313,717,828,1,382
1,151,26511,-2467,-14506,3058,319,651,836,1,382
1,152,26516,-2476,-14461,3270,321,593,856,1,382
1,153,26521,-2564,-14398,3634,322,526,866,1,382
1,154,26526,-2671,-14442,3506,330,444,879,1,382
1,155,26531,-2854,-14538,3223,330,389,892,1,382
1,156,26536,-3025,-14533,3060,335,357,901,1,382
1,157,26541,-3050,-14576,3065,337,335,910,1,382
1,158,26546,-2940,-14606,3008,341,311,923,1,382
1,159,26551,-2892,-14659,2743,350,290,936,1,382
1,160,26556,-2999,-14696,2548,350,288,943,1,382
1,161,26561,-3109,-14674,2554,352,297,954,1,382
1,162,26566,-3139,-14688,2533,356,311,963,1,382
1,163,26571,-2887,-14769,2410,367,324,980,1,382
1,164,26576,-2509,-14778,2413,370,338,990,1,382
1,165,26581,-2474,-14662,2633,371,344,1002,1,382
1,166,26586,-2732,-14596,2738,372,327,1010,1,382
1,167,26591,-2984,-14659,2564,377,310,1024,1,382
1,168,26596,-2954,-14733,2289,382,311,1042,1,382
1,169,26601,-2755,-14773,2458,385,332,1056,1,382
1,170,26606,-2696,-14699,2805,385,342,1060,1,382
1,171,26611,-2956,-14692,2978,388,323,1074,1,382
1,172,26616,-3334,-14684,2606,391,280,1085,1,382
1,173,26621,-3441,-14777,2308,392,279,1105,1,382
1,174,26626,-3450,-14838,2705,392,324,1112,1,382
1,175,26631,-3360,-14784,3035,396,341,1120,1,382
1,176,26636,-3528,-14796,3036,400,326,1133,1,382
1,177,26641,-3722,-14731,2833,398,302,1139,1,382
1,178,26646,-4002,-14730,2928,397,285,1152,1,382
1,179,26651,-3980,-14770,3084,397,277,1164,1,382
1,180,26656,-3781,-14848,3161,398,270,1175,1,382
1,181,26661,-3777,-14850,3202,398,258,1179,1,382
1,182,26666,-4166,-14837,3195,401,223,1184,1,382
1,183,26671,-4489,-14885,3152,399,175,1196,1,382
1,184,26676,-4387,-14923,3001,398,141,1208,1,382
1,185,26681,-4098,-14949,2859,399,139,1213,1,382
1,186,26686,-4225,-14944,2941,400,151,1214,1,382
1,187,26691,-4687,-14961,2811,399,161,1219,1,382
1,188,26696,-5036,-14974,2609,398,177,1220,1,382
1,189,26701,-5086,-14984,2503,394,214,1223,1,382
1,190,26706,-5076,-15016,2668,388,270,1224,1,382
1,191,26711,-5129,-14998,2854,388,319,1219,1,382
1,192,26716,-5103,-14958,3159,387,350,1222,1,382
1,193,26721,-5203,-14885,3186,379,343,1222,1,382
1,194,26726,-5247,-14757,3149,375,320,1220,1,382
1,195,26731,-5522,-14950,3353,369,325,1223,1,382
1,196,26736,-5680,-14967,3189,366,318,1217,1,382
1,197,26741,-5840,-15080,2944,368,324,1220,1,382
1,198,26746,-5986,-15087,3175,358,357,1215,1,382
1,199,26751,-6079,-15024,3512,353,353,1208,1,382
1,200,26756,-6210,-15012,3627,353,310,1207,1,382
1,201,26761,-6283,-14979,3405,348,273,1201,1,382
1,202,26766,-6477,-14890,3726,341,266,1191,1,382
1,203,26771,-6662,-14834,3974,334,222,1187,1,382
1,204,26776,-6703,-14753,3848,333,154,1186,1,382
1,205,26781,-6635,-14746,3690,332,107,1178,1,382
1,206,26786,-6750,-14691,3830,323,89,1167,1,382
1,207,26791,-6823,-14641,3981,321,47,1157,1,382
1,208,26796,-6631,-14699,3755,316,-8,1153,1,382
1,209,26801,-6504,-14644,3750,310,-33,1139,1,382
1,210,26806,-6577,-14536,3480,300,-71,1116,1,382
1,211,26811,-6718,-14535,3068,298,-71,1103,1,382
1,212,26816,-6829,-14574,2903,291,-29,1093,1,382
1,213,26821,-6680,-14515,2918,283,34,1078,1,382
1,214,26826,-6638,-14493,3003,277,103,1062,1,382
1,215,26831,-6678,-14430,2933,272,147,1046,1,382
1,216,26836,-6866,-14388,2995,265,193,1030,1,382
1,217,26841,-6922,-14386,3223,258,224,1016,1,382
1,218,26846,-6867,-14386,3455,253,238,1006,1,382
1,219,26851,-6644,-14442,3510,253,238,997,1,382
1,220,26856,-6626,-14407,3767,244,242,978,1,382
1,221,26861,-6836,-14375,3896,235,210,962,1,382
1,222,26866,-7183,-14393,3620,229,160,952,1,382
1,223,26871,-7344,-14427,3363,226,141,939,1,382
1,224,26876,-7385,-14418,3298,223,156,921,1,382
1,225,26881,-7411,-14393,3625,211,180,904,1,382
1,226,26886,-7526,-14225,3779,206,166,886,1,382
1,227,26891,-7785,-14168,3769,201,134,870,1,382
1,228,26896,-7909,-14088,3688,197,110,848,1,382
1,229,26901,-7909,-13994,3822,190,98,830,1,382
1,230,26906,-7758,-13944,3909,183,84,814,1,382
1,231,26911,-7686,-13852,4241,175,61,793,1,382
1,232,26916,-7825,-13775,3773,173,-9,774,1,382
1,233,26921,-8181,-13829,3468,160,-17,756,1,382
1,234,26926,-8230,-13799,3576,155,12,732,1,382
1,235,26931,-8077,-13840,3662,150,32,715,1,382
1,236,26936,-8041,-13827,3386,146,36,691,1,382
1,237,26941,-8181,-13887,3473,143,47,667,1,382
1,238,26946,-8103,-13892,3450,131,48,647,1,382
1,239,26951,-7863,-13815,3658,122,56,626,1,382
1,240,26956,-7815,-13737,3777,117,58,604,1,382
1,241,26961,-8021,-13742,3656,113,51,580,1,382
1,242,26966,-8203,-13782,3474,108,43,560,1,382
1,243,26971,-8189,-13760,3402,101,52,539,1,382
1,244,26976,-8129,-13751,3475,96,67,521,1,382
1,245,26981,-8089,-13687,3616,89,76,497,1,382
1,246,26986,-8147,-13671,3678,83,79,469,1,382
1,247,26991,-8324,-13669,3606,78,81,448,1,382
1,248,26996,-8430,-13617,3664,71,79,430,1,382
1,249,27001,-8248,-13581,3716,66,72,414,1,382
1,250,27006,-8109,-13525,3817,56,67,388,1,382
1,251,27011,-8208,-13476,3947,49,61,364,1,382
1,252,27016,-8419,-13422,3799,40,49,339,1,382
1,253,27021,-8669,-13432,3552,33,49,319,1,382
1,254,27026,-8616,-13387,3447,29,61,296,1,382
1,255,27031,-8462,-13360,3566,17,80,270,1,382
1,256,27036,-8417,-13325,3777,11,98,244,1,382
1,257,27041,-8570,-13310,3687,2,110,214,1,382
1,258,27046,-8805,-13297,3435,-6,123,190,1,382
1,259,27051,-8930,-13266,3432,-16,149,164,1,382
1,260,27056,-8958,-13294,3604,-23,178,139,1,382
1,261,27061,-8944,-13371,3661,-28,195,112,1,382
1,262,27066,-8940,-13389,3716,-35,200,81,1,382
1,263,27071,-8932,-13474,3742,-42,190,57,1,382
1,264,27076,-8899,-13557,3897,-49,165,31,1,382
1,265,27081,-8812,-13580,4055,-55,118,8,1,382
1,266,27086,-8760,-13672,4011,-63,67,-16,1,382
1,267,27091,-8833,-13724,3888,-71,19,-39,1,382
1,268,27096,-8897,-13780,3836,-76,-24,-66,1,382
1,269,27101,-8865,-13775,3803,-81,-66,-93,1,382
1,270,27106,-8754,-13745,3695,-90,-102,-118,1,382
1,271,27111,-8700,-13738,3561,-95,-123,-144,1,382
1,272,27116,-8692,-13767,3457,-102,-132,-170,1,382
1,273,27121,-8766,-13803,3304,-113,-128,-194,1,382
1,274,27126,-8772,-13778,3132,-120,-104,-224,1,382
1,275,27131,-8664,-13742,3188,-130,-64,-258,1,382
1,276,27136,-8615,-13721,3347,-140,-29,-285,1,382
1,277,27141,-8567,-13704,3374,-146,-5,-313,1,382
1,278,27146,-8449,-13686,3382,-154,14,-342,1,382
1,279,27151,-8330,-13685,3475,-166,33,-368,1,382
1,280,27156,-8263,-13640,3591,-171,38,-394,1,382
1,281,27161,-8054,-13675,3560,-179,33,-419,1,382
1,282,27166,-7861,-13709,3452,-187,29,-445,1,382
1,283,27171,-8051,-13756,3210,-203,30,-498,1,382
1,284,27176,-8122,-13912,2990,-211,35,-519,1,382
1,285,27181,-7829,-14023,2865,-218,57,-543,1,382
1,286,27186,-7593,-14040,3006,-227,92,-572,1,382
1,287,27191,-7732,-14135,3150,-235,115,-603,1,382
1,288,27196,-7975,-14288,2994,-238,116,-627,1,382
1,289,27201,-7968,-14319,2749,-246,123,-652,1,382
1,290,27206,-7748,-14265,2849,-256,143,-678,1,382
1,291,27211,-7648,-14280,3178,-264,161,-704,1,382
1,292,27216,-7664,-14373,3307,-267,154,-727,1,382
1,293,27221,-7698,-14421,3153,-273,144,-756,1,382
1,294,27226,-7757,-14374,3065,-279,136,-780,1,382
1,295,27231,-7850,-14381,3217,-288,130,-803,1,382
1,296,27236,-7741,-14406,3313,-294,118,-827,1,382
1,297,27241,-7659,-14399,3281,-299,106,-854,1,382
1,298,27246,-7646,-14383,3148,-307,99,-882,1,382
1,299,27251,-7688,-14375,3173,-317,93,-906,1,382
1,300,27256,-7648,-14391,3233,-326,82,-927,1,382
1,301,27261,-7577,-14391,3244,-334,68,-951,1,382
1,302,27266,-7524,-14433,3220,-341,55,-974,1,382
1,303,27271,-7384,-14494,3207,-348,40,-998,1,382
1,304,27276,-7172,-14501,3269,-355,23,-1020,1,382
1,305,27281,-7049,-14483,3392,-365,-5,-1039,1,382
1,306,27286,-7066,-14569,3321,-370,-46,-1062,1,382
1,307,27291,-7107,-14722,2905,-378,-86,-1085,1,382
1,308,27296,-6946,-14850,2549,-385,-94,-1101,1,382
1,309,27301,-6628,-14973,2433,-393,-78,-1119,1,382
1,310,27306,-6394,-15020,2378,-400,-53,-1140,1,382
1,311,27311,-6383,-15047,2198,-405,-20,-1164,1,382
1,312,27316,-6445,-15033,1864,-414,31,-1190,1,382
1,313,27321,-6536,-15075,1697,-424,103,-1210,1,382
1,314,27326,-6442,-15148,1683,-428,190,-1229,1,382
1,315,27331,-6233,-15281,1845,-434,287,-1252,1,382
1,316,27336,-6208,-15326,2035,-435,370,-1280,1,382
1,317,27341,-6389,-15327,2108,-440,421,-1301,1,382
1,318,27346,-6512,-15288,2203,-445,445,-1318,1,382
1,319,27351,-6393,-15315,2426,-444,447,-1332,1,382
1,320,27356,-5840,-15323,2798,-445,426,-1343,1,382
1,321,27361,-5563,-15295,3194,-445,381,-1363,1,382
1,322,27366,-5583,-15339,3341,-447,296,-1377,1,382
