event_id,seq,ts_ms,ax,ay,az,gx,gy,gz
49,0,637955,13,-16352,3252,-14,141,-9
49,1,637960,130,-16297,3331,-9,99,-6
49,2,637965,264,-16232,3206,-5,65,-5
49,3,637970,110,-16256,3426,-4,27,-5
49,4,637975,22,-16166,3717,-9,-36,-2
49,5,637980,135,-15990,3653,0,-106,5
49,6,637985,336,-15999,3330,6,-155,14
49,7,637990,236,-16107,3039,5,-158,11
49,8,637995,-58,-16238,2862,3,-143,5
49,9,638000,-160,-16305,2768,2,-132,8
49,10,638005,-99,-16329,2727,1,-105,8
49,11,638010,-44,-16290,2643,1,-55,5
49,12,638015,-101,-16317,2559,2,7,-2
49,13,638020,-166,-16450,2602,2,86,-7
49,14,638025,-4,-16538,2851,-2,97,-9
49,15,638030,207,-16593,3070,0,104,-11
49,16,638035,287,-16513,3133,5,100,-12
49,17,638040,235,-16466,3156,7,73,-9
49,18,638045,39,-16473,3261,8,20,-9
49,19,638050,-94,-16537,3305,10,-49,-2
49,20,638055,-14,-16555,3052,12,-95,2
49,21,638060,76,-16525,2653,18,-95,6
49,22,638065,46,-16469,2675,15,-64,-1
49,23,638070,-75,-16303,2865,12,-38,-6
49,24,638075,-58,-16198,2947,11,-26,-5
49,25,638080,105,-16136,2939,12,-10,-6
49,26,638085,93,-16146,2977,10,20,-10
49,27,638090,-10,-16213,3101,7,41,-13
49,28,638095,-109,-16250,3127,7,33,-9
49,29,638100,44,-16256,2980,8,14,-6
49,30,638105,236,-16132,3055,8,10,-7
49,31,638110,273,-16086,3159,10,15,-8
49,32,638115,231,-16048,3095,10,11,-8
49,33,638120,90,-16067,2888,9,2,-6
49,34,638125,127,-16113,3014,6,-4,-3
49,35,638130,149,-16155,3078,3,-4,-5
49,36,638135,130,-16230,2959,5,4,-2
49,37,638140,-74,-16251,2737,5,18,-4
49,38,638145,8,-16260,2640,5,31,-5
49,39,638150,56,-16263,2971,2,47,-6
49,40,638155,207,-16307,3152,3,49,-5
49,41,638160,168,-16289,3114,6,49,-8
49,42,638165,154,-16319,2882,8,38,-11
49,43,638170,71,-16374,2971,2,24,-8
49,44,638175,54,-16429,3177,1,-2,-5
49,45,638180,63,-16414,3111,5,-35,-5
49,46,638185,51,-16362,2780,8,-49,-5
49,47,638190,46,-16288,2563,6,-37,-4
49,48,638195,141,-16214,2784,3,-18,-3
49,49,638200,264,-16154,3186,1,-21,-4
49,50,638205,354,-16148,3403,2,-46,-1
49,51,638210,364,-16127,3323,2,-62,1
49,52,638215,241,-16145,3216,1,-62,-3
49,53,638220,52,-16138,3132,1,-69,2
49,54,638225,-24,-16268,3004,4,-74,4
49,55,638230,83,-16364,2844,5,-79,4
