event_id,seq,ts_ms,ax,ay,az,gx,gy,gz
11,0,103710,-5022,-15889,401,-124,416,60
11,1,103715,-4956,-15753,314,-127,361,63
11,2,103720,-4869,-15642,270,-132,297,67
11,3,103725,-4791,-15580,304,-136,227,72
11,4,103730,-4736,-15503,136,-136,150,80
11,5,103735,-4685,-15469,-148,-137,90,86
11,6,103740,-4774,-15436,-231,-139,65,91
11,7,103745,-4743,-15394,-373,-143,55,93
11,8,103750,-4794,-15357,-510,-145,60,93
11,9,103755,-4844,-15396,-465,-148,79,93
11,10,103760,-4972,-15364,-385,-150,89,95
11,11,103765,-5004,-15362,-518,-152,94,95
11,12,103770,-5029,-15341,-408,-158,107,95
11,13,103775,-5046,-15312,-269,-157,92,98
11,14,103780,-5260,-15360,-232,-160,54,94
11,15,103785,-5628,-15438,-370,-156,3,95
11,16,103790,-5811,-15494,-477,-154,-49,99
11,17,103795,-5928,-15493,-465,-158,-96,99
11,18,103800,-6020,-15491,-533,-153,-147,97
11,19,103805,-6069,-15493,-639,-150,-206,94
11,20,103810,-6049,-15517,-837,-147,-275,93
11,21,103815,-5921,-15529,-998,-141,-329,92
11,22,103820,-5851,-15565,-1048,-137,-364,88
11,23,103825,-5819,-15605,-1169,-134,-383,84
11,24,103830,-5790,-15603,-1383,-131,-384,81
11,25,103835,-5686,-15640,-1562,-128,-367,75
11,26,103840,-5664,-15686,-1748,-120,-340,69
11,27,103845,-5669,-15799,-2001,-114,-303,64
11,28,103850,-5668,-15799,-2138,-110,-254,61
11,29,103855,-5539,-15747,-2226,-105,-208,56
11,30,103860,-5542,-15724,-2275,-100,-147,47
11,31,103865,-5546,-15701,-2409,-96,-84,42
11,32,103870,-5541,-15743,-2411,-90,-22,35
11,33,103875,-5541,-15777,-2311,-83,31,30
11,34,103880,-5540,-15877,-2227,-76,72,27
11,35,103885,-5499,-16047,-2082,-67,112,24
11,36,103890,-5490,-16133,-1993,-64,141,19
11,37,103895,-5592,-16138,-2059,-55,160,15
11,38,103900,-5731,-16152,-2017,-51,175,12
11,39,103905,-5800,-16099,-2023,-43,183,12
11,40,103910,-5755,-16072,-1941,-38,190,7
11,41,103915,-5557,-16069,-1891,-32,192,4
11,42,103920,-5467,-16150,-1827,-22,193,4
11,43,103925,-5373,-16156,-1712,-15,199,4
11,44,103930,-5095,-16152,-1689,-11,202,4
11,45,103935,-4863,-16107,-1571,-9,230,1
11,46,103940,-4898,-16037,-1432,-5,261,-2
11,47,103945,-4871,-15891,-1481,-2,284,-1
11,48,103950,-4674,-15712,-1574,-4,303,4
11,49,103955,-4522,-15535,-1510,-5,332,6
11,50,103960,-4632,-15381,-1213,-4,351,2
11,51,103965,-4685,-15313,-1144,0,340,8
11,52,103970,-4619,-15219,-1166,0,325,16
11,53,103975,-4966,-15216,-995,2,312,16
11,54,103980,-5237,-15159,-924,1,288,21
11,55,103985,-5309,-15136,-784,-1,265,25
11,56,103990,-5379,-15043,-784,-1,255,28
11,57,103995,-5541,-14961,-827,-1,259,24
11,58,104000,-5776,-14830,-899,-7,263,21
11,59,104005,-5761,-14700,-918,-10,251,20
11,60,104010,-5679,-14612,-987,-11,238,22
11,61,104015,-5689,-14648,-1118,-10,230,19
11,62,104020,-5748,-14691,-1188,-15,222,16
11,63,104025,-5646,-14641,-1277,-15,209,14
11,64,104030,-5509,-14647,-1414,-14,208,12
11,65,104035,-5433,-14591,-1491,-17,223,8
11,66,104040,-5469,-14534,-1392,-20,244,3
11,67,104045,-5428,-14454,-1350,-21,256,2
11,68,104050,-5234,-14345,-1440,-23,266,3
11,69,104055,-4885,-14334,-1655,-25,286,1
11,70,104060,-4870,-14358,-1628,-26,310,-4
11,71,104065,-5098,-14383,-1440,-28,310,-4
11,72,104070,-5252,-14347,-1513,-24,273,-1
11,73,104075,-5171,-14284,-1740,-21,240,4
11,74,104080,-5204,-14111,-1835,-23,225,0
11,75,104085,-5316,-13988,-1812,-22,196,-2
11,76,104090,-5537,-13822,-1714,-19,137,-1
11,77,104095,-5571,-13665,-1991,-14,62,3
11,78,104100,-5495,-13604,-2352,-12,17,5
11,79,104105,-5561,-13546,-2435,-8,7,-2
11,80,104110,-5547,-13460,-2419,-3,-8,-5
11,81,104115,-5347,-13389,-2295,-2,-27,-5
11,82,104120,-5183,-13442,-2461,5,-35,-6
11,83,104125,-5123,-13552,-2570,10,-11,-12
11,84,104130,-5150,-13559,-2537,9,23,-16
11,85,104135,-5162,-13570,-2324,9,46,-17
11,86,104140,-5222,-13689,-2212,11,50,-21
11,87,104145,-5257,-13846,-2227,14,54,-23
11,88,104150,-5245,-13976,-2183,15,65,-25
11,89,104155,-5247,-14075,-1969,16,59,-28
11,90,104160,-5272,-14185,-1907,21,21,-30
11,91,104165,-5195,-14260,-2014,25,-44,-30
11,92,104170,-5090,-14385,-2138,29,-119,-26
