event_id,seq,ts_ms,ax,ay,az,gx,gy,gz
5,0,331398,-2555,-15559,3385,270,290,620
5,1,331403,-2940,-15501,3390,268,306,614
5,2,331408,-2976,-15419,3450,265,308,614
5,3,331413,-2709,-15361,3767,263,297,612
5,4,331418,-2680,-15360,4137,261,264,607
5,5,331423,-2938,-15417,4233,259,191,604
5,6,331428,-3087,-15463,4016,258,103,604
5,7,331433,-2939,-15419,3881,255,34,608
5,8,331438,-2832,-15269,4005,253,-12,606
5,9,331443,-2991,-15209,4147,253,-59,598
5,10,331448,-3227,-15211,3943,249,-103,594
5,11,331453,-3419,-15183,3524,247,-121,593
5,12,331458,-3597,-15186,3233,244,-95,588
5,13,331463,-3591,-15155,3258,240,-34,579
5,14,331468,-3740,-15104,3349,234,37,565
5,15,331473,-3923,-15107,3400,231,104,557
5,16,331478,-4145,-15160,3394,228,158,549
5,17,331483,-4115,-15217,3441,225,219,536
5,18,331488,-3808,-15183,3607,222,282,526
5,19,331493,-3640,-15137,3837,218,317,515
5,20,331498,-3783,-15112,4511,213,338,508
5,21,331503,-3991,-15077,4462,203,273,505
5,22,331508,-4106,-15147,4032,201,206,508
5,23,331513,-4188,-15265,3980,197,210,499
5,24,331518,-4315,-15314,4399,191,228,483
5,25,331523,-4428,-15404,4382,192,192,478
5,26,331528,-4534,-15420,4064,191,141,478
5,27,331533,-4591,-15470,3950,186,114,467
5,28,331538,-4816,-15536,4049,177,114,455
5,29,331543,-4952,-15528,4140,177,111,446
5,30,331548,-4820,-15487,4064,175,94,439
5,31,331553,-4714,-15448,3862,170,76,430
5,32,331558,-4726,-15416,4147,164,68,419
5,33,331563,-4876,-15383,4045,162,38,416
5,34,331568,-4810,-15376,3974,159,42,404
5,35,331573,-4573,-15319,3898,155,50,394
5,36,331578,-4521,-15327,4017,151,55,385
5,37,331583,-4596,-15358,4079,148,43,377
5,38,331588,-4732,-15277,4075,143,36,369
5,39,331593,-4743,-15297,3883,142,35,362
5,40,331598,-4791,-15296,3831,142,44,354
5,41,331603,-4957,-15314,4057,135,63,345
5,42,331608,-4980,-15308,4135,127,60,338
5,43,331613,-4813,-15330,3977,125,41,330
5,44,331618,-4711,-15347,3795,123,40,322
5,45,331623,-4840,-15308,3909,118,64,309
5,46,331628,-5002,-15261,3774,115,64,299
5,47,331633,-4920,-15209,3700,109,99,283
5,48,331638,-4913,-15195,4008,106,126,268
5,49,331643,-5042,-15207,4014,103,128,262
5,50,331648,-5125,-15240,3872,100,124,254
5,51,331653,-5112,-15184,4060,94,131,246
5,52,331658,-5119,-15170,4151,91,119,240
5,53,331663,-5302,-15267,4364,90,108,231
5,54,331668,-5341,-15284,4249,85,78,224
5,55,331673,-5148,-15224,4055,83,53,218
5,56,331678,-5093,-15208,4090,79,28,209
5,57,331683,-5165,-15206,4393,75,-3,204
5,58,331688,-5192,-15173,4282,72,-44,199
5,59,331693,-5106,-15239,3850,73,-71,196
5,60,331698,-5183,-15324,3662,70,-72,188
5,61,331703,-5281,-15293,3726,64,-63,175
5,62,331708,-5333,-15321,3826,60,-57,171
5,63,331713,-5259,-15380,3563,57,-49,161
5,64,331718,-5320,-15386,3418,57,-3,147
5,65,331723,-5351,-15366,3460,55,57,133
5,66,331728,-5531,-15312,3760,48,109,121
5,67,331733,-5709,-15382,3961,44,129,119
5,68,331738,-5470,-15512,3906,44,129,117
5,69,331743,-5227,-15546,3890,43,133,109
5,70,331748,-5274,-15503,4266,38,124,97
5,71,331753,-5349,-15510,4510,36,77,96
5,72,331758,-5099,-15462,4207,37,13,98
5,73,331763,-4745,-15497,3762,36,-28,97
5,74,331768,-4780,-15428,3737,34,-42,87
5,75,331773,-5062,-15355,3836,29,-57,83
5,76,331778,-5247,-15346,3632,26,-67,81
5,77,331783,-5211,-15384,3245,27,-51,79
5,78,331788,-5149,-15388,3106,27,13,71
5,79,331793,-5199,-15329,3393,25,91,56
5,80,331798,-5270,-15269,3658,20,137,47
5,81,331803,-5179,-15174,3753,17,146,43
5,82,331808,-5062,-15108,3712,14,158,42
5,83,331813,-5109,-15130,3776,9,192,32
5,84,331818,-5254,-15120,4018,6,229,22
5,85,331823,-5391,-15062,4047,4,252,19
5,86,331828,-5425,-15064,4049,1,261,16
5,87,331833,-5437,-15100,4135,-1,260,11
5,88,331838,-5467,-15123,4371,-4,238,4
5,89,331843,-5496,-15139,4540,-7,199,-1
5,90,331848,-5549,-15174,4545,-7,144,-1
5,91,331853,-5622,-15291,4465,-11,84,-3
5,92,331858,-5558,-15335,4409,-13,25,-9
