event_id,seq,ts_ms,ax,ay,az,gx,gy,gz
7,0,837665,-601,-16573,1361,-8,-108,-33
7,1,837670,-729,-16630,1359,-7,-97,-37
7,2,837675,-783,-16679,1344,-4,-87,-36
7,3,837680,-685,-16714,1344,-5,-77,-36
7,4,837685,-627,-16705,1329,-4,-68,-36
7,5,837690,-543,-16693,1391,-6,-71,-39
7,6,837695,-547,-16637,1429,-6,-75,-39
7,7,837700,-512,-16586,1431,-6,-78,-37
7,8,837705,-445,-16550,1390,-4,-77,-39
7,9,837710,-429,-16438,1404,-1,-78,-37
7,10,837715,-455,-16389,1389,0,-77,-37
7,11,837720,-517,-16321,1385,-4,-77,-36
7,12,837725,-532,-16306,1381,-4,-82,-33
7,13,837730,-478,-16350,1424,-2,-79,-32
7,14,837735,-464,-16341,1427,-3,-72,-34
7,15,837740,-509,-16325,1419,-4,-71,-35
7,16,837745,-614,-16326,1402,-4,-75,-31
7,17,837750,-646,-16301,1341,-3,-77,-35
7,18,837755,-768,-16312,1378,-2,-76,-33
7,19,837760,-796,-16343,1573,-5,-77,-30
7,20,837765,-770,-16334,1683,-7,-82,-33
7,21,837770,-763,-16350,1656,-4,-91,-33
7,22,837775,-765,-16388,1539,-7,-104,-35
7,23,837780,-743,-16416,1565,-7,-127,-33
7,24,837785,-808,-16354,1696,-6,-162,-31
7,25,837790,-739,-16427,1750,-10,-204,-29
7,26,837795,-698,-16471,1579,-8,-233,-26
7,27,837800,-626,-16483,1374,-6,-244,-25
7,28,837805,-548,-16453,1385,-8,-251,-27
7,29,837810,-491,-16423,1437,-8,-271,-26
7,30,837815,-426,-16355,1284,-9,-293,-20
7,31,837820,-396,-16310,1112,-10,-290,-16
7,32,837825,-505,-16252,1061,-11,-259,-20
7,33,837830,-512,-16231,1049,-11,-220,-22
7,34,837835,-466,-16178,1122,-11,-186,-20
7,35,837840,-428,-16212,1044,-10,-156,-17
7,36,837845,-440,-16200,1056,-13,-124,-19
7,37,837850,-477,-16180,1176,-15,-91,-22
7,38,837855,-508,-16186,1263,-15,-62,-19
7,39,837860,-489,-16173,1298,-14,-42,-16
7,40,837865,-386,-16159,1338,-18,-30,-16
7,41,837870,-364,-16151,1490,-18,-25,-19
7,42,837875,-424,-16128,1624,-17,-37,-16
7,43,837880,-411,-16142,1642,-15,-56,-8
7,44,837885,-394,-16166,1639,-20,-73,-5
7,45,837890,-411,-16173,1759,-21,-86,-3
7,46,837895,-394,-16211,1912,-26,-105,-1
7,47,837900,-416,-16244,2007,-26,-130,2
7,48,837905,-486,-16253,1927,-27,-154,6
7,49,837910,-505,-16207,1827,-30,-160,8
7,50,837915,-562,-16199,1747,-33,-161,8
7,51,837920,-654,-16212,1694,-34,-166,10
7,52,837925,-621,-16259,1567,-34,-177,13
7,53,837930,-519,-16290,1434,-39,-177,15
7,54,837935,-510,-16300,1401,-41,-160,14
7,55,837940,-552,-16271,1491,-43,-126,13
7,56,837945,-654,-16223,1474,-43,-88,11
7,57,837950,-765,-16115,1520,-46,-53,10
7,58,837955,-771,-16034,1652,-49,-10,10
7,59,837960,-690,-15941,1935,-52,24,10
7,60,837965,-686,-15868,2255,-54,42,6
7,61,837970,-825,-15840,2486,-57,51,4
7,62,837975,-895,-15853,2633,-63,45,9
7,63,837980,-908,-15820,2883,-70,31,6
7,64,837985,-1027,-15872,3202,-74,-8,4
7,65,837990,-1146,-15871,3411,-81,-62,7
7,66,837995,-1024,-15868,3513,-83,-133,13
7,67,838000,-882,-15960,3758,-85,-211,15
7,68,838005,-801,-16050,4091,-93,-289,17
7,69,838010,-736,-16065,4371,-103,-368,22
7,70,838015,-682,-15938,4550,-113,-441,24
7,71,838020,-733,-15756,4650,-123,-498,27
7,72,838025,-817,-15631,4793,-134,-535,31
7,73,838030,-614,-15222,5219,-160,-564,37
7,74,838035,-463,-14938,5503,-178,-564,37
7,75,838040,-597,-14722,5773,-193,-560,33
7,76,838045,-887,-14555,5844,-207,-564,34
7,77,838050,-889,-14403,5737,-222,-567,37
7,78,838055,-624,-13995,5849,-236,-552,37
