event_id,seq,ts_ms,ax,ay,az,gx,gy,gz
1,0,88190,-427,-16464,1224,10,-5,4
1,1,88195,-402,-16465,1264,7,-11,4
1,2,88200,-379,-16467,1274,5,-13,0
1,3,88205,-350,-16408,1234,6,-13,2
1,4,88210,-329,-16421,1170,8,-14,5
1,5,88215,-346,-16419,1132,5,-15,3
1,6,88220,-334,-16392,1148,4,-17,2
1,7,88225,-350,-16400,1141,3,-16,0
1,8,88230,-334,-16413,1068,4,-16,3
1,9,88235,-323,-16416,1076,5,-7,1
1,10,88240,-346,-16472,1033,4,5,2
1,11,88245,-283,-16491,1001,5,11,3
1,12,88250,-327,-16481,1026,4,12,2
1,13,88255,-367,-16495,1065,2,14,3
1,14,88260,-385,-16507,1065,3,21,2
1,15,88265,-452,-16488,1048,6,29,2
1,16,88270,-503,-16435,1085,4,37,1
1,17,88275,-515,-16455,1099,3,40,3
1,18,88280,-468,-16480,1172,2,40,1
1,19,88285,-431,-16481,1237,2,35,0
1,20,88290,-438,-16412,1224,3,31,-3
1,21,88295,-441,-16416,1237,1,24,-3
1,22,88300,-421,-16435,1231,2,16,-5
1,23,88305,-362,-16406,1301,2,5,-1
1,24,88310,-360,-16409,1290,-1,-6,0
1,25,88315,-389,-16434,1239,-3,-13,-1
1,26,88320,-408,-16427,1196,-2,-15,-2
1,27,88325,-410,-16439,1188,-2,-19,-2
1,28,88330,-373,-16401,1115,-1,-21,0
1,29,88335,-301,-16442,1135,0,-24,-1
1,30,88340,-287,-16455,1092,-4,-23,-1
1,31,88345,-261,-16489,1018,-5,-17,1
1,32,88350,-257,-16492,1025,-4,-9,-2
1,33,88355,-267,-16466,1023,-3,-1,-4
1,34,88360,-263,-16473,1006,-5,1,-4
1,35,88365,-286,-16522,1049,-4,7,-2
1,36,88370,-350,-16556,1045,-3,13,-3
1,37,88375,-435,-16497,1047,-5,23,-1
1,38,88380,-431,-16498,1095,-3,32,-1
1,39,88385,-415,-16510,1083,-3,39,-4
1,40,88390,-452,-16507,1059,-3,42,-5
1,41,88395,-464,-16505,1061,-1,41,-5
1,42,88400,-497,-16453,1110,-6,39,-6
1,43,88405,-434,-16475,1154,-3,33,-7
1,44,88410,-405,-16430,1135,0,24,-4
1,45,88415,-365,-16387,1129,-4,19,-7
1,46,88420,-287,-16369,1164,-4,9,-6
1,47,88425,-278,-16279,1190,-1,-3,-6
1,48,88430,-246,-16236,1100,0,-15,-4
1,49,88435,-247,-16181,1095,0,-23,-1
1,50,88440,-222,-16191,1079,-1,-25,0
1,51,88445,-181,-16173,1032,-4,-22,0
1,52,88450,-180,-16101,1071,-3,-21,0
1,53,88455,-207,-16100,1078,-3,-15,0
1,54,88460,-248,-16157,1085,-2,-5,2
1,55,88465,-338,-16180,1076,-6,6,2
1,56,88470,-412,-16212,1109,-7,25,-1
1,57,88475,-439,-16216,1115,-6,42,-1
1,58,88480,-536,-16277,1109,-7,54,-3
1,59,88485,-578,-16313,1198,-6,63,-5
1,60,88490,-590,-16365,1263,-7,69,-5
1,61,88495,-575,-16351,1265,-8,67,-7
1,62,88500,-612,-16383,1229,-7,61,-10
1,63,88505,-629,-16430,1260,-9,53,-7
1,64,88510,-606,-16450,1285,-9,32,-9
1,65,88515,-565,-16458,1325,-9,16,-10
1,66,88520,-574,-16481,1311,-13,-7,-10
1,67,88525,-532,-16517,1257,-13,-22,-12
1,68,88530,-541,-16527,1209,-11,-34,-10
1,69,88535,-548,-16509,1247,-13,-46,-11
1,70,88540,-536,-16492,1214,-11,-58,-9
1,71,88545,-504,-16541,1108,-10,-60,-13
1,72,88550,-495,-16536,1072,-12,-55,-12
1,73,88555,-470,-16537,1022,-11,-48,-14
1,74,88560,-476,-16556,1028,-14,-44,-16
1,75,88565,-487,-16601,976,-13,-37,-15
1,76,88570,-447,-16644,943,-13,-30,-18
1,77,88575,-405,-16673,948,-13,-19,-19
1,78,88580,-441,-16631,974,-14,-10,-19
1,79,88585,-445,-16656,1035,-14,-7,-19
1,80,88590,-417,-16625,987,-14,-7,-20
1,81,88595,-405,-16639,971,-11,0,-20
1,82,88600,-393,-16653,969,-10,2,-18
1,83,88605,-405,-16627,1061,-11,-2,-18
1,84,88610,-416,-16654,1050,-10,-9,-20
1,85,88615,-395,-16647,981,-9,-15,-20
1,86,88620,-325,-16671,1023,-9,-20,-18
1,87,88625,-321,-16651,1013,-10,-24,-18
1,88,88630,-310,-16640,979,-11,-29,-19
1,89,88635,-286,-16627,991,-7,-28,-20
1,90,88640,-295,-16602,1031,-8,-31,-15
1,91,88645,-329,-16601,1011,-9,-28,-16
1,92,88650,-332,-16539,994,-7,-22,-18
1,93,88655,-364,-16508,990,-4,-16,-17
1,94,88660,-365,-16501,1013,-7,-8,-17
1,95,88665,-286,-16509,1017,-9,-1,-18
1,96,88670,-269,-16428,996,-7,5,-19
1,97,88675,-240,-16448,1025,-8,10,-19
1,98,88680,-281,-16428,1063,-11,13,-20
1,99,88685,-297,-16384,1037,-9,15,-18
1,100,88690,-291,-16372,1062,-7,20,-16
1,101,88695,-302,-16373,1077,-8,23,-16
1,102,88700,-344,-16394,1073,-10,24,-18
1,103,88705,-386,-16410,1072,-11,22,-17
1,104,88710,-392,-16457,1140,-9,20,-17
1,105,88715,-368,-16454,1161,-10,20,-17
1,106,88720,-412,-16501,1162,-9,22,-17
1,107,88725,-453,-16486,1135,-10,19,-17
1,108,88730,-485,-16502,1115,-10,12,-18
1,109,88735,-478,-16516,1149,-10,3,-16
1,110,88740,-459,-16540,1146,-8,0,-17
1,111,88745,-500,-16527,1124,-10,1,-17
1,112,88750,-474,-16520,1154,-6,-3,-15
1,113,88755,-430,-16503,1159,-8,-6,-15
1,114,88760,-413,-16509,1107,-9,-14,-17
1,115,88765,-389,-16540,1103,-9,-24,-14
1,116,88770,-414,-16467,1096,-7,-28,-16
1,117,88775,-415,-16499,1109,-8,-26,-18
1,118,88780,-364,-16478,1101,-8,-26,-18
1,119,88785,-346,-16486,1067,-9,-30,-14
1,120,88790,-300,-16464,1073,-5,-29,-12
1,121,88795,-295,-16436,1095,-7,-27,-14
1,122,88800,-290,-16395,1064,-8,-24,-14
1,123,88805,-280,-16406,1040,-10,-22,-12
1,124,88810,-276,-16382,1044,-8,-15,-14
1,125,88815,-177,-16368,958,-9,-12,-15
1,126,88820,-224,-16388,967,-9,-13,-13
1,127,88825,-268,-16388,959,-7,-14,-11
1,128,88830,-290,-16400,980,-9,-12,-10
1,129,88835,-326,-16418,979,-8,-8,-10
1,130,88840,-272,-16412,1000,-7,-5,-10
1,131,88845,-218,-16401,1029,-3,-5,-5
1,132,88850,-207,-16422,998,-2,-5,-6
1,133,88855,-172,-16382,1061,-3,0,-7
1,134,88860,-231,-16376,1040,-4,0,-10
1,135,88865,-214,-16420,989,-3,-5,-7
1,136,88870,-248,-16438,938,-3,-4,-5
1,137,88875,-284,-16435,944,-2,-1,-5
1,138,88880,-254,-16448,983,-3,-3,-4
1,139,88885,-302,-16449,959,-1,-2,-2
1,140,88890,-289,-16488,998,1,-1,-1
1,141,88895,-281,-16461,988,1,4,-5
1,142,88900,-308,-16462,994,1,6,-5
1,143,88905,-289,-16453,1053,2,11,-3
1,144,88910,-330,-16449,1058,0,15,-3
1,145,88915,-299,-16409,1067,1,15,-4
