event_id,seq,ts_ms,ax,ay,az,gx,gy,gz
5,0,297020,-114,-16382,199,7,-8,-15
5,1,297025,-110,-16374,197,6,-5,-14
5,2,297030,-103,-16355,196,10,-1,-16
5,3,297035,-92,-16373,217,8,2,-15
5,4,297040,-92,-16410,234,8,0,-9
5,5,297045,-149,-16416,246,8,1,-14
5,6,297050,-204,-16454,227,5,0,-12
5,7,297055,-186,-16440,163,5,-1,-15
5,8,297060,-198,-16454,129,5,0,-17
5,9,297065,-186,-16428,119,8,0,-15
5,10,297070,-156,-16407,119,8,4,-18
5,11,297075,-179,-16448,195,8,6,-17
5,12,297080,-149,-16430,206,4,2,-17
5,13,297085,-110,-16395,217,5,-3,-21
5,14,297090,-47,-16414,185,6,-7,-19
5,15,297095,-58,-16378,233,7,-9,-18
5,16,297100,-6,-16367,248,9,-12,-18
5,17,297105,-18,-16354,278,5,-19,-15
5,18,297110,-32,-16387,263,8,-27,-18
5,19,297115,-97,-16400,292,9,-34,-19
5,20,297120,-124,-16404,228,6,-38,-14
5,21,297125,-142,-16405,166,4,-37,-16
5,22,297130,-137,-16365,150,4,-34,-20
5,23,297135,-56,-16345,139,7,-35,-15
5,24,297140,-8,-16307,146,6,-33,-19
5,25,297145,12,-16322,182,8,-34,-17
5,26,297150,28,-16284,160,8,-30,-15
5,27,297155,35,-16276,190,5,-29,-16
5,28,297160,42,-16296,143,4,-27,-14
5,29,297165,22,-16309,116,4,-21,-15
5,30,297170,35,-16363,159,6,-18,-16
5,31,297175,18,-16407,202,7,-13,-12
5,32,297180,-65,-16414,210,1,-9,-12
5,33,297185,-107,-16435,248,2,-5,-13
5,34,297190,-139,-16506,232,1,-5,-16
5,35,297195,-144,-16559,202,2,-8,-13
5,36,297200,-158,-16572,158,3,-5,-12
5,37,297205,-162,-16563,189,3,-2,-13
5,38,297210,-181,-16600,227,3,-3,-14
5,39,297215,-156,-16620,298,2,-5,-15
5,40,297220,-145,-16561,323,2,-9,-17
5,41,297225,-164,-16572,400,0,-12,-16
5,42,297230,-133,-16536,476,0,-16,-14
5,43,297235,-140,-16469,484,-2,-22,-15
5,44,297240,-126,-16456,444,-7,-28,-13
5,45,297245,-189,-16440,449,-5,-36,-12
5,46,297250,-294,-16464,494,-6,-38,-11
5,47,297255,-391,-16457,473,-5,-43,-11
5,48,297260,-499,-16462,479,-8,-46,-12
5,49,297265,-598,-16418,446,-11,-48,-14
5,50,297270,-623,-16408,396,-14,-49,-12
5,51,297275,-676,-16350,389,-14,-49,-16
5,52,297280,-704,-16334,425,-15,-48,-18
5,53,297285,-762,-16287,500,-15,-47,-18
5,54,297290,-826,-16229,596,-16,-49,-17
5,55,297295,-864,-16170,762,-18,-52,-21
5,56,297300,-979,-16141,872,-18,-60,-23
5,57,297305,-965,-16158,1038,-20,-72,-21
5,58,297310,-1005,-16204,1333,-23,-81,-21
5,59,297315,-1053,-16221,1589,-22,-94,-28
5,60,297320,-1056,-16219,1943,-24,-109,-31
5,61,297325,-1329,-16270,2371,-39,-146,-26
5,62,297330,-1518,-16313,2584,-52,-162,-27
5,63,297335,-1801,-16284,2545,-58,-180,-27
5,64,297340,-2065,-16279,2456,-64,-190,-30
5,65,297345,-2322,-16096,2478,-74,-194,-34
5,66,297350,-2559,-15940,2484,-79,-200,-39
5,67,297355,-2761,-15720,2437,-84,-204,-46
5,68,297360,-3035,-15540,2572,-88,-202,-53
5,69,297365,-3228,-15447,2478,-93,-208,-57
5,70,297370,-3436,-15353,2386,-105,-216,-65
5,71,297375,-3597,-15430,2008,-114,-226,-74
5,72,297380,-3726,-15640,1685,-119,-228,-83
5,73,297385,-3778,-15872,1131,-126,-238,-94
5,74,297390,-3826,-16028,898,-125,-224,-103
5,75,297395,-3815,-16299,757,-120,-212,-114
5,76,297400,-3752,-16600,733,-121,-198,-127
5,77,297405,-3675,-16735,832,-120,-184,-144
5,78,297410,-3450,-17172,954,-111,-189,-140
5,79,297415,-3143,-17247,963,-117,-193,-158
5,80,297420,-2974,-17416,580,-122,-178,-163
5,81,297425,-2871,-17401,1442,-124,-136,-173
5,82,297430,-2709,-17494,1234,-119,-199,-170
5,83,297435,-2774,-17664,1011,-121,-242,-168
5,84,297440,-2777,-17733,710,-125,-252,-167
5,85,297445,-2757,-17900,1129,-124,-227,-177
5,86,297450,-2745,-17850,1170,-131,-261,-193
5,87,297455,-2770,-17890,1403,-129,-309,-189
5,88,297460,-2742,-17949,934,-125,-391,-183
5,89,297465,-2887,-18095,919,-122,-394,-187
5,90,297470,-3031,-17965,1429,-130,-387,-198
5,91,297475,-3031,-18045,1309,-132,-462,-195
5,92,297480,-3214,-18085,1119,-134,-507,-202
5,93,297485,-3171,-18032,932,-137,-535,-209
5,94,297490,-3167,-18056,758,-134,-551,-209
5,95,297495,-3081,-17942,648,-136,-556,-218
5,96,297500,-2984,-17831,744,-137,-562,-224
5,97,297505,-2835,-17766,540,-136,-576,-228
5,98,297510,-2591,-17630,932,-139,-570,-240
5,99,297515,-2266,-17513,626,-140,-612,-241
5,100,297520,-2008,-17489,602,-144,-601,-241
5,101,297525,-1826,-17375,67,-144,-596,-238
5,102,297530,-1918,-17357,344,-144,-519,-238
5,103,297535,-1793,-17110,1120,-152,-491,-246
5,104,297540,-1500,-17165,-299,-149,-576,-241
