event_id,seq,ts_ms,ax,ay,az,gx,gy,gz
28,0,1836360,-156,-16579,704,30,67,-2
28,1,1836365,-37,-16559,696,34,82,-9
28,2,1836370,114,-16523,747,37,94,-13
28,3,1836375,246,-16508,944,40,99,-8
28,4,1836380,369,-16515,1082,38,98,-5
28,5,1836385,428,-16431,1180,34,91,-3
28,6,1836390,493,-16405,1270,34,72,-3
28,7,1836395,494,-16413,1286,33,57,-5
28,8,1836400,473,-16401,1256,35,44,-2
28,9,1836405,504,-16379,1275,37,34,1
28,10,1836410,453,-16394,1211,32,21,4
28,11,1836415,407,-16388,1185,31,15,6
28,12,1836420,342,-16412,1178,31,12,6
28,13,1836425,260,-16435,1214,31,12,5
28,14,1836430,168,-16448,1212,30,11,4
28,15,1836435,108,-16437,1227,29,11,5
28,16,1836440,121,-16444,1212,24,13,4
28,17,1836445,89,-16474,1150,22,16,6
28,18,1836450,84,-16490,1087,21,21,5
28,19,1836455,53,-16510,1083,20,25,4
28,20,1836460,52,-16525,1078,19,24,3
28,21,1836465,68,-16520,1047,20,23,1
28,22,1836470,131,-16525,1031,19,24,1
28,23,1836475,123,-16491,1104,20,22,1
28,24,1836480,126,-16484,1197,19,12,2
28,25,1836485,104,-16513,1209,17,5,1
28,26,1836490,126,-16502,1195,19,-7,5
28,27,1836495,138,-16558,1207,15,-16,2
28,28,1836500,161,-16573,1166,14,-23,2
28,29,1836505,167,-16576,1158,16,-24,0
28,30,1836510,198,-16559,1157,12,-24,2
28,31,1836515,231,-16529,1201,12,-26,3
28,32,1836520,287,-16504,1248,12,-24,1
28,33,1836525,294,-16495,1262,9,-20,4
28,34,1836530,299,-16446,1255,3,-10,2
28,35,1836535,306,-16470,1187,3,-2,3
28,36,1836540,217,-16488,1141,0,8,5
28,37,1836545,122,-16482,1106,-1,19,3
28,38,1836550,18,-16494,1051,-5,30,5
28,39,1836555,-173,-16532,1008,-4,38,-1
28,40,1836560,-203,-16503,973,-4,40,-2
28,41,1836565,-195,-16467,1001,-2,38,-2
28,42,1836570,-142,-16455,1073,-1,32,-5
28,43,1836575,-12,-16412,1168,-4,23,-11
28,44,1836580,100,-16374,1186,-2,10,-11
28,45,1836585,145,-16375,1248,-2,-8,-10
28,46,1836590,206,-16358,1309,-6,-21,-8
28,47,1836595,241,-16330,1329,-7,-34,-6
28,48,1836600,233,-16280,1326,-6,-48,-4
28,49,1836605,245,-16243,1268,-3,-61,-2
28,50,1836610,252,-16244,1176,-8,-64,-6
28,51,1836615,256,-16237,1113,-10,-58,-5
28,52,1836620,236,-16262,1054,-9,-55,-7
28,53,1836625,193,-16267,1048,-9,-48,-6
28,54,1836630,73,-16301,999,-9,-35,-4
28,55,1836635,-54,-16364,969,-12,-22,-3
28,56,1836640,-152,-16404,974,-13,-9,-8
28,57,1836645,-237,-16441,906,-13,2,-10
28,58,1836650,-227,-16428,932,-15,14,-12
28,59,1836655,-145,-16415,869,-14,21,-15
28,60,1836660,-115,-16416,927,-13,28,-18
28,61,1836665,31,-16371,1001,-14,31,-22
28,62,1836670,95,-16348,1124,-10,33,-24
28,63,1836675,151,-16336,1286,-9,29,-23
28,64,1836680,141,-16304,1400,-12,18,-18
28,65,1836685,154,-16293,1385,-11,5,-16
28,66,1836690,123,-16337,1258,-17,-8,-20
28,67,1836695,107,-16339,1111,-19,-21,-19
28,68,1836700,145,-16328,1012,-19,-27,-19
28,69,1836705,179,-16341,918,-18,-31,-19
28,70,1836710,198,-16316,879,-15,-29,-20
28,71,1836715,220,-16342,923,-13,-30,-21
28,72,1836720,274,-16365,991,-13,-32,-19
28,73,1836725,283,-16402,1032,-16,-40,-18
28,74,1836730,299,-16440,1008,-17,-47,-16
28,75,1836735,318,-16479,891,-17,-53,-16
28,76,1836740,358,-16492,906,-16,-56,-15
28,77,1836745,387,-16459,903,-13,-58,-14
28,78,1836750,346,-16481,938,-10,-63,-10
28,79,1836755,293,-16529,962,-9,-67,-8
28,80,1836760,222,-16533,1050,-10,-73,-6
28,81,1836765,230,-16509,1095,-11,-81,-7
28,82,1836770,246,-16551,1033,-12,-86,-9
28,83,1836775,256,-16525,960,-12,-92,-9
28,84,1836780,323,-16512,921,-8,-91,-7
28,85,1836785,256,-16507,913,-6,-81,-3
28,86,1836790,326,-16480,906,-6,-71,-2
28,87,1836795,312,-16442,1034,-6,-62,-1
28,88,1836800,360,-16459,1088,-7,-55,-3
28,89,1836805,428,-16430,1112,-9,-45,-2
28,90,1836810,442,-16439,1114,-12,-38,-1
28,91,1836815,416,-16433,1079,-14,-25,4
28,92,1836820,367,-16464,1011,-9,-11,7
28,93,1836825,311,-16455,1033,-13,7,7
28,94,1836830,200,-16491,1009,-15,25,7
28,95,1836835,124,-16510,998,-14,38,7
28,96,1836840,50,-16505,1007,-13,45,5
28,97,1836845,5,-16507,1033,-16,57,7
28,98,1836850,-5,-16487,1021,-15,64,8
28,99,1836855,25,-16486,1003,-14,68,8
28,100,1836860,56,-16515,1024,-13,66,4
28,101,1836865,60,-16540,1073,-12,62,6
28,102,1836870,125,-16542,1124,-11,53,9
28,103,1836875,217,-16533,1118,-11,42,7
28,104,1836880,271,-16569,1134,-10,31,7
28,105,1836885,258,-16597,1146,-11,18,13
28,106,1836890,292,-16548,1104,-9,5,16
28,107,1836895,319,-16529,1082,-10,-8,17
