event_id,seq,ts_ms,ax,ay,az,gx,gy,gz
1,0,18068,-2249,-16118,-2525,-13,-81,-18
1,1,18073,-2206,-16148,-2472,-13,-83,-16
1,2,18078,-2266,-16158,-2497,-15,-81,-18
1,3,18083,-2367,-16162,-2568,-17,-75,-18
1,4,18088,-2468,-16202,-2688,-16,-57,-21
1,5,18093,-2488,-16290,-2662,-14,-29,-23
1,6,18098,-2471,-16343,-2550,-17,-6,-21
1,7,18103,-2388,-16352,-2451,-17,19,-23
1,8,18108,-2378,-16328,-2460,-18,26,-24
1,9,18113,-2448,-16318,-2450,-16,34,-27
1,10,18118,-2451,-16257,-2441,-17,42,-25
1,11,18123,-2375,-16206,-2460,-19,43,-25
1,12,18128,-2194,-16144,-2503,-19,38,-26
1,13,18133,-2155,-16091,-2586,-17,36,-26
1,14,18138,-2200,-16055,-2607,-16,31,-27
1,15,18143,-2190,-16042,-2659,-18,30,-26
1,16,18148,-2167,-15946,-2694,-18,27,-23
1,17,18153,-2126,-15902,-2604,-21,28,-22
1,18,18158,-2076,-15833,-2637,-19,30,-22
1,19,18163,-2095,-15840,-2670,-17,30,-23
1,20,18168,-2085,-15875,-2608,-19,23,-24
1,21,18173,-2083,-15917,-2586,-22,8,-22
1,22,18178,-2055,-15990,-2674,-21,-7,-17
1,23,18183,-2021,-16013,-2681,-19,-9,-14
1,24,18188,-1975,-16025,-2698,-19,-2,-14
1,25,18193,-2013,-16073,-2612,-17,5,-17
1,26,18198,-2126,-16164,-2607,-20,7,-15
1,27,18203,-2125,-16209,-2610,-24,5,-11
1,28,18208,-2004,-16196,-2607,-24,12,-10
1,29,18213,-1996,-16148,-2533,-22,22,-8
1,30,18218,-2016,-16113,-2482,-22,24,-9
1,31,18223,-2095,-16146,-2472,-25,14,-7
1,32,18228,-2176,-16149,-2463,-28,-9,-1
1,33,18233,-2176,-16109,-2512,-26,-26,-4
1,34,18238,-2157,-16073,-2619,-28,-35,-4
1,35,18243,-2181,-16027,-2729,-24,-34,0
1,36,18248,-2244,-15986,-2738,-23,-30,-1
1,37,18253,-2286,-15988,-2676,-25,-39,-1
1,38,18258,-2310,-16018,-2633,-26,-56,2
1,39,18263,-2353,-16082,-2704,-28,-66,0
1,40,18268,-2406,-16115,-2778,-25,-65,-1
1,41,18273,-2418,-16127,-2823,-23,-53,0
1,42,18278,-2460,-16123,-2899,-25,-40,1
1,43,18283,-2443,-16078,-2929,-24,-27,-3
1,44,18288,-2403,-16068,-2890,-22,-7,-2
1,45,18293,-2444,-16042,-2809,-22,19,-4
1,46,18298,-2463,-16073,-2696,-19,39,-5
1,47,18303,-2391,-16081,-2574,-18,47,-6
1,48,18308,-2344,-16035,-2538,-19,46,-6
1,49,18313,-2335,-16037,-2526,-20,35,-5
1,50,18318,-2278,-15962,-2526,-18,25,-4
1,51,18323,-2253,-15901,-2566,-19,17,-4
1,52,18328,-2227,-15844,-2656,-23,11,0
1,53,18333,-2228,-15814,-2685,-22,3,-2
1,54,18338,-2247,-15845,-2629,-21,-5,-1
1,55,18343,-2171,-15856,-2656,-19,-15,2
1,56,18348,-2088,-15877,-2725,-19,-22,1
1,57,18353,-2090,-15930,-2693,-18,-30,0
1,58,18358,-2137,-15993,-2586,-21,-34,0
1,59,18363,-2180,-16068,-2557,-23,-45,3
1,60,18368,-2245,-16109,-2602,-21,-56,5
1,61,18373,-2247,-16198,-2668,-21,-54,5
1,62,18378,-2245,-16272,-2676,-19,-43,6
1,63,18383,-2215,-16267,-2734,-18,-28,9
1,64,18388,-2232,-16244,-2726,-19,-9,9
1,65,18393,-2331,-16245,-2697,-18,3,6
1,66,18398,-2394,-16237,-2654,-17,10,8
1,67,18403,-2367,-16162,-2644,-19,14,7
1,68,18408,-2263,-16137,-2683,-19,24,8
1,69,18413,-2291,-16106,-2651,-19,30,8
1,70,18418,-2395,-16081,-2635,-18,27,8
1,71,18423,-2435,-16035,-2727,-16,24,9
1,72,18428,-2321,-16005,-2818,-13,30,10
1,73,18433,-2189,-16014,-2772,-13,42,11
1,74,18438,-2109,-15999,-2611,-14,49,9
1,75,18443,-2175,-16087,-2476,-12,43,7
1,76,18448,-2200,-16081,-2342,-14,16,9
1,77,18453,-2149,-16045,-2377,-16,-19,12
1,78,18458,-2082,-16037,-2493,-17,-43,15
1,79,18463,-2102,-16016,-2561,-14,-57,18
1,80,18468,-2342,-16141,-2663,-14,-85,17
1,81,18473,-2383,-16129,-2827,-16,-91,17
1,82,18478,-2399,-16135,-2917,-18,-74,16
1,83,18483,-2396,-16139,-2949,-14,-40,19
1,84,18488,-2472,-16114,-2908,-11,-3,16
1,85,18493,-2536,-16135,-2819,-10,21,13
1,86,18498,-2493,-16120,-2716,-11,38,11
1,87,18503,-2362,-16106,-2625,-7,46,15
1,88,18508,-2321,-16007,-2470,-8,49,14
1,89,18513,-2358,-15975,-2422,-8,41,11
1,90,18518,-2387,-15913,-2464,-7,24,13
1,91,18523,-2360,-15871,-2523,-9,3,13
1,92,18528,-2267,-15854,-2548,-8,-15,16
