event_id,seq,ts_ms,ax,ay,az,gx,gy,gz
89,0,1046435,-891,-16024,-2496,-21,-136,-2
89,1,1046440,-693,-16148,-2621,-22,-148,-1
89,2,1046445,-841,-16194,-2643,-19,-151,-3
89,3,1046450,-877,-16204,-2551,-23,-163,2
89,4,1046455,-844,-16215,-2720,-23,-172,3
89,5,1046460,-862,-16222,-2840,-21,-164,1
89,6,1046465,-868,-16228,-2868,-20,-152,2
89,7,1046470,-868,-16200,-2800,-21,-147,1
89,8,1046475,-867,-16216,-2956,-19,-156,7
89,9,1046480,-864,-16247,-3075,-20,-153,5
89,10,1046485,-856,-16189,-3143,-19,-143,3
89,11,1046490,-858,-16201,-3088,-18,-127,3
89,12,1046495,-1020,-16225,-3043,-19,-118,2
89,13,1046500,-1094,-16212,-3121,-17,-116,1
89,14,1046505,-1002,-16224,-3225,-14,-103,2
89,15,1046510,-919,-16185,-3226,-10,-83,-3
89,16,1046515,-891,-16206,-3108,-12,-72,-4
89,17,1046520,-955,-16206,-2937,-11,-82,-2
89,18,1046525,-977,-16225,-3033,-8,-102,-1
89,19,1046530,-925,-16236,-3077,-9,-101,0
89,20,1046535,-1004,-16167,-2965,-6,-84,-3
89,21,1046540,-932,-16221,-2899,-6,-81,-5
89,22,1046545,-912,-16224,-2801,-4,-85,-1
89,23,1046550,-895,-16169,-2867,-5,-96,-1
89,24,1046555,-828,-16253,-2997,-2,-95,1
89,25,1046560,-816,-16262,-2906,-2,-86,-1
89,26,1046565,-900,-16194,-2780,-4,-79,-2
89,27,1046570,-974,-16139,-2781,-4,-83,0
89,28,1046575,-784,-16098,-2862,-4,-77,-1
89,29,1046580,-455,-16244,-2931,-1,-60,3
89,30,1046585,-722,-16077,-2673,3,-39,-1
89,31,1046590,-784,-16103,-2638,1,-54,0
89,32,1046595,-777,-16183,-2793,1,-76,6
89,33,1046600,-858,-16157,-2839,-1,-68,2
89,34,1046605,-727,-16200,-2711,1,-61,5
89,35,1046610,-756,-16157,-2558,0,-60,5
89,36,1046615,-817,-16163,-2610,2,-79,3
89,37,1046620,-789,-16203,-2740,3,-101,9
89,38,1046625,-876,-16199,-2806,1,-104,10
89,39,1046630,-861,-16181,-2747,3,-102,10
89,40,1046635,-938,-16203,-2753,5,-101,12
89,41,1046640,-978,-16205,-2915,3,-106,13
89,42,1046645,-977,-16235,-3031,6,-112,13
89,43,1046650,-972,-16283,-2992,3,-101,12
89,44,1046655,-1014,-16191,-2906,4,-82,11
89,45,1046660,-924,-16171,-2866,5,-70,11
89,46,1046665,-879,-16165,-2830,3,-51,10
89,47,1046670,-866,-16153,-2777,2,-32,7
89,48,1046675,-878,-16126,-2658,4,-25,8
89,49,1046680,-864,-16153,-2637,5,-29,8
89,50,1046685,-827,-16150,-2571,4,-40,10
89,51,1046690,-863,-16178,-2642,2,-51,11
89,52,1046695,-881,-16108,-2698,3,-59,11
89,53,1046700,-769,-16211,-2639,5,-58,14
89,54,1046705,-834,-16108,-2507,3,-61,13
89,55,1046710,-815,-16072,-2501,5,-74,14
89,56,1046715,-733,-16202,-2739,6,-91,17
89,57,1046720,-1005,-16209,-2719,5,-94,16
89,58,1046725,-954,-16150,-2662,5,-110,21
89,59,1046730,-872,-16168,-2681,7,-131,26
89,60,1046735,-870,-16181,-2734,9,-135,23
89,61,1046740,-875,-16194,-2826,9,-139,27
89,62,1046745,-829,-16180,-2881,8,-132,25
89,63,1046750,-847,-16159,-2796,8,-123,22
89,64,1046755,-937,-16149,-2680,9,-117,26
89,65,1046760,-919,-16169,-2725,6,-111,24
89,66,1046765,-909,-16207,-2857,12,-106,24
89,67,1046770,-913,-16170,-2874,9,-94,21
89,68,1046775,-1017,-16162,-2747,9,-75,21
89,69,1046780,-1098,-16153,-2603,8,-77,22
89,70,1046785,-1031,-16163,-2563,6,-87,25
89,71,1046790,-1099,-16205,-2541,9,-92,24
89,72,1046795,-1177,-16248,-2516,9,-97,27
89,73,1046800,-1107,-16109,-2499,8,-105,29
89,74,1046805,-898,-16150,-2637,9,-108,27
89,75,1046810,-1334,-16199,-2642,10,-100,22
89,76,1046815,-1275,-16244,-2675,7,-103,26
89,77,1046820,-1263,-16205,-2693,7,-89,26
89,78,1046825,-1257,-16177,-2667,6,-66,21
89,79,1046830,-1325,-16193,-2536,4,-51,18
89,80,1046835,-1336,-16157,-2556,5,-49,16
89,81,1046840,-1292,-16177,-2666,6,-55,17
89,82,1046845,-1267,-16198,-2731,5,-49,15
89,83,1046850,-1296,-16205,-2703,4,-37,13
89,84,1046855,-1330,-16175,-2649,3,-33,13
89,85,1046860,-1295,-16244,-2668,2,-32,12
89,86,1046865,-1300,-16231,-2726,1,-22,13
89,87,1046870,-1308,-16205,-2726,4,-13,10
89,88,1046875,-1265,-16224,-2639,4,-2,6
89,89,1046880,-1302,-16188,-2621,2,4,9
89,90,1046885,-1326,-16204,-2559,0,7,8
89,91,1046890,-1322,-16211,-2530,0,5,7
89,92,1046895,-1357,-16203,-2476,-3,8,5
89,93,1046900,-1371,-16189,-2488,0,8,4
89,94,1046905,-1362,-16194,-2571,-1,4,5
89,95,1046910,-1347,-16232,-2481,-4,-2,5
89,96,1046915,-1362,-16177,-2487,-3,-6,3
89,97,1046920,-1330,-16179,-2541,-3,-2,2
89,98,1046925,-1288,-16203,-2647,-2,1,5
89,99,1046930,-1254,-16179,-2636,-5,6,4
89,100,1046935,-1218,-16173,-2573,-7,3,1
89,101,1046940,-1160,-16172,-2582,-3,-5,-1
89,102,1046945,-1150,-16147,-2618,-6,-4,-2
89,103,1046950,-1117,-16149,-2672,-5,4,-2
89,104,1046955,-1091,-16173,-2646,-5,9,-5
89,105,1046960,-1115,-16173,-2605,-4,8,-1
89,106,1046965,-1069,-16153,-2633,-5,6,-1
89,107,1046970,-1100,-16206,-2651,-5,7,-3
89,108,1046975,-1223,-16194,-2640,-6,11,-5
89,109,1046980,-1216,-16168,-2570,-10,11,-5
89,110,1046985,-1170,-16191,-2548,-8,9,-1
89,111,1046990,-1182,-16183,-2572,-9,11,-2
89,112,1046995,-1127,-16211,-2636,-11,11,-3
89,113,1047000,-1055,-16189,-2719,-8,8,-4
89,114,1047005,-1035,-16149,-2696,-8,9,-2
89,115,1047010,-1049,-16144,-2673,-9,7,-2
89,116,1047015,-1077,-16134,-2740,-10,6,-1
89,117,1047020,-1055,-16141,-2772,-8,11,0
89,118,1047025,-1071,-16164,-2729,-7,17,0
89,119,1047030,-1029,-16136,-2755,-6,20,-3
89,120,1047035,-1008,-16133,-2814,-7,17,-1
89,121,1047040,-1038,-16156,-2961,-6,17,-2
89,122,1047045,-1193,-16198,-2989,-6,23,-3
89,123,1047050,-1283,-16229,-2954,-9,27,-5
89,124,1047055,-1340,-16238,-2933,-8,23,-4
89,125,1047060,-1314,-16244,-3017,-5,26,0
89,126,1047065,-1251,-16243,-3080,-2,42,-2
89,127,1047070,-1193,-16200,-3068,-5,58,-3
89,128,1047075,-1174,-16184,-2988,-5,67,-4
89,129,1047080,-1102,-16134,-2973,-3,65,-5
89,130,1047085,-1080,-16174,-3010,-2,72,-4
89,131,1047090,-1017,-16154,-2917,-2,84,-6
89,132,1047095,-1087,-16109,-2780,-4,96,-10
89,133,1047100,-1069,-16127,-2698,-4,100,-11
89,134,1047105,-973,-16143,-2721,-3,102,-8
89,135,1047110,-946,-16163,-2646,-3,112,-9
89,136,1047115,-921,-16124,-2497,-4,116,-11
89,137,1047120,-981,-16140,-2412,-4,109,-10
89,138,1047125,-981,-16161,-2508,-5,94,-7
89,139,1047130,-971,-16153,-2627,-1,91,-4
89,140,1047135,-963,-16210,-2668,-2,99,-4
89,141,1047140,-989,-16164,-2613,-2,105,-4
89,142,1047145,-1095,-16143,-2594,-2,98,-4
89,143,1047150,-1098,-16194,-2650,-2,86,-3
89,144,1047155,-1114,-16163,-2680,-1,89,-1
89,145,1047160,-1032,-16148,-2618,-1,97,0
89,146,1047165,-943,-16154,-2456,-2,97,0
89,147,1047170,-901,-16149,-2363,0,83,-1
89,148,1047175,-902,-16147,-2474,-5,47,2
89,149,1047180,-981,-16183,-2431,-4,35,4
89,150,1047185,-968,-16159,-2471,-1,18,4
89,151,1047190,-1012,-16160,-2486,-2,4,7
89,152,1047195,-1029,-16141,-2561,0,-9,9
89,153,1047200,-1054,-16169,-2696,-2,-16,10
89,154,1047205,-1053,-16175,-2817,-1,-12,10
89,155,1047210,-1133,-16177,-2799,-6,-6,8
89,156,1047215,-1175,-16176,-2791,-3,-5,8
89,157,1047220,-1255,-16194,-2854,-2,-4,9
89,158,1047225,-1252,-16238,-2892,-6,4,8
89,159,1047230,-1274,-16217,-2981,-3,11,9
89,160,1047235,-1239,-16209,-3007,-2,13,10
89,161,1047240,-1152,-16163,-3031,2,23,9
89,162,1047245,-1211,-16170,-3108,3,38,6
89,163,1047250,-1154,-16217,-3072,0,57,4
89,164,1047255,-1035,-16240,-2886,-3,77,4
