event_id,swing_id,sample_rate_hz,total_samples,pre_samples,post_samples,impact_index_in_event,address_start_us,backswing_start_us,forward_start_us,impact_us,follow_start_us,end_us,event_start_us,event_end_us
1,2,200,1000,600,400,600,32800107,33215107,33805107,34365107,34365107,35030107,31365107,36360107
2,5,200,1000,600,400,600,109000107,109385107,109995107,110470107,110470107,111185107,107470107,112465107
3,6,200,1000,600,400,600,116420107,119810178,120500107,121015107,121015107,121820107,118015107,123010107
4,11,200,1000,600,400,600,159950107,160480107,161235107,161840107,161840107,162495107,158840107,163835107
5,12,200,1000,600,400,600,163835107,173925107,174620107,175235107,175235107,175925107,172235107,177230107
6,13,200,1000,600,400,600,177290112,187705107,188370107,188925107,188925107,189550107,185925107,190920107
7,14,200,1000,600,400,600,190980112,195705107,196350107,196885107,196885107,197610107,193885094,198880107
8,15,200,1000,600,400,600,203245107,208050107,208620107,209110107,209110107,210010107,206110107,211105107
9,16,200,1000,600,400,600,215465107,219160107,219775107,220310107,220310107,221105107,217310160,222305107
10,17,200,1000,600,400,600,221800107,228625107,229335107,229860107,229860107,229950107,226860107,231855107
11,18,200,1000,600,400,600,231400108,239755107,240385107,240845107,240845107,241310107,237845107,242840107
12,18,200,1000,600,400,600,231400108,239755107,240385107,240845107,240845107,241310107,258685107,263680107
