event_id,seq,ts_ms,ax,ay,az,gx,gy,gz
1,0,130332,-2043,-16299,792,-17,-37,10
1,1,130337,-2114,-16260,741,-15,-43,11
1,2,130342,-2101,-16221,692,-18,-42,14
1,3,130347,-2110,-16257,602,-18,-38,17
1,4,130352,-2126,-16285,551,-18,-26,18
1,5,130357,-2228,-16296,571,-16,-6,14
1,6,130362,-2344,-16271,558,-17,8,15
1,7,130367,-2387,-16300,579,-18,22,17
1,8,130372,-2472,-16324,611,-17,29,15
1,9,130377,-2515,-16376,690,-15,30,17
1,10,130382,-2570,-16379,703,-19,27,18
1,11,130387,-2664,-16397,726,-14,25,18
1,12,130392,-2720,-16373,706,-12,19,17
1,13,130397,-2779,-16352,725,-14,14,12
1,14,130402,-2787,-16339,671,-15,5,14
1,15,130407,-2774,-16378,688,-13,-12,15
1,16,130412,-2760,-16426,670,-11,-29,12
1,17,130417,-2765,-16409,659,-10,-45,8
1,18,130422,-2769,-16355,707,-12,-55,6
1,19,130427,-2792,-16353,559,-9,-57,5
1,20,130432,-2797,-16345,424,-4,-57,3
1,21,130437,-2779,-16333,322,-5,-50,2
1,22,130442,-2727,-16377,337,-3,-45,4
1,23,130447,-2715,-16344,402,-1,-40,1
1,24,130452,-2723,-16329,450,-2,-36,-1
1,25,130457,-2696,-16324,471,2,-32,-4
1,26,130462,-2615,-16278,461,6,-29,-4
1,27,130467,-2614,-16226,603,7,-29,-5
1,28,130472,-2578,-16198,683,6,-32,-6
1,29,130477,-2584,-16178,650,4,-38,-7
1,30,130482,-2641,-16217,552,8,-38,-10
1,31,130487,-2587,-16224,513,11,-31,-8
1,32,130492,-2531,-16161,619,10,-26,-5
1,33,130497,-2422,-16159,830,9,-32,-8
1,34,130502,-2333,-16142,978,9,-44,-10
1,35,130507,-2332,-16161,946,11,-59,-9
1,36,130512,-2328,-16183,759,11,-58,-9
1,37,130517,-2374,-16164,602,10,-52,-5
1,38,130522,-2388,-16173,548,13,-38,-5
1,39,130527,-2346,-16181,529,10,-19,-4
1,40,130532,-2282,-16205,519,13,3,-5
