event_id,seq,ts_ms,ax,ay,az,gx,gy,gz
63,0,827920,-2181,-15839,-3883,2,21,-6
63,1,827925,-2118,-15893,-3833,3,24,-3
63,2,827930,-2172,-15850,-3708,3,19,-3
63,3,827935,-2296,-15787,-3632,4,6,-5
63,4,827940,-2377,-15885,-3680,6,-2,-5
63,5,827945,-2397,-15894,-3693,7,3,-5
63,6,827950,-2350,-15861,-3679,4,2,-3
63,7,827955,-2252,-15818,-3653,5,-5,-5
63,8,827960,-2177,-15837,-3762,6,-11,-6
63,9,827965,-2188,-15783,-3770,5,-11,-6
63,10,827970,-2203,-15770,-3816,5,-4,-5
63,11,827975,-2224,-15792,-3840,5,2,-6
63,12,827980,-2196,-15816,-3802,2,3,-5
63,13,827985,-2198,-15750,-3671,-1,4,-1
63,14,827990,-2183,-15732,-3583,-1,-7,-5
63,15,827995,-2146,-15763,-3618,1,-24,-2
63,16,828000,-2059,-15803,-3871,5,-37,-1
63,17,828005,-2196,-15812,-3918,5,-34,-3
63,18,828010,-2340,-15827,-3784,5,-27,-3
63,19,828015,-2343,-15874,-3791,5,-22,-5
63,20,828020,-2215,-15878,-3887,7,-21,-2
63,21,828025,-2090,-15824,-3918,8,-11,-2
63,22,828030,-2130,-15803,-3864,7,-1,-6
63,23,828035,-2332,-15802,-3817,6,2,-9
63,24,828040,-2496,-15777,-3709,7,-1,-12
63,25,828045,-2408,-15750,-3672,6,-19,-9
63,26,828050,-2297,-15818,-3743,2,-19,-10
63,27,828055,-2274,-15777,-3645,1,-12,-12
63,28,828060,-2305,-15746,-3661,5,-9,-11
63,29,828065,-2248,-15747,-3790,6,-4,-10
63,30,828070,-2135,-15718,-3854,5,2,-10
63,31,828075,-2103,-15732,-3700,2,9,-14
63,32,828080,-2210,-15723,-3558,2,3,-11
63,33,828085,-2288,-15796,-3653,3,-4,-8
63,34,828090,-2135,-15852,-3729,4,0,-8
63,35,828095,-1955,-15820,-3466,-1,17,-10
63,36,828100,-2009,-15838,-3279,0,12,-11
63,37,828105,-2050,-15922,-3492,5,-15,-9
63,38,828110,-1991,-15935,-3803,7,-31,-8
63,39,828115,-1956,-15898,-3864,3,-32,-6
63,40,828120,-2034,-15906,-3839,0,-32,-6
63,41,828125,-2185,-15919,-3862,0,-39,-7
63,42,828130,-2243,-15882,-3898,-2,-36,-7
63,43,828135,-2238,-15844,-3823,-1,-23,-4
63,44,828140,-2187,-15832,-3714,-2,-6,-4
63,45,828145,-2135,-15863,-3525,-2,0,-4
63,46,828150,-2109,-15899,-3456,0,-5,-2
63,47,828155,-2133,-15840,-3629,2,-14,-1
63,48,828160,-2135,-15781,-3767,1,-12,-4
63,49,828165,-2221,-15691,-3683,2,-5,-4
63,50,828170,-2228,-15674,-3734,2,-5,-2
63,51,828175,-2186,-15806,-3836,4,-7,-1
63,52,828180,-2151,-15813,-3884,-1,3,-2
63,53,828185,-2207,-15780,-3768,-3,3,-4
63,54,828190,-2260,-15790,-3703,-1,-15,-1
63,55,828195,-2184,-15820,-3756,-1,-26,1
63,56,828200,-2131,-15780,-3811,-1,-25,-1
63,57,828205,-2059,-15833,-3845,-2,-13,-1
63,58,828210,-2019,-15897,-3761,-1,-7,-2
63,59,828215,-1959,-15837,-3743,-5,-11,0
63,60,828220,-1927,-15834,-3805,-1,-19,1
63,61,828225,-2051,-15852,-3810,-2,-19,-2
63,62,828230,-2267,-15831,-3808,-3,-13,-6
63,63,828235,-2276,-15877,-3823,-3,-12,-3
63,64,828240,-2250,-15862,-3892,-3,-15,-3
63,65,828245,-2187,-15811,-3809,-2,-13,-2
