event_id,seq,ts_ms,ax,ay,az,gx,gy,gz
79,0,986905,-2498,-16019,-2876,36,-17,-20
79,1,986910,-2495,-15988,-2827,35,-18,-17
79,2,986915,-2431,-15968,-2796,37,-24,-18
79,3,986920,-2454,-15986,-2740,38,-24,-21
79,4,986925,-2444,-16028,-2751,36,-28,-21
79,5,986930,-2359,-16015,-2740,35,-27,-20
79,6,986935,-2366,-16000,-2717,35,-27,-21
79,7,986940,-2298,-16007,-2703,36,-26,-21
79,8,986945,-2203,-16008,-2646,34,-23,-20
79,9,986950,-2216,-15989,-2576,29,-20,-20
79,10,986955,-2279,-15995,-2574,30,-23,-19
79,11,986960,-2325,-16017,-2536,29,-27,-19
79,12,986965,-2311,-15995,-2478,29,-26,-19
79,13,986970,-2341,-16019,-2361,28,-24,-15
79,14,986975,-2296,-16005,-2373,26,-25,-19
79,15,986980,-2248,-16009,-2404,26,-24,-17
79,16,986985,-2252,-15995,-2401,23,-24,-16
79,17,986990,-2134,-15970,-2367,21,-24,-16
79,18,986995,-2104,-15967,-2344,19,-26,-16
79,19,987000,-2229,-16003,-2374,20,-28,-14
79,20,987005,-2301,-16028,-2384,19,-30,-16
79,21,987010,-2258,-15994,-2416,15,-32,-13
79,22,987015,-2348,-16012,-2414,14,-25,-15
79,23,987020,-2329,-15965,-2341,13,-23,-13
79,24,987025,-2237,-15967,-2384,12,-29,-13
79,25,987030,-2258,-16018,-2412,8,-26,-10
79,26,987035,-2196,-16013,-2380,4,-24,-11
79,27,987040,-2200,-16004,-2354,1,-20,-10
79,28,987045,-2212,-16015,-2454,3,-20,-6
79,29,987050,-2155,-16003,-2596,2,-19,-6
79,30,987055,-2101,-16006,-2629,3,-17,-6
79,31,987060,-2124,-15990,-2594,1,-14,-4
79,32,987065,-2179,-16025,-2628,-1,-15,-4
79,33,987070,-2161,-15976,-2629,-1,-19,-4
79,34,987075,-2241,-15993,-2655,-1,-19,-3
79,35,987080,-2245,-15978,-2678,-3,-13,-5
79,36,987085,-2241,-16002,-2620,-5,-14,-4
79,37,987090,-2272,-15993,-2575,-6,-17,-5
79,38,987095,-2298,-15996,-2612,-8,-16,-4
79,39,987100,-2328,-15989,-2655,-8,-17,-5
79,40,987105,-2289,-15980,-2681,-6,-15,-3
79,41,987110,-2288,-15975,-2669,-6,-14,-2
79,42,987115,-2295,-15997,-2599,-8,-15,-3
79,43,987120,-2291,-16010,-2704,-9,-18,-1
79,44,987125,-2265,-15969,-2712,-9,-18,-3
79,45,987130,-2298,-15966,-2723,-8,-16,-1
79,46,987135,-2298,-16028,-2756,-12,-16,-1
79,47,987140,-2296,-16018,-2765,-9,-17,-1
79,48,987145,-2228,-16002,-2727,-7,-14,-4
79,49,987150,-2211,-15987,-2688,-7,-11,-3
79,50,987155,-2189,-15994,-2661,-8,-13,-1
79,51,987160,-2210,-15989,-2722,-10,-12,-2
79,52,987165,-2235,-16002,-2736,-11,-8,2
79,53,987170,-2225,-15989,-2736,-13,-8,-1
79,54,987175,-2201,-16011,-2743,-11,-9,1
79,55,987180,-2213,-16027,-2723,-8,-9,3
79,56,987185,-2172,-15992,-2756,-8,-8,3
79,57,987190,-2266,-16013,-2692,-9,-7,3
79,58,987195,-2248,-15993,-2693,-10,-6,4
79,59,987200,-2268,-15989,-2720,-12,-6,7
79,60,987205,-2325,-16045,-2717,-15,-8,5
79,61,987210,-2344,-16013,-2783,-13,-7,5
79,62,987215,-2312,-16016,-2843,-8,-10,8
79,63,987220,-2241,-16021,-2859,-12,-5,8
79,64,987225,-2274,-16036,-2880,-10,-6,8
79,65,987230,-2298,-16021,-2991,-8,-10,10
79,66,987235,-2323,-16021,-3016,-10,-8,10
79,67,987240,-2334,-16035,-3072,-9,-9,11
79,68,987245,-2374,-16016,-3014,-11,-7,9
79,69,987250,-2347,-16050,-2992,-7,-5,8
79,70,987255,-2329,-16057,-3023,-3,-7,10
79,71,987260,-2305,-16019,-3111,-5,-4,12
79,72,987265,-2308,-16006,-3161,-5,-1,8
79,73,987270,-2341,-16022,-3097,-1,-1,6
79,74,987275,-2351,-16013,-3011,1,-5,10
79,75,987280,-2421,-16015,-3049,-1,-10,9
79,76,987285,-2445,-16043,-2991,0,-7,7
79,77,987290,-2450,-16023,-2929,1,-3,5
79,78,987295,-2454,-16019,-2919,0,-3,4
79,79,987300,-2481,-15999,-2902,2,-3,3
79,80,987305,-2464,-16047,-2953,4,-9,4
79,81,987310,-2483,-16014,-2950,4,-10,4
79,82,987315,-2517,-15988,-2964,3,-5,3
79,83,987320,-2578,-16042,-2962,4,-8,2
