event_id,seq,ts_ms,ax,ay,az,gx,gy,gz
51,0,2593485,57,-16589,847,-6,39,2
51,1,2593490,42,-16573,936,-5,27,4
51,2,2593495,1,-16542,963,-1,20,5
51,3,2593500,-52,-16523,999,-2,10,2
51,4,2593505,0,-16515,998,-1,-6,3
51,5,2593510,21,-16510,983,-1,-22,5
51,6,2593515,-2,-16501,1021,0,-38,4
51,7,2593520,-39,-16486,1008,-3,-48,2
51,8,2593525,10,-16506,941,-1,-54,3
51,9,2593530,30,-16499,922,-1,-54,3
51,10,2593535,8,-16525,953,-1,-51,0
51,11,2593540,-59,-16496,934,1,-50,1
51,12,2593545,-86,-16473,883,-2,-39,2
51,13,2593550,-66,-16484,845,-1,-20,0
51,14,2593555,-15,-16503,828,0,-2,-2
51,15,2593560,55,-16523,874,-3,11,-3
51,16,2593565,55,-16559,916,-3,14,-3
51,17,2593570,-15,-16546,934,-7,17,-4
51,18,2593575,-65,-16506,965,-3,24,-6
51,19,2593580,-45,-16504,963,-3,31,-4
51,20,2593585,-4,-16527,1037,-5,36,-3
51,21,2593590,28,-16566,1049,-4,32,-5
51,22,2593595,43,-16514,1014,-2,20,-5
51,23,2593600,-8,-16503,1017,-2,10,-5
51,24,2593605,-65,-16461,1025,-2,3,-4
51,25,2593610,-111,-16425,1053,-5,-2,-6
51,26,2593615,-102,-16456,1147,-5,-13,-5
51,27,2593620,-86,-16522,1020,-4,-20,-4
51,28,2593625,-114,-16558,943,0,-26,-6
51,29,2593630,-149,-16576,932,-5,-25,-7
51,30,2593635,-114,-16616,927,-2,-19,-9
51,31,2593640,-112,-16639,981,-2,-17,-8
51,32,2593645,-96,-16641,1035,-5,-14,-7
51,33,2593650,-85,-16572,1079,-6,-10,-12
51,34,2593655,-133,-16541,1020,-6,-7,-15
51,35,2593660,-106,-16566,1010,-5,-3,-13
51,36,2593665,-94,-16520,999,-7,5,-13
51,37,2593670,8,-16530,938,-8,10,-15
51,38,2593675,86,-16557,906,-6,12,-14
51,39,2593680,-32,-16540,981,-9,19,-17
51,40,2593685,-59,-16540,948,-8,23,-19
51,41,2593690,-31,-16498,985,-5,30,-16
51,42,2593695,54,-16571,895,-6,36,-15
51,43,2593700,46,-16560,873,-10,39,-15
51,44,2593705,63,-16569,896,-8,33,-16
51,45,2593710,36,-16568,875,-6,27,-16
51,46,2593715,-21,-16538,979,-4,24,-15
51,47,2593720,14,-16495,1017,-4,18,-14
51,48,2593725,91,-16481,1082,-5,12,-12
51,49,2593730,112,-16459,1082,-5,4,-11
51,50,2593735,50,-16443,1021,-2,-11,-12
51,51,2593740,67,-16445,984,-4,-24,-10
51,52,2593745,73,-16404,934,-3,-27,-7
51,53,2593750,73,-16417,979,-8,-26,-6
51,54,2593755,1,-16435,977,-6,-26,-5
51,55,2593760,-45,-16398,921,-3,-23,-9
51,56,2593765,-45,-16424,862,-6,-19,-8
51,57,2593770,-73,-16385,812,-7,-7,-8
51,58,2593775,-71,-16403,829,-5,8,-5
51,59,2593780,-41,-16402,835,-3,16,-7
51,60,2593785,-81,-16369,800,-3,21,-8
51,61,2593790,-120,-16354,806,-2,27,-5
51,62,2593795,-122,-16350,938,-2,31,-8
51,63,2593800,-96,-16340,1003,-2,30,-10
51,64,2593805,-25,-16283,1007,-3,24,-9
51,65,2593810,14,-16326,1006,-1,17,-8
51,66,2593815,-45,-16338,993,-1,9,-8
51,67,2593820,-44,-16364,953,-1,-4,-9
51,68,2593825,-41,-16346,892,3,-15,-5
51,69,2593830,-20,-16301,927,3,-19,-4
51,70,2593835,-54,-16237,985,2,-23,-5
51,71,2593840,-58,-16202,978,2,-29,-4
51,72,2593845,-90,-16226,986,2,-34,-3
51,73,2593850,-99,-16196,977,5,-34,-1
51,74,2593855,-72,-16196,944,3,-31,-3
51,75,2593860,-56,-16227,870,2,-21,-4
51,76,2593865,13,-16269,818,3,-11,-2
51,77,2593870,-14,-16285,781,2,0,-6
51,78,2593875,-78,-16283,826,1,10,-8
51,79,2593880,-105,-16290,919,0,22,-4
51,80,2593885,-112,-16326,944,-1,28,-5
51,81,2593890,-74,-16382,868,0,38,-6
51,82,2593895,-24,-16443,847,-2,47,-7
51,83,2593900,3,-16428,857,0,49,-6
51,84,2593905,-18,-16467,855,1,40,-6
51,85,2593910,-81,-16487,924,-1,29,-6
51,86,2593915,-107,-16490,933,0,20,-6
51,87,2593920,-54,-16521,932,2,10,-3
51,88,2593925,-38,-16537,974,4,1,-2
51,89,2593930,12,-16551,1019,4,-9,-3
51,90,2593935,10,-16513,972,3,-23,-4
51,91,2593940,-45,-16548,902,3,-30,-3
51,92,2593945,-85,-16563,887,5,-33,-2
51,93,2593950,-53,-16549,939,4,-28,-3
51,94,2593955,2,-16550,898,5,-23,-1
51,95,2593960,-28,-16515,901,4,-18,-5
51,96,2593965,-22,-16523,861,5,-12,-3
51,97,2593970,-28,-16477,896,4,-5,-3
51,98,2593975,-60,-16470,914,1,2,-1
51,99,2593980,-85,-16468,902,0,8,-2
51,100,2593985,-46,-16519,863,1,15,-5
51,101,2593990,-44,-16525,897,0,18,-5
51,102,2593995,-26,-16526,831,3,18,-4
51,103,2594000,-67,-16613,874,1,12,-3
51,104,2594005,-33,-16601,934,4,5,-3
51,105,2594010,2,-16627,951,6,1,-3
51,106,2594015,11,-16631,951,3,-8,-3
51,107,2594020,-40,-16617,875,3,-15,-3
51,108,2594025,-47,-16633,856,6,-24,-4
51,109,2594030,-67,-16649,909,3,-30,-2
51,110,2594035,-46,-16694,873,5,-34,-1
51,111,2594040,-76,-16605,842,4,-35,-6
51,112,2594045,-34,-16596,875,3,-38,-5
51,113,2594050,-41,-16595,884,4,-45,-7
51,114,2594055,-16,-16573,839,3,-42,-6
51,115,2594060,-40,-16611,807,4,-35,-4
51,116,2594065,0,-16599,814,3,-26,-5
51,117,2594070,-60,-16544,817,5,-17,-7
51,118,2594075,-70,-16549,837,5,-12,-7
51,119,2594080,-76,-16517,840,1,-4,-8
51,120,2594085,-52,-16476,873,2,6,-10
51,121,2594090,-48,-16511,924,1,15,-10
51,122,2594095,-57,-16516,916,6,15,-8
51,123,2594100,-70,-16488,894,4,16,-9
51,124,2594105,-40,-16478,952,2,14,-11
51,125,2594110,-21,-16460,1075,2,6,-10
51,126,2594115,-92,-16440,1105,5,-5,-7
51,127,2594120,-73,-16414,1065,7,-20,-8
51,128,2594125,-33,-16457,1043,2,-31,-9
51,129,2594130,-5,-16478,1061,2,-46,-5
51,130,2594135,-36,-16447,1088,3,-57,-5
51,131,2594140,-65,-16433,1036,1,-64,-5
51,132,2594145,-96,-16454,947,3,-69,-6
51,133,2594150,-99,-16473,929,1,-63,-5
51,134,2594155,-55,-16503,864,1,-51,-6
51,135,2594160,4,-16468,866,3,-38,-6
51,136,2594165,-9,-16476,907,1,-23,-6
51,137,2594170,-67,-16449,885,1,-13,-8
51,138,2594175,-109,-16488,945,-2,3,-9
51,139,2594180,-140,-16449,949,-2,17,-7
51,140,2594185,-97,-16419,936,-3,26,-10
51,141,2594190,-8,-16452,997,-6,37,-10
51,142,2594195,42,-16514,1049,-5,34,-10
51,143,2594200,29,-16503,1007,-5,29,-10
51,144,2594205,27,-16503,1014,-5,20,-9
51,145,2594210,49,-16506,1008,-4,13,-9
51,146,2594215,5,-16516,990,-3,3,-5
51,147,2594220,-36,-16505,1009,-6,-7,-6
51,148,2594225,-27,-16552,1016,-4,-19,-7
51,149,2594230,-39,-16535,1003,-7,-33,-6
51,150,2594235,-51,-16511,945,-2,-37,-3
51,151,2594240,-40,-16492,891,-2,-38,-4
51,152,2594245,-64,-16513,825,-2,-36,-6
51,153,2594250,-76,-16512,778,-4,-37,-5
51,154,2594255,-65,-16510,783,-4,-28,-6
51,155,2594260,-80,-16522,743,-3,-15,-5
51,156,2594265,-35,-16474,846,-3,-4,-4
51,157,2594270,-67,-16404,872,-5,6,-6
51,158,2594275,-46,-16386,927,-4,8,-4
51,159,2594280,-86,-16371,970,-5,7,-8
51,160,2594285,-66,-16384,951,-6,9,-8
51,161,2594290,-49,-16412,977,-5,11,-7
51,162,2594295,-16,-16411,999,-4,12,-7
51,163,2594300,11,-16437,972,-8,15,-6
51,164,2594305,-10,-16416,906,-6,13,-7
51,165,2594310,11,-16442,899,-7,9,-5
51,166,2594315,21,-16459,910,-6,7,-4
51,167,2594320,9,-16493,942,-5,6,-5
51,168,2594325,-20,-16504,945,-4,0,-5
51,169,2594330,-31,-16573,963,-5,-8,-3
51,170,2594335,-29,-16554,941,-4,-12,-3
51,171,2594340,-51,-16536,893,-3,-18,-4
51,172,2594345,-65,-16546,880,-2,-23,-4
51,173,2594350,-112,-16524,825,-3,-25,-2
51,174,2594355,-129,-16467,794,-2,-22,-4
51,175,2594360,-56,-16456,762,-3,-19,-4
51,176,2594365,-59,-16475,841,-4,-15,-2
51,177,2594370,-99,-16466,875,-2,-12,-6
51,178,2594375,-81,-16435,887,-2,-7,-5
51,179,2594380,-84,-16385,892,-5,-5,-3
51,180,2594385,-114,-16427,876,-3,-7,-4
