event_id,seq,ts_ms,ax,ay,az,gx,gy,gz
3,0,113018,-171,-16433,1463,4,-121,4
3,1,113023,-233,-16436,1490,4,-123,4
3,2,113028,-255,-16424,1429,4,-124,3
3,3,113033,-202,-16452,1450,3,-118,0
3,4,113038,-175,-16491,1499,1,-108,-3
3,5,113043,-162,-16413,1519,2,-103,-5
3,6,113048,-124,-16410,1624,2,-102,-4
3,7,113053,-75,-16415,1549,2,-104,0
3,8,113058,-13,-16427,1578,2,-98,-2
3,9,113063,71,-16413,1664,-3,-85,-5
3,10,113068,35,-16375,1674,-6,-78,-5
3,11,113073,72,-16447,1594,-5,-80,-6
3,12,113078,139,-16446,1517,-8,-74,-3
3,13,113083,86,-16397,1518,-11,-63,-3
3,14,113088,0,-16409,1489,-11,-56,-5
3,15,113093,-64,-16476,1396,-10,-56,-4
3,16,113098,-223,-16545,1173,-10,-58,-4
3,17,113103,-403,-16523,856,-9,-59,-3
3,18,113108,-565,-16515,717,-7,-46,-4
3,19,113113,-713,-16569,603,-7,-33,-10
3,20,113118,-692,-16631,588,-3,-25,-13
3,21,113123,-554,-16619,771,-2,-13,-14
3,22,113128,-500,-16520,1034,-3,1,-19
3,23,113133,-470,-16461,1322,-2,11,-24
3,24,113138,-350,-16354,1706,-1,19,-29
3,25,113143,-213,-16320,1791,-1,26,-26
3,26,113148,-76,-16341,1823,-1,34,-30
3,27,113153,-1,-16307,1999,-2,42,-34
3,28,113158,-25,-16340,2015,-3,31,-34
3,29,113163,-36,-16333,1906,-5,8,-32
3,30,113168,-25,-16397,1822,-5,-8,-32
3,31,113173,73,-16410,1642,-4,-12,-29
3,32,113178,62,-16401,1671,-6,-14,-24
3,33,113183,71,-16391,1721,-8,-29,-25
3,34,113188,100,-16362,1623,-10,-54,-22
3,35,113193,287,-16399,1526,-10,-65,-20
3,36,113198,446,-16422,1463,-8,-70,-17
3,37,113203,562,-16406,1424,-6,-70,-15
3,38,113208,588,-16393,1446,-6,-73,-10
3,39,113213,635,-16353,1324,-4,-89,-3
3,40,113218,540,-16394,1148,-3,-97,-4
3,41,113223,351,-16491,967,-3,-98,-4
3,42,113228,166,-16569,720,-1,-88,0
3,43,113233,-1,-16584,674,2,-64,-5
3,44,113238,-76,-16591,608,-1,-40,-4
3,45,113243,-193,-16544,769,-1,-12,-6
3,46,113248,-297,-16481,1017,0,10,-12
3,47,113253,-435,-16440,1250,3,29,-17
3,48,113258,-573,-16420,1286,3,46,-24
3,49,113263,-609,-16487,1350,1,67,-28
3,50,113268,-569,-16486,1450,2,84,-31
3,51,113273,-480,-16462,1507,3,94,-35
3,52,113278,-449,-16436,1664,-1,94,-38
3,53,113283,-448,-16391,1815,0,82,-43
3,54,113288,-415,-16354,1883,-1,64,-43
3,55,113293,-308,-16385,1866,-2,53,-41
3,56,113298,-165,-16397,1856,-2,53,-42
3,57,113303,18,-16353,1962,-4,51,-43
3,58,113308,205,-16295,1988,-7,31,-42
3,59,113313,280,-16299,1830,-4,-3,-37
3,60,113318,401,-16489,1635,-4,-37,-32
3,61,113323,436,-16460,1430,-4,-63,-24
