event_id,seq,ts_ms,ax,ay,az,gx,gy,gz
32,0,2075010,-108,-16416,916,17,-22,2
32,1,2075015,-157,-16418,927,21,-28,2
32,2,2075020,-183,-16412,836,14,-27,-1
32,3,2075025,-182,-16421,775,12,-23,-3
32,4,2075030,-181,-16448,745,14,-24,-2
32,5,2075035,-218,-16452,762,13,-26,-3
32,6,2075040,-213,-16478,715,12,-24,-2
32,7,2075045,-162,-16472,651,10,-24,-2
32,8,2075050,-72,-16435,646,9,-20,-6
32,9,2075055,-32,-16454,690,14,-17,-7
32,10,2075060,28,-16474,714,13,-17,-7
32,11,2075065,62,-16495,723,11,-19,-4
32,12,2075070,74,-16509,722,12,-18,-3
32,13,2075075,51,-16535,706,13,-16,-1
32,14,2075080,38,-16552,739,11,-15,-1
32,15,2075085,72,-16532,761,11,-15,-2
32,16,2075090,119,-16509,762,9,-17,-6
32,17,2075095,143,-16490,776,6,-15,-2
32,18,2075100,101,-16528,805,8,-13,0
32,19,2075105,37,-16528,879,8,-9,2
32,20,2075110,-4,-16542,809,8,-9,3
32,21,2075115,30,-16522,768,6,-8,0
32,22,2075120,8,-16453,752,2,-6,-2
32,23,2075125,108,-16419,720,3,-4,-1
32,24,2075130,120,-16403,701,4,1,0
32,25,2075135,115,-16392,700,5,2,3
32,26,2075140,88,-16417,737,4,5,5
32,27,2075145,3,-16445,821,3,9,2
32,28,2075150,-34,-16423,826,2,7,1
32,29,2075155,-30,-16420,829,4,6,-2
32,30,2075160,-62,-16405,809,2,6,2
32,31,2075165,-88,-16438,790,-1,13,3
32,32,2075170,-136,-16444,753,-1,16,4
32,33,2075175,-179,-16432,754,-1,19,6
32,34,2075180,-164,-16434,780,-1,20,2
32,35,2075185,-167,-16398,801,-2,21,0
32,36,2075190,-103,-16322,810,-2,23,-2
32,37,2075195,-52,-16334,831,-1,21,-2
32,38,2075200,-63,-16355,869,-3,22,0
32,39,2075205,-136,-16345,888,-5,19,2
32,40,2075210,-179,-16363,854,-4,15,0
32,41,2075215,-268,-16360,852,-4,14,0
32,42,2075220,-228,-16433,895,-6,11,-2
32,43,2075225,-227,-16460,939,-9,6,-1
32,44,2075230,-237,-16461,947,-7,1,-4
32,45,2075235,-240,-16473,938,-5,-4,-3
