049072,0.027588,-0.0üESP-ROM:esp32s3-20210327
Build:Mar 27 2021
rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:1
load:0x3fce2820,len:0x158c
load:0x403c8700,len:0xd24
load:0x403cb700,len:0x2f34
entry 0x403c8924
I (24) boot: ESP-IDF -128-NOTFOUND 2nd stage bootloader
I (25) boot: compile time Apr 20 2026 11:22:55
I (25) boot: Multicore bootloader
I (26) boot: chip revision: v0.2
I (28) boot: efuse block revision: v1.3
I (32) boot.esp32s3: Boot SPI Speed : 80MHz
I (36) boot.esp32s3: SPI Mode       : DIO
I (39) boot.esp32s3: SPI Flash Size : 8MB
I (43) boot: Enabling RNG early entropy source...
I (48) boot: Partition Table:
I (50) boot: ## Label            Usage          Type ST Offset   Length
I (57) boot:  0 nvs              WiFi data        01 02 00009000 00006000
I (63) boot:  1 phy_init         RF data          01 01 0000f000 00001000
I (70) boot:  2 factory          factory app      00 00 00010000 00100000
I (76) boot: End of partition table
I (80) esp_image: segment 0: paddr=00010020 vaddr=3c020020 size=0e844h ( 59460) map
I (97) esp_image: segment 1: paddr=0001e86c vaddr=3fc94e00 size=017ach (  6060) load
I (99) esp_image: segment 2: paddr=00020020 vaddr=42000020 size=1c788h (116616) map
I (122) esp_image: segment 3: paddr=0003c7b0 vaddr=3fc965ac size=015d4h (  5588) load
I (124) esp_image: segment 4: paddr=0003dd8c vaddr=40374000 size=10d20h ( 68896) load
I (141) esp_image: segment 5: paddr=0004eab4 vaddr=50000000 size=00020h (    32) load
I (148) boot: Loaded app from partition at offset 0x10000
I (148) boot: Disabling RNG early entropy source...
I (159) cpu_start: Multicore app
I (167) cpu_start: GPIO 44 and 43 are used as console UART I/O pins
I (168) cpu_start: Pro cpu start user code
I (168) cpu_start: cpu freq: 160000000 Hz
I (170) app_init: Application information:
I (173) app_init: Project name:     ESP32_IMU_setup_NEW
I (178) app_init: App version:      90b41be-dirty
I (183) app_init: Compile time:     Apr 22 2026 13:48:19
I (188) app_init: ELF file SHA256:  8bd271c93...
I (192) app_init: ESP-IDF:          -128-NOTFOUND
I (197) efuse_init: Min chip rev:     v0.0
I (200) efuse_init: Max chip rev:     v0.99 
I (204) efuse_init: Chip rev:         v0.2
I (208) heap_init: Initializing. RAM available for dynamic allocation:
I (215) heap_init: At 3FC9E2D0 len 0004B440 (301 KiB): RAM
I (220) heap_init: At 3FCE9710 len 00005724 (21 KiB): RAM
I (225) heap_init: At 3FCF0000 len 00008000 (32 KiB): DRAM
I (230) heap_init: At 600FE000 len 00001FE8 (7 KiB): RTCRAM
I (236) spi_flash: detected chip: gd
I (239) spi_flash: flash io: dio
I (242) sleep_gpio: Configure to isolate all GPIO pins in sleep state
I (248) sleep_gpio: Enable automatic switching of GPIO sleep configuration
I (255) coexist: coex firmware version: 7260f71
I (259) coexist: coexist rom version e7ae62f
I (263) main_task: Started on CPU0
I (286) main_task: Calling app_main()
I (286) MAIN: Starter IMU drift-test
I (3560) main_task: Returned from app_main()
t_us,gx_raw,gy_raw,gz_raw,gx_corr,gy_corr,gz_corr
3825160,0,-8,-5,-0.049072,-0.031494,-0.063354
3826432,0,-8,-5,-0.049072,-0.031494,-0.063354
3827393,0,-8,-5,-0.049072,-0.031494,-0.063354
3830666,1,-7,-3,0.011963,0.029541,0.058716
3834487,-1,-9,-3,-0.110107,-0.092529,0.058716
3838567,1,-8,-2,0.011963,-0.031494,0.119751
3842467,1,-8,-2,0.011963,-0.031494,0.119751
3846376,3,-7,-6,0.134033,0.029541,-0.124390
3850278,3,-6,-5,0.134033,0.090576,-0.063354
3854188,2,-8,-4,0.072998,-0.031494,-0.002319
3858177,0,-7,-5,-0.049072,0.029541,-0.063354
3862173,0,-7,-5,-0.049072,0.029541,-0.063354
3866162,0,-8,-6,-0.049072,-0.031494,-0.124390
3870245,3,-7,-4,0.134033,0.029541,-0.002319
3874147,5,-8,-2,0.256104,-0.031494,0.119751
3878057,3,-7,-4,0.134033,0.029541,-0.002319
3881959,3,-7,-4,0.134033,0.029541,-0.002319
3885869,2,-6,-3,0.072998,0.090576,0.058716
3889684,2,-7,-3,0.072998,0.029541,0.058716
3893507,2,-7,-2,0.072998,0.029541,0.119751
3897325,2,-8,-4,0.072998,-0.031494,-0.002319
3901321,2,-8,-4,0.072998,-0.031494,-0.002319
3905308,3,-6,-2,0.134033,0.090576,0.119751
3909130,1,-7,-5,0.011963,0.029541,-0.063354
3913032,1,-10,-6,0.011963,-0.153564,-0.124390
3917116,1,-7,-4,0.011963,0.029541,-0.002319
3921018,1,-7,-4,0.011963,0.029541,-0.002319
3924927,3,-6,-1,0.134033,0.090576,0.180786
3928743,0,-8,-3,-0.049072,-0.031494,0.058716
3932739,0,-10,-4,-0.049072,-0.153564,-0.002319
3936901,-1,-8,-4,-0.110107,-0.031494,-0.002319
3941079,-1,-8,-4,-0.110107,-0.031494,-0.002319
3945234,0,-7,-3,-0.049072,0.029541,0.058716
3949144,0,-6,-3,-0.049072,0.090576,0.058716
3953046,0,-9,-5,-0.049072,-0.092529,-0.063354
3957129,2,-9,-4,0.072998,-0.092529,-0.002319
3961118,0,-4,-4,-0.049072,0.212646,-0.002319
3965114,0,-4,-4,-0.049072,0.212646,-0.002319
3969109,-1,-7,-2,-0.110107,0.029541,0.119751
3973109,2,-9,-5,0.072998,-0.092529,-0.063354
3977096,2,-7,-6,0.072998,0.029541,-0.124390
3980998,0,-6,-7,-0.049072,0.090576,-0.185425
3984987,0,-6,-7,-0.049072,0.090576,-0.185425
3988983,-1,-9,-7,-0.110107,-0.092529,-0.185425
3993146,-1,-8,-3,-0.110107,-0.031494,0.058716
3997229,1,-5,-3,0.011963,0.151611,0.058716
4001044,3,-7,-3,0.134033,0.029541,0.058716
4004867,3,-7,-3,0.134033,0.029541,0.058716
4008683,0,-6,-1,-0.049072,0.090576,0.180786
4012597,2,-9,-3,0.072998,-0.092529,0.058716
4016494,-1,-9,-4,-0.110107,-0.092529,-0.002319
4020664,1,-8,-4,0.011963,-0.031494,-0.002319
4024653,1,-8,-4,0.011963,-0.031494,-0.002319
4028650,1,-9,-6,0.011963,-0.092529,-0.124390
4032639,0,-5,-6,-0.049072,0.151611,-0.124390
4036635,2,-6,-1,0.072998,0.090576,0.180786
4040450,-1,-7,0,-0.110107,0.029541,0.241821
4044360,-1,-7,0,-0.110107,0.029541,0.241821
4048262,3,-7,-6,0.134033,0.029541,-0.124390
4052172,2,-7,-6,0.072998,0.029541,-0.124390
4056082,2,-8,-6,0.072998,-0.031494,-0.124390
4060077,2,-8,-4,0.072998,-0.031494,-0.002319
4064067,2,-8,-4,0.072998,-0.031494,-0.002319
4068055,-1,-9,-4,-0.110107,-0.092529,-0.002319
4072218,-1,-8,-3,-0.110107,-0.031494,0.058716
4076301,2,-8,-5,0.072998,-0.031494,-0.063354
4080290,3,-9,-4,0.134033,-0.092529,-0.002319
4084286,3,-9,-4,0.134033,-0.092529,-0.002319
4088275,1,-6,-5,0.011963,0.090576,-0.063354
4092185,-1,-8,-5,-0.110107,-0.031494,-0.063354
4096356,2,-11,-4,0.072998,-0.214600,-0.002319
4100431,2,-8,-5,0.072998,-0.031494,-0.063354
4104420,0,-9,-8,-0.049072,-0.092529,-0.246460
4108503,0,-9,-8,-0.049072,-0.092529,-0.246460
4112579,1,-6,-5,0.011963,0.090576,-0.063354
4116488,2,-6,-2,0.072998,0.090576,0.119751
4120303,0,-7,-3,-0.049072,0.029541,0.058716
4124213,2,-8,-5,0.072998,-0.031494,-0.063354
4128202,2,-8,-5,0.072998,-0.031494,-0.063354
4132198,1,-8,-4,0.011963,-0.031494,-0.002319
4136187,0,-8,-4,-0.049072,-0.031494,-0.002319
4140270,0,-8,-3,-0.049072,-0.031494,0.058716
4144259,1,-6,-6,0.011963,0.090576,-0.124390
4148169,1,-6,-6,0.011963,0.090576,-0.124390
4152078,3,-9,-2,0.134033,-0.092529,0.119751
4155981,2,-11,-2,0.072998,-0.214600,0.119751
4159969,1,-10,-4,0.011963,-0.153564,-0.002319
4164053,2,-7,-4,0.072998,0.029541,-0.002319
4167955,2,-7,-4,0.072998,0.029541,-0.002319
4171865,1,-9,-2,0.011963,-0.092529,0.119751
4175767,0,-7,-4,-0.049072,0.029541,-0.002319
