-0.790039,-14.5302·ESP-ROM:esp32s3-20210327
Build:Mar 27 2021
rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:1
load:0x3fce2820,len:0x158c
load:0x403c8700,len:0xd24
load:0x403cb700,len:0x2f34
entry 0x403c8924
I (24) boot: ESP-IDF -128-NOTFOUND 2nd stage bootloader
I (25) boot: compile time Apr 20 2026 11:22:55
I (25) boot: Multicore bootloader
I (26) boot: chip revision: v0.2
I (28) boot: efuse block revision: v1.3
I (32) boot.esp32s3: Boot SPI Speed : 80MHz
I (36) boot.esp32s3: SPI Mode       : DIO
I (39) boot.esp32s3: SPI Flash Size : 8MB
I (43) boot: Enabling RNG early entropy source...
I (48) boot: Partition Table:
I (50) boot: ## Label            Usage          Type ST Offset   Length
I (57) boot:  0 nvs              WiFi data        01 02 00009000 00006000
I (63) boot:  1 phy_init         RF data          01 01 0000f000 00001000
I (70) boot:  2 factory          factory app      00 00 00010000 00100000
I (76) boot: End of partition table
I (80) esp_image: segment 0: paddr=00010020 vaddr=3c020020 size=0e844h ( 59460) map
I (97) esp_image: segment 1: paddr=0001e86c vaddr=3fc94e00 size=017ach (  6060) load
I (99) esp_image: segment 2: paddr=00020020 vaddr=42000020 size=1c788h (116616) map
I (122) esp_image: segment 3: paddr=0003c7b0 vaddr=3fc965ac size=015d4h (  5588) load
I (124) esp_image: segment 4: paddr=0003dd8c vaddr=40374000 size=10d20h ( 68896) load
I (141) esp_image: segment 5: paddr=0004eab4 vaddr=50000000 size=00020h (    32) load
I (148) boot: Loaded app from partition at offset 0x10000
I (148) boot: Disabling RNG early entropy source...
I (159) cpu_start: Multicore app
I (167) cpu_start: GPIO 44 and 43 are used as console UART I/O pins
I (168) cpu_start: Pro cpu start user code
I (168) cpu_start: cpu freq: 160000000 Hz
I (170) app_init: Application information:
I (173) app_init: Project name:     ESP32_IMU_setup_NEW
I (178) app_init: App version:      af12b68-dirty
I (183) app_init: Compile time:     Apr 27 2026 11:33:17
I (188) app_init: ELF file SHA256:  e2bc1d974...
I (192) app_init: ESP-IDF:          -128-NOTFOUND
I (197) efuse_init: Min chip rev:     v0.0
I (200) efuse_init: Max chip rev:     v0.99 
I (204) efuse_init: Chip rev:         v0.2
I (208) heap_init: Initializing. RAM available for dynamic allocation:
I (215) heap_init: At 3FC9E2D0 len 0004B440 (301 KiB): RAM
I (220) heap_init: At 3FCE9710 len 00005724 (21 KiB): RAM
I (225) heap_init: At 3FCF0000 len 00008000 (32 KiB): DRAM
I (230) heap_init: At 600FE000 len 00001FE8 (7 KiB): RTCRAM
I (236) spi_flash: detected chip: gd
I (239) spi_flash: flash io: dio
I (242) sleep_gpio: Configure to isolate all GPIO pins in sleep state
I (248) sleep_gpio: Enable automatic switching of GPIO sleep configuration
I (255) coexist: coex firmware version: 7260f71
I (259) coexist: coexist rom version e7ae62f
I (263) main_task: Started on CPU0
I (286) main_task: Calling app_main()
I (286) MAIN: Starter IMU drift-test
I (3560) main_task: Returned from app_main()
t_us,gx_raw,gy_raw,gz_raw,gx_corr,gy_corr,gz_corr
3825160,4,-6,-5,0.190308,0.059204,-0.047485
3826440,4,-6,-5,0.190308,0.059204,-0.047485
3827399,4,-6,-5,0.190308,0.059204,-0.047485
3830145,2,-8,-4,0.068237,-0.062866,0.013550
3834047,0,-8,-3,-0.053833,-0.062866,0.074585
3838044,-1,-7,-4,-0.114868,-0.001831,0.013550
3842119,-1,-7,-4,-0.114868,-0.001831,0.013550
3846202,2,-8,-4,0.068237,-0.062866,0.013550
3850108,0,-10,-4,-0.053833,-0.184937,0.013550
3854188,-1,-8,-5,-0.114868,-0.062866,-0.047485
3858359,1,-5,-4,0.007202,0.120239,0.013550
3862173,1,-5,-4,0.007202,0.120239,0.013550
3865988,-1,-9,-4,-0.114868,-0.123901,0.013550
3870079,-2,-8,-4,-0.175903,-0.062866,0.013550
3874147,0,-7,-4,-0.053833,-0.001831,0.013550
3878144,-1,-8,-5,-0.114868,-0.062866,-0.047485
3882306,0,-6,-4,-0.053833,0.059204,0.013550
3886216,0,-6,-4,-0.053833,0.059204,0.013550
3890118,3,-9,-3,0.129272,-0.123901,0.074585
3894027,3,-10,-1,0.129272,-0.184937,0.196655
3898016,1,-6,-3,0.007202,0.059204,0.074585
3901839,1,-6,-3,0.007202,0.059204,0.074585
3905655,1,-8,-4,0.007202,-0.062866,0.013550
3909565,0,-7,-5,-0.053833,-0.001831,-0.047485
3913640,2,-7,-3,0.068237,-0.001831,0.074585
3917550,2,-5,-5,0.068237,0.120239,-0.047485
3921452,2,-5,-5,0.068237,0.120239,-0.047485
3925361,1,-7,-4,0.007202,-0.001831,0.013550
3929263,3,-9,-6,0.129272,-0.123901,-0.108521
3933260,-1,-7,-4,-0.114868,-0.001831,0.013550
3937335,2,-9,-2,0.068237,-0.123901,0.135620
3941245,2,-9,-2,0.068237,-0.123901,0.135620
3945147,2,-10,-5,0.068237,-0.184937,-0.047485
3949230,3,-8,-3,0.129272,-0.062866,0.074585
3953132,2,-8,-5,0.068237,-0.062866,-0.047485
3957129,3,-8,-3,0.129272,-0.062866,0.074585
3961031,3,-8,-3,0.129272,-0.062866,0.074585
3964941,1,-6,-2,0.007202,0.059204,0.135620
3968756,0,-7,-7,-0.053833,-0.001831,-0.169556
3972839,0,-6,-6,-0.053833,0.059204,-0.108521
3976832,1,-8,-5,0.007202,-0.062866,-0.047485
3980828,1,-8,-5,0.007202,-0.062866,-0.047485
3984820,2,-8,-3,0.068237,-0.062866,0.074585
3988723,1,-5,-2,0.007202,0.120239,0.135620
3992539,-1,-6,-5,-0.114868,0.059204,-0.047485
3996622,1,-8,-5,0.007202,-0.062866,-0.047485
4000611,1,-8,-5,0.007202,-0.062866,-0.047485
4004608,2,-8,-3,0.068237,-0.062866,0.074585
4008509,1,-7,-6,0.007202,-0.001831,-0.108521
4012505,2,-8,-5,0.068237,-0.062866,-0.047485
4016494,-1,-7,-4,-0.114868,-0.001831,0.013550
4020578,-1,-5,-5,-0.114868,0.120239,-0.047485
4024653,-1,-5,-5,-0.114868,0.120239,-0.047485
4028736,3,-8,-7,0.129272,-0.062866,-0.169556
4032725,5,-7,-3,0.251343,-0.001831,0.074585
4036635,2,-7,-2,0.068237,-0.001831,0.135620
4040537,2,-7,-5,0.068237,-0.001831,-0.047485
4044534,2,-7,-5,0.068237,-0.001831,-0.047485
4048522,2,-7,-7,0.068237,-0.001831,-0.169556
4052519,0,-8,-5,-0.053833,-0.062866,-0.047485
4056598,0,-8,-4,-0.053833,-0.062866,0.013550
4060591,-1,-4,-3,-0.114868,0.181274,0.074585
4064580,-1,-4,-3,-0.114868,0.181274,0.074585
4068576,-2,-5,-4,-0.175903,0.120239,0.013550
