29350094,ÿESP-ROM:esp32s3-20210327
Build:Mar 27 2021
rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:1
load:0x3fce2820,len:0x158c
load:0x403c8700,len:0xd24
load:0x403cb700,len:0x2f34
entry 0x403c8924
I (24) boot: ESP-IDF -128-NOTFOUND 2nd stage bootloader
I (25) boot: compile time Apr 20 2026 11:22:55
I (25) boot: Multicore bootloader
I (26) boot: chip revision: v0.2
I (28) boot: efuse block revision: v1.3
I (32) boot.esp32s3: Boot SPI Speed : 80MHz
I (36) boot.esp32s3: SPI Mode       : DIO
I (39) boot.esp32s3: SPI Flash Size : 8MB
I (43) boot: Enabling RNG early entropy source...
I (48) boot: Partition Table:
I (50) boot: ## Label            Usage          Type ST Offset   Length
I (57) boot:  0 nvs              WiFi data        01 02 00009000 00006000
I (63) boot:  1 phy_init         RF data          01 01 0000f000 00001000
I (70) boot:  2 factory          factory app      00 00 00010000 00100000
I (76) boot: End of partition table
I (80) esp_image: segment 0: paddr=00010020 vaddr=3c020020 size=0e844h ( 59460) map
I (97) esp_image: segment 1: paddr=0001e86c vaddr=3fc94e00 size=017ach (  6060) load
I (99) esp_image: segment 2: paddr=00020020 vaddr=42000020 size=1c788h (116616) map
I (122) esp_image: segment 3: paddr=0003c7b0 vaddr=3fc965ac size=015d4h (  5588) load
I (124) esp_image: segment 4: paddr=0003dd8c vaddr=40374000 size=10d20h ( 68896) load
I (141) esp_image: segment 5: paddr=0004eab4 vaddr=50000000 size=00020h (    32) load
I (148) boot: Loaded app from partition at offset 0x10000
I (148) boot: Disabling RNG early entropy source...
I (159) cpu_start: Multicore app
I (167) cpu_start: GPIO 44 and 43 are used as console UART I/O pins
I (168) cpu_start: Pro cpu start user code
I (168) cpu_start: cpu freq: 160000000 Hz
I (170) app_init: Application information:
I (173) app_init: Project name:     ESP32_IMU_setup_NEW
I (178) app_init: App version:      af12b68-dirty
I (183) app_init: Compile time:     Apr 27 2026 11:33:17
I (188) app_init: ELF file SHA256:  e2bc1d974...
I (192) app_init: ESP-IDF:          -128-NOTFOUND
I (197) efuse_init: Min chip rev:     v0.0
I (200) efuse_init: Max chip rev:     v0.99 
I (204) efuse_init: Chip rev:         v0.2
I (208) heap_init: Initializing. RAM available for dynamic allocation:
I (215) heap_init: At 3FC9E2D0 len 0004B440 (301 KiB): RAM
I (220) heap_init: At 3FCE9710 len 00005724 (21 KiB): RAM
I (225) heap_init: At 3FCF0000 len 00008000 (32 KiB): DRAM
I (230) heap_init: At 600FE000 len 00001FE8 (7 KiB): RTCRAM
I (236) spi_flash: detected chip: gd
I (239) spi_flash: flash io: dio
I (242) sleep_gpio: Configure to isolate all GPIO pins in sleep state
I (248) sleep_gpio: Enable automatic switching of GPIO sleep configuration
I (255) coexist: coex firmware version: 7260f71
I (259) coexist: coexist rom version e7ae62f
I (263) main_task: Started on CPU0
I (286) main_task: Calling app_main()
I (286) MAIN: Starter IMU drift-test
I (3560) main_task: Returned from app_main()
t_us,gx_raw,gy_raw,gz_raw,gx_corr,gy_corr,gz_corr
3825160,2,-8,-6,0.112915,-0.028931,-0.123657
3826441,2,-8,-6,0.112915,-0.028931,-0.123657
3827404,2,-8,-6,0.112915,-0.028931,-0.123657
3830406,-1,-7,-4,-0.070190,0.032104,-0.001587
3834481,-1,-4,-1,-0.070190,0.215210,0.181519
3838478,-1,-6,-3,-0.070190,0.093140,0.059448
3842466,-1,-6,-3,-0.070190,0.093140,0.059448
3846463,1,-9,-6,0.051880,-0.089966,-0.123657
3850452,-1,-8,-8,-0.070190,-0.028931,-0.245728
3854622,-1,-7,-8,-0.070190,0.032104,-0.245728
3858698,-1,-7,-5,-0.070190,0.032104,-0.062622
3862781,-2,-7,-5,-0.131226,0.032104,-0.062622
3866856,-2,-7,-5,-0.131226,0.032104,-0.062622
3870940,-1,-8,-6,-0.070190,-0.028931,-0.123657
3875108,0,-10,-4,-0.009155,-0.151001,-0.001587
3879272,1,-7,-5,0.051880,0.032104,-0.062622
3883174,0,-7,-4,-0.009155,0.032104,-0.001587
3887171,-1,-7,-5,-0.070190,0.032104,-0.062622
3891246,-1,-7,-5,-0.070190,0.032104,-0.062622
3895330,-1,-7,-2,-0.070190,0.032104,0.120483
3899320,0,-9,-2,-0.009155,-0.089966,0.120483
3903315,1,-10,-4,0.051880,-0.151001,-0.001587
3907391,2,-10,-3,0.112915,-0.151001,0.059448
3911387,2,-10,-3,0.112915,-0.151001,0.059448
3915376,0,-9,-2,-0.009155,-0.089966,0.120483
3919372,-1,-6,-4,-0.070190,0.093140,-0.001587
3923448,-1,-8,-4,-0.070190,-0.028931,-0.001587
3927618,0,-11,-3,-0.009155,-0.212036,0.059448
3931694,0,-8,-5,-0.009155,-0.028931,-0.062622
3935777,0,-8,-5,-0.009155,-0.028931,-0.062622
3939852,-1,-8,-5,-0.070190,-0.028931,-0.062622
3944023,-1,-8,-4,-0.070190,-0.028931,-0.001587
3948185,-2,-7,-4,-0.131226,0.032104,-0.001587
3952268,0,-8,-6,-0.009155,-0.028931,-0.123657
3956352,-1,-9,-4,-0.070190,-0.089966,-0.001587
3960514,-1,-9,-4,-0.070190,-0.089966,-0.001587
3964677,-1,-10,-3,-0.070190,-0.151001,0.059448
3968846,1,-7,-3,0.051880,0.032104,0.059448
3972662,2,-8,-3,0.112915,-0.028931,0.059448
3976572,1,-7,-6,0.051880,0.032104,-0.123657
3980474,1,-7,-6,0.051880,0.032104,-0.123657
3984383,1,-8,-5,0.051880,-0.028931,-0.062622
3988372,-2,-8,-5,-0.131226,-0.028931,-0.062622
3992542,-1,-6,-4,-0.070190,0.093140,-0.001587
3996618,2,-6,-1,0.112915,0.093140,0.181519
4000441,2,-6,-1,0.112915,0.093140,0.181519
4004256,2,-7,-3,0.112915,0.032104,0.059448
4008085,1,-6,-4,0.051880,0.093140,-0.001587
4011981,1,-7,-2,0.051880,0.032104,0.120483
4015813,2,-8,-5,0.112915,-0.028931,-0.062622
4019793,2,-8,-5,0.112915,-0.028931,-0.062622
4023789,1,-6,-5,0.051880,0.093140,-0.062622
4027691,1,-6,-5,0.051880,0.093140,-0.062622
4031603,2,-7,-4,0.112915,0.032104,-0.001587
