305086,1,-7,-4,0.0ÿESP-ROM:esp32s3-20210327
Build:Mar 27 2021
rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:1
load:0x3fce2820,len:0x158c
load:0x403c8700,len:0xd24
load:0x403cb700,len:0x2f34
entry 0x403c8924
I (24) boot: ESP-IDF -128-NOTFOUND 2nd stage bootloader
I (25) boot: compile time Apr 20 2026 11:22:55
I (25) boot: Multicore bootloader
I (26) boot: chip revision: v0.2
I (28) boot: efuse block revision: v1.3
I (32) boot.esp32s3: Boot SPI Speed : 80MHz
I (36) boot.esp32s3: SPI Mode       : DIO
I (39) boot.esp32s3: SPI Flash Size : 8MB
I (43) boot: Enabling RNG early entropy source...
I (48) boot: Partition Table:
I (50) boot: ## Label            Usage          Type ST Offset   Length
I (57) boot:  0 nvs              WiFi data        01 02 00009000 00006000
I (63) boot:  1 phy_init         RF data          01 01 0000f000 00001000
I (70) boot:  2 factory          factory app      00 00 00010000 00100000
I (76) boot: End of partition table
I (80) esp_image: segment 0: paddr=00010020 vaddr=3c020020 size=0e844h ( 59460) map
I (97) esp_image: segment 1: paddr=0001e86c vaddr=3fc94e00 size=017ach (  6060) load
I (99) esp_image: segment 2: paddr=00020020 vaddr=42000020 size=1c788h (116616) map
I (122) esp_image: segment 3: paddr=0003c7b0 vaddr=3fc965ac size=015d4h (  5588) load
I (124) esp_image: segment 4: paddr=0003dd8c vaddr=40374000 size=10d20h ( 68896) load
I (141) esp_image: segment 5: paddr=0004eab4 vaddr=50000000 size=00020h (    32) load
I (148) boot: Loaded app from partition at offset 0x10000
I (148) boot: Disabling RNG early entropy source...
I (159) cpu_start: Multicore app
I (167) cpu_start: GPIO 44 and 43 are used as console UART I/O pins
I (168) cpu_start: Pro cpu start user code
I (168) cpu_start: cpu freq: 160000000 Hz
I (170) app_init: Application information:
I (173) app_init: Project name:     ESP32_IMU_setup_NEW
I (178) app_init: App version:      af12b68-dirty
I (183) app_init: Compile time:     Apr 27 2026 11:33:17
I (188) app_init: ELF file SHA256:  e2bc1d974...
I (192) app_init: ESP-IDF:          -128-NOTFOUND
I (197) efuse_init: Min chip rev:     v0.0
I (200) efuse_init: Max chip rev:     v0.99 
I (204) efuse_init: Chip rev:         v0.2
I (208) heap_init: Initializing. RAM available for dynamic allocation:
I (215) heap_init: At 3FC9E2D0 len 0004B440 (301 KiB): RAM
I (220) heap_init: At 3FCE9710 len 00005724 (21 KiB): RAM
I (225) heap_init: At 3FCF0000 len 00008000 (32 KiB): DRAM
I (230) heap_init: At 600FE000 len 00001FE8 (7 KiB): RTCRAM
I (236) spi_flash: detected chip: gd
I (239) spi_flash: flash io: dio
I (242) sleep_gpio: Configure to isolate all GPIO pins in sleep state
I (248) sleep_gpio: Enable automatic switching of GPIO sleep configuration
I (255) coexist: coex firmware version: 7260f71
I (259) coexist: coexist rom version e7ae62f
I (263) main_task: Started on CPU0
I (286) main_task: Calling app_main()
I (286) MAIN: Starter IMU drift-test
I (3560) main_task: Returned from app_main()
t_us,gx_raw,gy_raw,gz_raw,gx_corr,gy_corr,gz_corr
3825160,3,-8,-4,0.160889,-0.011353,0.003052
3826436,3,-8,-4,0.160889,-0.011353,0.003052
3827393,3,-8,-4,0.160889,-0.011353,0.003052
3830145,1,-9,-5,0.038818,-0.072388,-0.057983
3834134,-2,-8,-7,-0.144287,-0.011353,-0.180054
3838304,1,-8,-5,0.038818,-0.011353,-0.057983
3842293,1,-8,-5,0.038818,-0.011353,-0.057983
3846289,3,-7,-1,0.160889,0.049683,0.186157
3850108,0,-6,-5,-0.022217,0.110718,-0.057983
3854110,0,-8,-4,-0.022217,-0.011353,0.003052
3858097,1,-8,-5,0.038818,-0.011353,-0.057983
3862093,1,-8,-5,0.038818,-0.011353,-0.057983
3866084,0,-6,-4,-0.022217,0.110718,0.003052
3869985,-1,-7,-4,-0.083252,0.049683,0.003052
3873974,-2,-8,-5,-0.144287,-0.011353,-0.057983
3878144,0,-8,-6,-0.022217,-0.011353,-0.119019
3882219,0,-8,-6,-0.022217,-0.011353,-0.119019
3886303,-1,-7,-5,-0.083252,0.049683,-0.057983
3890378,-1,-4,-4,-0.083252,0.232788,0.003052
3894375,-1,-7,-4,-0.083252,0.049683,0.003052
3898364,2,-8,-3,0.099854,-0.011353,0.064087
3902273,2,-7,-3,0.099854,0.049683,0.064087
3906097,2,-7,-3,0.099854,0.049683,0.064087
3909911,2,-8,-5,0.099854,-0.011353,-0.057983
3913900,-1,-10,-4,-0.083252,-0.133423,0.003052
3918077,2,-8,-3,0.099854,-0.011353,0.064087
3921972,0,-7,-5,-0.022217,0.049683,-0.057983
3925969,0,-7,-5,-0.022217,0.049683,-0.057983
3929958,-4,-5,-4,-0.266357,0.171753,0.003052
3933954,1,-7,-2,0.038818,0.049683,0.125122
3937770,1,-8,-1,0.038818,-0.011353,0.186157
3941679,-2,-7,-4,-0.144287,0.049683,0.003052
3945668,-2,-7,-4,-0.144287,0.049683,0.003052
3949665,2,-8,-4,0.099854,-0.011353,0.003052
3953567,1,-7,-3,0.038818,0.049683,0.064087
3957389,0,-6,-3,-0.022217,0.110718,0.064087
3961291,2,-8,-4,0.099854,-0.011353,0.003052
3965201,2,-8,-4,0.099854,-0.011353,0.003052
3969108,2,-10,-5,0.099854,-0.133423,-0.057983
3973186,0,-8,-3,-0.022217,-0.011353,0.064087
3977175,1,-5,-3,0.038818,0.171753,0.064087
3980998,1,-7,-4,0.038818,0.049683,0.003052
3984820,1,-7,-4,0.038818,0.049683,0.003052
3988636,-2,-8,-3,-0.144287,-0.011353,0.064087
3992712,0,-8,-3,-0.022217,-0.011353,0.064087
3996708,1,-9,-5,0.038818,-0.072388,-0.057983
4000699,1,-6,-3,0.038818,0.110718,0.064087
4004520,1,-6,-3,0.038818,0.110718,0.064087
4008335,2,-8,-3,0.099854,-0.011353,0.064087
4012245,-2,-10,-5,-0.144287,-0.133423,-0.057983
4016494,1,-6,-6,0.038818,0.110718,-0.119019
4020404,-1,-7,-7,-0.083252,0.049683,-0.180054
4024480,-1,-7,-7,-0.083252,0.049683,-0.180054
4028563,-1,-9,-1,-0.083252,-0.072388,0.186157
4032638,-2,-6,-1,-0.144287,0.110718,0.186157
