6396,-0.051147
8þESP-ROM:esp32s3-20210327
Build:Mar 27 2021
rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:1
load:0x3fce2820,len:0x158c
load:0x403c8700,len:0xd24
load:0x403cb700,len:0x2f34
entry 0x403c8924
I (24) boot: ESP-IDF -128-NOTFOUND 2nd stage bootloader
I (25) boot: compile time Apr 20 2026 11:22:55
I (25) boot: Multicore bootloader
I (26) boot: chip revision: v0.2
I (28) boot: efuse block revision: v1.3
I (32) boot.esp32s3: Boot SPI Speed : 80MHz
I (36) boot.esp32s3: SPI Mode       : DIO
I (39) boot.esp32s3: SPI Flash Size : 8MB
I (43) boot: Enabling RNG early entropy source...
I (48) boot: Partition Table:
I (50) boot: ## Label            Usage          Type ST Offset   Length
I (57) boot:  0 nvs              WiFi data        01 02 00009000 00006000
I (63) boot:  1 phy_init         RF data          01 01 0000f000 00001000
I (70) boot:  2 factory          factory app      00 00 00010000 00100000
I (76) boot: End of partition table
I (80) esp_image: segment 0: paddr=00010020 vaddr=3c020020 size=0e8a4h ( 59556) map
I (97) esp_image: segment 1: paddr=0001e8cc vaddr=3fc94e00 size=0174ch (  5964) load
I (99) esp_image: segment 2: paddr=00020020 vaddr=42000020 size=1c920h (117024) map
I (122) esp_image: segment 3: paddr=0003c948 vaddr=3fc9654c size=01634h (  5684) load
I (124) esp_image: segment 4: paddr=0003df84 vaddr=40374000 size=10d20h ( 68896) load
I (141) esp_image: segment 5: paddr=0004ecac vaddr=50000000 size=00020h (    32) load
I (148) boot: Loaded app from partition at offset 0x10000
I (148) boot: Disabling RNG early entropy source...
I (159) cpu_start: Multicore app
I (167) cpu_start: GPIO 44 and 43 are used as console UART I/O pins
I (168) cpu_start: Pro cpu start user code
I (168) cpu_start: cpu freq: 160000000 Hz
I (170) app_init: Application information:
I (174) app_init: Project name:     ESP32_IMU_setup_NEW
I (178) app_init: App version:      1f31e4c-dirty
I (183) app_init: Compile time:     May  4 2026 14:46:09
I (188) app_init: ELF file SHA256:  f766d0f00...
I (192) app_init: ESP-IDF:          -128-NOTFOUND
I (197) efuse_init: Min chip rev:     v0.0
I (201) efuse_init: Max chip rev:     v0.99 
I (205) efuse_init: Chip rev:         v0.2
I (208) heap_init: Initializing. RAM available for dynamic allocation:
I (215) heap_init: At 3FC9E2D0 len 0004B440 (301 KiB): RAM
I (220) heap_init: At 3FCE9710 len 00005724 (21 KiB): RAM
I (225) heap_init: At 3FCF0000 len 00008000 (32 KiB): DRAM
I (230) heap_init: At 600FE000 len 00001FE8 (7 KiB): RTCRAM
I (236) spi_flash: detected chip: gd
I (239) spi_flash: flash io: dio
I (242) sleep_gpio: Configure to isolate all GPIO pins in sleep state
I (248) sleep_gpio: Enable automatic switching of GPIO sleep configuration
I (255) coexist: coex firmware version: 7260f71
I (259) coexist: coexist rom version e7ae62f
I (263) main_task: Started on CPU0
I (286) main_task: Calling app_main()
I (286) MAIN: Starter IMU drift-test
I (3560) main_task: Returned from app_main()
t_us,ax_raw,ay_raw,az_raw,ax_corr,ay_corr,az_corr,acc_mag,acc_dynamic,gx_raw,gy_raw,gz_raw,gx_corr,gy_corr,gz_corr
3825212,12901,-416,-10097,0.089903,-0.010729,9.756886,9.757306,-0.052694,-1,-10,-5,-0.079346,-0.188965,-0.053345
3834001,12891,-390,-10140,0.083916,0.004839,9.731140,9.731503,-0.078497,3,-5,-3,0.164795,0.116211,0.068726
3843349,12892,-401,-10069,0.084514,-0.001747,9.773652,9.774018,-0.035982,0,-4,-2,-0.018311,0.177246,0.129761
3852898,12862,-431,-10057,0.066552,-0.019710,9.780837,9.781083,-0.028917,1,-6,-4,0.042725,0.055176,0.007690
3862357,12857,-430,-10105,0.063558,-0.019111,9.752096,9.752322,-0.057678,3,-7,-2,0.164795,-0.005859,0.129761
3871907,12868,-423,-10094,0.070144,-0.014920,9.758683,9.758946,-0.051054,-1,-7,-3,-0.079346,-0.005859,0.068726
3881618,12884,-400,-10078,0.079724,-0.001148,9.768263,9.768588,-0.041412,1,-7,-3,0.042725,-0.005859,0.068726
3891176,12870,-413,-10162,0.071342,-0.008932,9.717968,9.718234,-0.091766,0,-11,-3,-0.018311,-0.250000,0.068726
3900887,12863,-416,-10092,0.067151,-0.010729,9.759880,9.760117,-0.049884,1,-9,-3,0.042725,-0.127930,0.068726
3910445,12853,-421,-10094,0.061163,-0.013722,9.758683,9.758884,-0.051116,-1,-8,-4,-0.079346,-0.066895,0.007690
3920156,12887,-391,-10113,0.081521,0.004240,9.747307,9.747648,-0.062352,3,-6,-3,0.164795,0.055176,0.068726
3929540,12862,-410,-10084,0.066552,-0.007136,9.764670,9.764899,-0.045101,1,-6,-7,0.042725,0.055176,-0.175415
3939087,12873,-391,-10112,0.073138,0.004240,9.747906,9.748181,-0.061819,1,-10,-2,0.042725,-0.188965,0.129761
3948635,12862,-404,-10107,0.066552,-0.003543,9.750899,9.751127,-0.058873,-1,-8,-3,-0.079346,-0.066895,0.068726
3958355,12898,-409,-10080,0.088107,-0.006537,9.767065,9.767465,-0.042536,2,-10,-3,0.103760,-0.188965,0.068726
3967991,12852,-409,-10126,0.060564,-0.006537,9.739523,9.739714,-0.070287,0,-9,-3,-0.018311,-0.127930,0.068726
3977616,12880,-380,-10114,0.077329,0.010827,9.746708,9.747021,-0.062980,-1,-5,-6,-0.079346,0.116211,-0.114380
3987260,12859,-400,-10059,0.064755,-0.001148,9.779639,9.779854,-0.030147,0,-6,-3,-0.018311,0.055176,0.068726
3996798,12898,-400,-10117,0.088107,-0.001148,9.744911,9.745310,-0.064691,0,-9,-4,-0.018311,-0.127930,0.007690
4006442,12859,-382,-10115,0.064755,0.009629,9.746109,9.746329,-0.063671,1,-8,-5,0.042725,-0.066895,-0.053345
4015980,12909,-414,-10132,0.094693,-0.009531,9.735930,9.736396,-0.073605,0,-7,-4,-0.018311,-0.005859,0.007690
4025624,12852,-432,-10154,0.060564,-0.020309,9.722757,9.722967,-0.087033,1,-8,-2,0.042725,-0.066895,0.129761
4035162,12884,-402,-10129,0.079724,-0.002346,9.737726,9.738053,-0.071947,-3,-5,-2,-0.201416,0.116211,0.129761
4044815,12871,-378,-10076,0.071940,0.012024,9.769461,9.769732,-0.040268,3,-7,-4,0.164795,-0.005859,0.007690
4054257,12875,-399,-10096,0.074336,-0.000550,9.757485,9.757769,-0.052232,1,-7,-3,0.042725,-0.005859,0.068726
4063821,12890,-410,-10120,0.083317,-0.007136,9.743115,9.743475,-0.066525,0,-6,-8,-0.018311,0.055176,-0.236450
4073440,12855,-395,-10112,0.062360,0.001845,9.747906,9.748105,-0.061895,-1,-7,-5,-0.079346,-0.005859,-0.053345
4083170,12905,-410,-10107,0.092298,-0.007136,9.750899,9.751339,-0.058661,2,-7,-2,0.103760,-0.005859,0.129761
4092708,12867,-422,-10109,0.069545,-0.014321,9.749701,9.749960,-0.060040,2,-8,-5,0.103760,-0.066895,-0.053345
4102359,12862,-376,-10142,0.066552,0.013222,9.729942,9.730179,-0.079822,1,-8,-4,0.042725,-0.066895,0.007690
4111812,12854,-378,-10081,0.061761,0.012024,9.766466,9.766668,-0.043332,0,-7,-4,-0.018311,-0.005859,0.007690
4121361,12908,-424,-10091,0.094094,-0.015519,9.760479,9.760945,-0.049055,2,-7,-5,0.103760,-0.005859,-0.053345
4130986,12850,-400,-10121,0.059367,-0.001148,9.742517,9.742698,-0.067303,2,-8,-3,0.103760,-0.066895,0.068726
4140543,12832,-388,-10111,0.048589,0.006037,9.748505,9.748628,-0.061373,-1,-7,-5,-0.079346,-0.005859,-0.053345
4150255,12865,-413,-10111,0.068348,-0.008932,9.748505,9.748749,-0.061252,-1,-8,-5,-0.079346,-0.066895,-0.053345
4160079,12871,-381,-10120,0.071940,0.010228,9.743115,9.743386,-0.066614,0,-4,-2,-0.018311,0.177246,0.129761
4169524,12870,-388,-10070,0.071342,0.006037,9.773053,9.773315,-0.036685,-1,-7,-5,-0.079346,-0.005859,-0.053345
4179254,12892,-401,-10098,0.084514,-0.001747,9.756289,9.756655,-0.053346,0,-6,-5,-0.018311,0.055176,-0.053345
4188879,12867,-398,-10126,0.069545,0.000049,9.739523,9.739771,-0.070230,0,-6,-6,-0.018311,0.055176,-0.114380
4198437,12907,-372,-10117,0.093495,0.015617,9.744911,9.745373,-0.064628,-2,-8,-6,-0.140381,-0.066895,-0.114380
4208148,12905,-371,-10139,0.092298,0.016215,9.731739,9.732190,-0.077810,2,-8,-4,0.103760,-0.066895,0.007690
4217619,12890,-373,-10100,0.083317,0.015018,9.755091,9.755458,-0.054543,1,-6,-3,0.042725,0.055176,0.068726
4226983,12860,-414,-10057,0.065354,-0.009531,9.780837,9.781060,-0.028940,0,-5,-6,-0.018311,0.116211,-0.114380
4236627,12841,-413,-10140,0.053978,-0.008932,9.731140,9.731294,-0.078707,1,-7,-3,0.042725,-0.005859,0.068726
4246165,12884,-421,-10085,0.079724,-0.013722,9.764072,9.764408,-0.045592,2,-8,-3,0.103760,-0.066895,0.068726
4255723,12865,-384,-10075,0.068348,0.008432,9.770060,9.770303,-0.039698,-1,-8,-6,-0.079346,-0.066895,-0.114380
4265434,12860,-402,-10141,0.065354,-0.002346,9.730541,9.730762,-0.079239,0,-6,-5,-0.018311,0.055176,-0.053345
4275087,12904,-424,-10107,0.091699,-0.015519,9.750899,9.751343,-0.058658,0,-8,-6,-0.018311,-0.066895,-0.114380
4284790,12894,-408,-10074,0.085712,-0.005939,9.770658,9.771036,-0.038964,1,-8,-2,0.042725,-0.066895,0.129761
