swing_nr,impact_to_notify_ms,impact_to_capture_start_ms,enqueue_duration_ms,packets_queued,queue_drops,queueing_time_sec,queueing_time_ms,queue_rate_pkt_sec,throughput_kB_sec,total_data_kB,ble_send_after_enqueue_ms
1,11.45,15.961,1280.244,200,0,3.601,3601.0,55.5,5.21,18.75,2320.7560000000003
2,12.04,16.641,1279.9,200,0,3.6,3600.0,55.6,5.21,18.75,2320.1
3,11.92,16.521,1279.841,200,0,3.6,3600.0,55.6,5.21,18.75,2320.159
4,11.92,16.527,1279.836,200,0,3.6,3600.0,55.6,5.21,18.75,2320.1639999999998
5,11.87,16.472,1279.891,200,0,3.6,3600.0,55.6,5.21,18.75,2320.109
6,12.09,16.691,1279.853,200,0,3.6,3600.0,55.6,5.21,18.75,2320.147
7,11.91,16.517,1279.851,200,0,3.6,3600.0,55.6,5.21,18.75,2320.149
8,11.92,16.519,1279.892,200,0,3.6,3600.0,55.6,5.21,18.75,2320.108
9,12.04,16.645,1279.93,200,0,3.6,3600.0,55.6,5.21,18.75,2320.0699999999997
10,11.91,16.52,1279.946,200,0,3.6,3600.0,55.6,5.21,18.75,2320.054
11,11.9,16.503,1279.901,200,0,3.6,3600.0,55.6,5.21,18.75,2320.099
12,11.57,16.175,1279.909,200,0,3.6,3600.0,55.6,5.21,18.75,2320.091
