#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B02ACE
#Date Time: 2026-05-13 13:58:58.759
#Sample rate: 80000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 5 mV/div Offset: 0 V Attenuation: 1 X

Time (s),Channel 1 (V)
-0.051196875,-2.7082089028109757
-0.051184375,-2.7082089028109757
-0.051171875,-2.7082089028109757
-0.051159375,-2.7082089028109757
-0.051146875,-2.7082089028109757
-0.051134375,-2.7082089028109757
-0.051121875,-2.7082089028109757
-0.051109375,-2.7082089028109757
-0.051096875,-2.7082089028109757
-0.051084375,-2.7082089028109757
-0.051071875,-2.7082089028109757
-0.051059375,-2.7082089028109757
-0.051046875,-2.7082089028109757
-0.051034375,-2.7082089028109757
-0.051021875,-2.7082089028109757
-0.051009375,-2.7082089028109757
-0.050996875,-2.7082089028109757
-0.050984375,-2.7082089028109757
-0.050971875,-2.7082089028109757
-0.050959375,-2.7082089028109757
-0.050946875,-2.7082089028109757
-0.050934375,-2.7082089028109757
-0.050921875,-2.7082089028109757
-0.050909375,-2.7082089028109757
-0.050896875,-2.7082089028109757
-0.050884375,-2.7082089028109757
-0.050871875,-2.7082089028109757
-0.050859375,-2.7082089028109757
-0.050846875,-2.7082089028109757
-0.050834375,-2.7082089028109757
-0.050821875,-2.7082089028109757
-0.050809375,-2.7082089028109757
-0.050796875,-2.7082089028109757
-0.050784375,-2.7082089028109757
-0.050771875,-2.7082089028109757
-0.050759375,-2.7082089028109757
-0.050746875000000004,-2.7082089028109757
-0.050734375,-2.7082089028109757
-0.050721875,-2.7082089028109757
-0.050709375,-2.7082089028109757
-0.050696875,-2.7082089028109757
-0.050684375000000004,-2.7082089028109757
-0.050671875,-2.7082089028109757
-0.050659375,-2.7082089028109757
-0.050646875,-2.7082089028109757
-0.050634375,-2.7082089028109757
-0.050621875000000004,-2.7082089028109757
-0.050609375,-2.7082089028109757
-0.050596875,-2.7082089028109757
-0.050584375,-2.7082089028109757
-0.050571875,-2.7082089028109757
-0.050559375000000004,-2.7082089028109757
-0.050546875,-2.7082089028109757
-0.050534375,-2.7082089028109757
-0.050521875,-2.7082089028109757
-0.050509375,-2.7082089028109757
-0.050496875000000004,-2.7082089028109757
-0.050484375,-2.7082089028109757
-0.050471875,-2.7082089028109757
-0.050459375,-2.7082089028109757
-0.050446875,-2.503244861211056
-0.050434375000000004,-2.7082089028108824
-0.050421875,-2.7082089028109757
-0.050409375,-2.5144848247826643
-0.050396875,-2.7082089028109757
-0.050384375,-2.7082089028109757
-0.050371875,-2.552832935791752
-0.050359375,-2.587214000834249
-0.050346875,-2.7082089028109757
-0.050334375,-2.7082089028109757
-0.050321875,-2.4202674830794755
-0.050309375,-2.7082089028108447
-0.050296875,-2.7082089028109757
-0.050284375,-2.3055537372162944
-0.050271875,-2.675150186423892
-0.050259375,-2.7082089028109757
-0.050246875,-2.2586103599468395
-0.050234375,-2.252990378160831
-0.050221875,-2.7082089028109757
-0.050209375,-2.2992725811027483
-0.050196875,-2.1283590173815248
-0.050184375,-2.6457279288391518
-0.050171875,-2.3508441786665992
-0.050159375,-1.816945909015195
-0.050146875,-2.282082048581465
-0.050134375,-2.4440697588781757
-0.050121875,-1.8900056722309024
-0.050109375,-2.0916638421918616
-0.050096875,-2.3726629314820746
-0.050084375,-1.9743053990177142
-0.050071875,-1.8430622949609914
-0.050059375,-2.3111737190020984
-0.050046875,-2.130011953200879
-0.050034375,-1.7025627503158849
-0.050021875,-2.033811088514465
-0.050009375,-2.15414481616345
-0.049996875,-1.5498314806075575
-0.049984375,-1.8929809567054878
-0.049971875,-2.1029038057634706
-0.049959375,-1.5627243799985202
-0.049946875,-1.5475173704604617
-0.049934375,-2.070836850867999
-0.049921875,-1.5885101787804456
-0.049909375,-1.3597438613818253
-0.049896875,-1.7319850079003896
-0.049884375,-1.8635586991209834
-0.049871875,-1.7643825499597316
-0.049859375,-1.7422332099801483
-0.049846875,-1.220897252556073
-0.049834375,-1.3908190547856842
-0.049821875,-1.7911601102332697
-0.049809375,-1.419910725206318
-0.049796875,-1.211640811967876
-0.049784375,-1.6212383080036585
-0.049771875,-1.4880116809637107
-0.049759375,-1.0833729923858044
-0.049746875,-0.9927921094851946
-0.049734375,-1.2711465014645944
-0.049721875,-1.6096677572681792
-0.049709375,-1.184532664530281
-0.049696875,-0.9931226966490654
-0.049684375,-1.4086707616347094
-0.049671875,-1.3101557868009848
-0.049659375,-0.8380773167936422
-0.049646875,-1.2589147764012196
-0.049634375,-1.370653237789563
-0.049621875,-0.7759269299859245
-0.049609375,-0.9303111355137761
-0.049596875,-1.3042052178515244
-0.049584375,-0.8334490964994504
-0.049571875,-0.6962554234930525
-0.049559375,-1.2185831424089772
-0.049546875,-0.8820454095882604
-0.049534375,-0.4350915640350899
-0.049521875,-0.9078312083703891
-0.049509375,-1.2304842803083276
-0.049496875,-0.6820401754466063
-0.049484375,-0.3514530115759309
-0.049471875,-0.7101400843756276
-0.049459375,-1.2242031241947815
-0.049446875,-0.6476591104040391
-0.049434375,-0.11144673060553904
-0.049421875,-0.5484829612429514
-0.049409375,-0.9084923826981307
-0.049396875,-0.428810407921544
-0.049384375,-0.18252297083776933
-0.049371875,-0.7227023966027195
-0.049359375,-0.6565849638283086
-0.049346875,-0.12169493268553504
-0.049334375,-0.4975725380066784
-0.049321875,-0.6450144130930725
-0.049309375,-0.09524795957586796
-0.049296875,-0.12764550163543306
-0.049284375,-0.6179062656556636
-0.049271875,-0.16103480518616484
-0.049259375,0.10409610023824768
-0.049246875,-0.42219866464412725
-0.049234375,-0.14715014430341702
-0.049221875,0.23236391982013302
-0.049209375,-0.21359816424162814
-0.049196875,-0.21888755886356157
-0.049184375,0.31567188511558436
-0.049171875000000004,0.028391639711956296
-0.049159375,-0.34913890142867193
-0.049146875,0.12889013752856057
-0.049134375,0.2442650577194832
-0.049121875,-0.22814399945194505
-0.049109375000000004,-0.032766985604368304
-0.049096875,0.4095586396549025
-0.049084375,0.04525158506923842
-0.049071875,-0.14582779564810625
-0.049059375,0.40658335518006494
-0.049046875000000004,0.4836101643619353
-0.049034375,-0.04698223365072553
-0.049021875,0.25781913143818763
-0.049009375,0.68064011402899
-0.048996875,0.19368522164724492
-0.048984375000000004,0.2389756630975292
-0.048971875,0.8194867228547422
-0.048959375,0.4525349709581115
-0.048946875,0.271373205156892
-0.048934375,0.7447740238199327
-0.048921875000000004,0.6684083889658038
-0.048909375,0.19732168044982415
-0.048896875,0.5113794861271207
-0.048884375,0.8472560446198927
-0.048871875,0.47865135690390775
-0.048859375000000003,0.2379839016060467
-0.048846875,0.7976679700392669
-0.048834375,1.120982216304947
-0.048821875,0.4730313751181035
-0.048809375,0.5014618712109956
-0.048796875,1.0869317384259845
-0.048784375,0.9140346517218021
-0.048771875,0.3966657402639398
-0.048759375,0.7262611426431658
-0.048746875,1.1014775736365674
-0.048734375,0.7384928677065519
-0.048721875,0.484271338689712
-0.048709375,1.0446165814507833
-0.048696875,1.1854467132597604
-0.048684375,0.6009686075361179
-0.048671875,0.8270902276236687
-0.048659375,1.3484261850480839
-0.048646875,0.9735403412185529
-0.048634375,0.6353496725786851
-0.048621875,1.1001552249810842
-0.048609375,1.2634652839332041
-0.048596875,0.754361051572187
-0.048584375,0.8201478971824839
-0.048571875,1.3497485337035673
-0.048559375,1.1894137592262106
-0.048546875,0.8013044288420226
-0.048534375,1.3143757071693876
-0.048521875,1.4839669222351277
-0.048509375,1.0727164903798045
-0.048496875,1.1054446196030177
-0.048484375,1.3147062943332584
-0.048471875,1.3395003316235712
-0.048459375,1.296854587484233
-0.048446875,1.2859452110764953
-0.048434375,1.415535379313864
-0.048421875,1.442312939587402
-0.048409375,1.3761955068132343
-0.048396875,1.346112074900988
-0.048384375,1.3550379283255007
-0.048371875,1.5593407955976788
-0.048359375,1.5728948693163831
-0.048346875,1.4280976915409227
-0.048334375,1.3550379283255007
-0.048321875,1.4069401130532222
-0.048309375,1.6482687426789344
-0.048296875,1.6433099352208718
-0.048284375,1.523306794735762
-0.048271875,1.5328938224880118
-0.048259375,1.6198382465860424
-0.048246875,1.525951492046724
-0.048234375,1.4862810323822235
-0.048221875,1.530579712341022
-0.048209375,1.7639742500337279
-0.048196875,1.7623213142143737
-0.048184375,1.675707477280214
-0.048171875,1.7110803038143938
-0.048159375,1.7933965076181801
-0.048146875,1.67802158742731
-0.048134375,1.6214911824053966
-0.048121875,1.6657898623640888
-0.048109375,1.751411937806636
-0.048096875,1.7223202673860085
-0.048084375,1.7362049282685774
-0.048071875,1.9643100713394561
-0.048059375,1.960012438209135
-0.048046875,1.8803409317162632
-0.048034375,1.8859609135021054
-0.048021875,1.9695994659613894
-0.048009375,1.8390175362324082
-0.047996875,1.773891864949853
-0.047984375,1.8095952786479037
-0.047971875,1.949103061801372
-0.047959375,1.8932338311072257
-0.047946875,1.9041432075149634
-0.047934375,2.095553175396179
-0.047921875,2.09588376256005
-0.047909375,2.025799283819439
-0.047896875,2.0413368805213614
-0.047884375,2.0939002395768247
-0.047871875,1.980839429532998
-0.047859375,1.9444748415072057
-0.047846875,1.9626571355201667
-0.047834375,2.105470790312304
-0.047821875,2.075056771236187
-0.047809375,2.0621638718452244
-0.047796875,2.220184536175485
-0.047784375,2.251259729579304
-0.047771875,2.1643153054813133
-0.047759375,2.0978672855432747
-0.047746875,2.1375377452077755
-0.047734375,2.081007340185862
-0.047721875,2.0833214503329716
-0.047709375,2.113404882245204
-0.047696875,2.322666556975445
-0.047684375,2.31274894205932
-0.047671875,2.2562185370374066
-0.047659375,2.2714255465754887
-0.047646875,2.3236583184670576
-0.047634375,2.175555269052922
-0.047621875,2.142165965501967
-0.047609375,2.1702658744309886
-0.047596875000000004,2.2578714728567206
-0.047584375,2.2446479863019273
-0.047571875,2.241342114663219
-0.047559375,2.414569788531538
-0.047546875,2.447297917754751
-0.047534375000000004,2.351758227396122
-0.047521875,2.282334922983203
-0.047509375,2.3587005578373663
-0.047496875,2.2866325561135237
-0.047484375,2.299525455504486
-0.047471875000000004,2.332584171891555
-0.047459375,2.523332965445044
-0.047446875,2.57292104002567
-0.047434375,2.488621313238606
-0.047421875,2.4390332386579803
-0.047409375000000004,2.5127541762011436
-0.047396875,2.4972165794992476
-0.047384375,2.508456543070856
-0.047371875,2.5306058830502023
-0.047359375,2.707800602884972
-0.047346875000000004,2.707800602884972
-0.047334375,2.707800602884972
-0.047321875,2.707800602884972
-0.047309375,2.707800602884972
-0.047296875,2.707800602884972
-0.047284375000000003,2.707800602884972
-0.047271875,2.707800602884972
-0.047259375,2.707800602884972
-0.047246875,2.707800602884972
-0.047234375,2.707800602884972
-0.047221875,2.707800602884972
-0.047209375,2.707800602884972
-0.047196875,2.707800602884972
-0.047184375,2.707800602884972
-0.047171875,2.707800602884972
-0.047159375,2.707800602884972
-0.047146875,2.707800602884972
-0.047134375,2.707800602884972
-0.047121875,2.707800602884972
-0.047109375,2.707800602884972
-0.047096875,2.707800602884972
-0.047084375,2.707800602884972
-0.047071875,2.707800602884972
-0.047059375,2.707800602884972
-0.047046875,2.707800602884972
-0.047034375,2.707800602884972
-0.047021875,2.707800602884972
-0.047009375,2.707800602884972
-0.046996875,2.707800602884972
-0.046984375,2.707800602884972
-0.046971875,2.707800602884972
-0.046959375,2.707800602884972
-0.046946875,2.707800602884972
-0.046934375,2.707800602884972
-0.046921875,2.707800602884972
-0.046909375,2.707800602884972
-0.046896875,2.707800602884972
-0.046884375,2.707800602884972
