#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B02ACE
#Date Time: 2026-05-13 14:15:04.872
#Sample rate: 80000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 5 mV/div Offset: 0 V Attenuation: 1 X

Time (s),Channel 1 (V)
-0.0511925,-0.004336489511387358
-0.051179999999999996,-0.004336489511387358
-0.0511675,-0.004336489511387358
-0.051155,-0.005658838166870711
-0.0511425,-0.0036753151836456804
-0.05113,-0.0020223793642914875
-0.051117499999999996,-0.004336489511387508
-0.051105,-0.004667076675258196
-0.0510925,-0.004336489511387358
-0.05108,-0.004005902347516519
-0.0510675,-0.003344728019774842
-0.051054999999999996,-0.004667076675258797
-0.0510425,-0.00598942533074155
-0.05103,-0.006320012494612388
-0.0510175,-0.0036753151836456804
-0.051005,-0.005328251002999873
-0.050992499999999996,-0.0033447280197740903
-0.05098,-0.0016917922004206492
-0.0509675,-0.004005902347516519
-0.050955,-0.005658838166870711
-0.0509425,-0.004005902347516519
-0.050929999999999996,-0.003344728019774842
-0.0509175,-0.003344728019774842
-0.050905,-0.004336489511387358
-0.0508925,-0.005328251002999873
-0.05088,-0.004005902347516519
-0.050867499999999996,-0.004997663839128734
-0.050855,-0.004336489511387358
-0.0508425,-0.0020223793642914875
-0.05083,-0.004005902347516519
-0.0508175,-0.005328251002999873
-0.050804999999999996,-0.0043364895113867565
-0.0507925,-0.0030141408559040033
-0.05078,-0.004005902347516519
-0.0507675,-0.004005902347516519
-0.050755,-0.002352966528162326
-0.0507425,-0.005658838166869208
-0.05073,-0.004005902347516519
-0.0507175,-0.002352966528162326
-0.050705,-0.0036753151836456804
-0.0506925,-0.005658838166870711
-0.05068,-0.005658838166870711
-0.0506675,-0.003344728019774842
-0.050655,-0.0036753151836456804
-0.0506425,-0.004667076675258196
-0.05063,-0.004005902347516519
-0.0506175,-0.0023529665281630777
-0.050605,-0.0026835536920331647
-0.0505925,-0.003344728019774842
-0.05058,-0.003344728019774842
-0.0505675,-0.0026835536920331647
-0.050555,-0.004667076675257294
-0.0505425,-0.0036753151836456804
-0.05053,-0.0036753151836456804
-0.0505175,-0.004336489511387358
-0.050505,-0.0026835536920331647
-0.0504925,-0.0036753151836452294
-0.05048,-0.004005902347516519
-0.0504675,-0.0036753151836456804
-0.050455,-0.004667076675258196
-0.0504425,-0.000369443544937295
-0.05043,-0.002683553692032112
-0.0504175,-0.004336489511387358
-0.050405,-0.0036753151836456804
-0.0503925,-0.000369443544937295
-0.05038,-0.0026835536920331647
-0.0503675,-0.004667076675257294
-0.050355,-0.0016917922004206492
-0.0503425,-0.002352966528162326
-0.05033,-0.003344728019774842
-0.0503175,-0.004667076675258196
-0.050305,-0.004667076675258196
-0.0502925,-0.0036753151836456804
-0.05028,-0.006320012494612388
-0.0502675,-0.004667076675258196
-0.050255,-0.003344728019774842
-0.0502425,-0.0030141408559041538
-0.05023,-0.004667076675258196
-0.0502175,-0.006320012494612388
-0.050205,-0.004997663839129035
-0.0501925,-0.004336489511387358
-0.05018,-0.004667076675258046
-0.0501675,-0.004005902347516519
-0.050155,-0.004005902347516519
-0.0501425,-0.004667076675258196
-0.05013,-0.004005902347516519
-0.0501175,-0.004005902347516519
-0.050105,-0.0030141408559040033
-0.0500925,-0.004997663839129035
-0.05008,-0.006320012494612388
-0.0500675,-0.0020223793642914875
-0.050055,-0.0036753151836456804
-0.0500425,-0.00598942533074155
-0.05003,-0.004997663839129035
-0.0500175,-0.0036753151836456804
-0.050005,-0.005658838166870711
-0.0499925,-0.004667076675258196
-0.04998,-0.003344728019774842
-0.0499675,-0.0026835536920331647
-0.049955,-0.0030141408559040033
-0.0499425,-0.004005902347516519
-0.04993,-0.0030141408559040033
-0.0499175,-0.0020223793642914875
-0.049905,-0.0036753151836456804
-0.0498925,-0.005328251002999873
-0.04988,-0.004336489511387358
-0.0498675,-0.004667076675258196
-0.049855,-0.004997663839129336
-0.0498425,-0.005658838166870711
-0.04983,-0.003344728019774842
-0.0498175,-0.0026835536920331647
-0.049805,-0.006320012494612388
-0.049792499999999996,-0.003675315183645079
-0.04978,-0.002352966528162326
-0.0497675,-0.004667076675258196
-0.049755,-0.004997663839129035
-0.0497425,-0.003344728019774842
-0.049729999999999996,-0.00367531518364553
-0.0497175,-0.003344728019774842
-0.049705,-0.004336489511387358
-0.0496925,-0.0016917922004206492
-0.04968,-0.0030141408559040033
-0.049667499999999996,-0.004336489511387057
-0.049655,-0.0036753151836456804
-0.0496425,-0.0030141408559040033
-0.04963,-0.0020223793642914875
-0.0496175,-0.003344728019774842
-0.049604999999999996,-0.0036753151836461315
-0.0495925,-0.004667076675258196
-0.04958,-0.0036753151836456804
-0.0495675,-0.000369443544937295
-0.049555,-0.0030141408559040033
-0.049542499999999996,-0.004336489511387508
-0.04953,-0.004667076675258196
-0.0495175,-0.004005902347516519
-0.049505,-0.0030141408559040033
-0.0494925,-0.002352966528162326
-0.049479999999999996,-0.0007000307088090355
-0.0494675,-0.0026835536920331647
-0.049455,-0.003344728019774842
-0.0494425,-0.004667076675258196
-0.04943,-0.0016917922004206492
-0.049417499999999996,-0.0030141408559035522
-0.049405,-0.0020223793642914875
-0.0493925,-0.0036753151836456804
-0.04938,-0.0030141408559040033
-0.0493675,-0.0016917922004206492
-0.049354999999999996,-0.0013612050365505622
-0.0493425,-0.0030141408559040033
-0.04933,-0.004005902347516519
-0.0493175,-0.004005902347516519
-0.049305,-0.0036753151836456804
-0.049292499999999996,-0.003675315183645981
-0.04928,-0.004336489511387358
-0.0492675,-0.0020223793642914875
-0.049255,-0.0013612050365498106
-0.0492425,-0.0036753151836456804
-0.049229999999999996,-0.00532825100299867
-0.0492175,-0.0026835536920331647
-0.049205,-0.0016917922004206492
-0.0491925,-0.0036753151836456804
-0.04918,-0.004336489511387358
-0.0491675,-0.00202237936429254
-0.049155,-0.002352966528162326
-0.0491425,-0.004005902347516519
-0.04913,-0.004336489511387358
-0.0491175,-0.0030141408559040033
-0.049105,-0.0033447280197746914
-0.0490925,-0.0030141408559040033
-0.04908,-0.0026835536920331647
-0.0490675,-0.0013612050365498106
-0.049055,-0.0026835536920331647
-0.0490425,-0.0026835536920331647
-0.04903,-0.004005902347516519
-0.0490175,-0.0030141408559040033
-0.049005,-0.001030617872678972
-0.0489925,-0.0007000307088081335
-0.04898,-0.0030141408559029507
-0.0489675,-0.0026835536920331647
-0.048955,-0.0036753151836456804
-0.0489425,-0.0036753151836456804
-0.04893,-0.00598942533074155
-0.0489175,-0.001030617872681227
-0.048905,-0.0020223793642914875
-0.0488925,-0.0026835536920331647
-0.04888,-0.003344728019774842
-0.0488675,-0.0007000307088081335
-0.048855,-3.8856381066757124e-05
-0.0488425,-0.0013612050365498106
-0.04883,-0.0020223793642914875
-0.0488175,-0.0007000307088081335
-0.048805,-0.0016917922004206492
-0.0487925,-0.0033447280197740903
-0.04878,-0.0020223793642914875
-0.0487675,-3.8856381066456475e-05
-0.048755,-0.0016917922004206492
-0.0487425,-0.0020223793642914875
-0.04873,-0.0023529665281621756
-0.0487175,0.00029173078280438205
-0.048705,-0.0026835536920331647
-0.0486925,-0.0020223793642914875
-0.04868,-0.001030617872678972
-0.0486675,-0.0030141408559031012
-0.048655,-0.004005902347516519
-0.0486425,-0.004005902347516519
-0.04863,-0.0020223793642914875
-0.0486175,0.00029173078280438205
-0.048605,-0.00036944354493699435
-0.0485925,-0.0020223793642914875
-0.04858,-0.0007000307088081335
-0.0485675,0.00029173078280438205
-0.048555,-0.0026835536920331647
-0.0485425,-0.0013612050365504119
-0.04853,-3.8856381066456475e-05
-0.0485175,-3.8856381066456475e-05
-0.048505,-0.000369443544937295
-0.0484925,-0.0016917922004206492
-0.04848,-3.8856381066456475e-05
-0.0484675,-0.0007000307088081335
-0.048455,-0.0016917922004206492
-0.0484425,-0.0013612050365498106
-0.04843,0.00029173078280438205
-0.0484175,-3.8856381066456475e-05
-0.048405,-0.0016917922004206492
-0.0483925,-0.0007000307088081335
-0.04838,0.0016140794382877362
-0.0483675,-0.0007000307088081335
-0.048355,-0.003344728019774842
-0.0483425,-0.0007000307088076825
-0.04833,0.00029173078280438205
-0.0483175,-0.000369443544937295
-0.048305,-0.0013612050365498106
-0.0482925,-3.8856381066456475e-05
-0.048279999999999997,0.0009529051105453074
-0.0482675,-0.0007000307088081335
-0.048255,-0.002352966528162326
-0.0482425,-0.001030617872678972
-0.04823,0.0006223179466752206
-0.048217499999999996,-0.0013612050365501113
-0.048205,-0.0020223793642914875
-0.0481925,-0.0013612050365498106
-0.04818,-0.0013612050365498106
-0.0481675,-0.001030617872678972
-0.048154999999999996,-0.0030141408559025
-0.0481425,0.00029173078280438205
-0.04813,0.002275253766029413
-0.0481175,-0.001030617872678972
-0.048105,-0.0007000307088081335
-0.048092499999999996,0.0006223179466749199
-0.04808,-3.8856381066456475e-05
-0.0480675,-0.0007000307088081335
-0.048055,-0.002352966528162326
-0.0480425,-0.0007000307088081335
-0.048029999999999996,0.0006223179466741683
-0.0480175,-0.0016917922004206492
-0.048005,-0.0026835536920331647
-0.0479925,-0.0026835536920331647
-0.04798,0.0006223179466752206
-0.047967499999999996,-0.00036944354493789635
-0.047955,-0.0016917922004206492
-0.0479425,-0.0016917922004206492
-0.04793,0.00029173078280438205
-0.0479175,0.000952905110546059
-0.047904999999999996,-0.00036944354493879836
-0.0478925,-0.0036753151836456804
-0.04788,0.00029173078280438205
-0.0478675,-0.001030617872678972
-0.047855,-0.000369443544937295
-0.047842499999999996,-0.0007000307088070812
-0.04783,0.0016140794382877362
-0.0478175,0.00029173078280438205
-0.047805,-0.001030617872678972
-0.0477925,-0.001030617872678972
-0.047779999999999996,-0.0010306178726786712
-0.0477675,-0.000369443544937295
-0.047755,-0.0007000307088081335
-0.0477425,-0.0013612050365498106
-0.04773,0.00029173078280438205
-0.047717499999999996,0.0019446666021575223
-0.047705,-0.000369443544937295
-0.0476925,-0.0020223793642914875
-0.04768,-3.8856381066456475e-05
-0.0476675,-3.8856381066456475e-05
-0.047654999999999996,-0.0007000307088084342
-0.0476425,-0.0013612050365498106
-0.04763,0.0012834922744168976
-0.0476175,-0.001030617872678972
-0.047605,-0.0007000307088081335
-0.0475925,-0.0007000307088081335
-0.04758,0.0019446666021585746
-0.0475675,0.000952905110546059
-0.047555,-0.000369443544937295
-0.0475425,-0.0013612050365498106
-0.04753,0.0016140794382863831
-0.0475175,-0.0007000307088081335
-0.047505,-0.001030617872678972
-0.0474925,-0.001030617872678972
-0.04748,-0.000369443544937295
-0.0474675,-0.000369443544937295
-0.047455,-0.0016917922004206492
-0.0474425,-0.0007000307088081335
-0.04743,0.0016140794382877362
-0.0474175,-0.0020223793642914875
-0.047405,-0.001030617872679423
-0.0473925,0.002275253766029413
-0.04738,0.0012834922744168976
-0.0473675,-0.001030617872678972
-0.047355,-0.0026835536920331647
-0.0473425,-0.0007000307088090357
-0.04733,-0.0013612050365498106
-0.0473175,-0.0007000307088081335
-0.047305,0.0006223179466752206
-0.0472925,-0.0007000307088081335
-0.04728,-3.8856381066757124e-05
-0.0472675,-0.000369443544937295
-0.047255,-0.000369443544937295
-0.0472425,-3.8856381066456475e-05
-0.04723,0.0006223179466752206
-0.0472175,0.0006223179466752206
-0.047205,0.0006223179466752206
-0.0471925,0.0006223179466752206
-0.04718,-0.000369443544937295
-0.0471675,-3.8856381066456475e-05
-0.047155,0.0012834922744162963
-0.0471425,-3.8856381066456475e-05
-0.04713,0.00029173078280438205
-0.0471175,-3.8856381066456475e-05
-0.047105,0.000952905110546059
-0.0470925,-0.001361205036548758
-0.04708,0.0016140794382877362
-0.0470675,0.00029173078280438205
-0.047055,0.000952905110546059
-0.0470425,-0.001030617872678972
-0.04703,0.001283492274415845
-0.0470175,0.000952905110546059
-0.047005,-0.0016917922004206492
-0.0469925,-3.8856381066456475e-05
-0.04698,0.0026058409299002517
-0.0469675,0.001283492274417499
-0.046955,-0.0007000307088081335
-0.0469425,0.00029173078280438205
-0.04693,0.002275253766029413
-0.0469175,-0.0020223793642914875
-0.046905,-0.001030617872678972
-0.0468925,-3.8856381066456475e-05
-0.04688,0.00029173078280438205
-0.0468675,0.0006223179466752206
-0.046855,-3.8856381066456475e-05
-0.0468425,-0.0013612050365498106
-0.04683,0.0019446666021585746
-0.0468175,0.0006223179466752206
-0.046805,0.0012834922744168976
-0.0467925,-0.0026835536920331647
