event_id,seq,ts_ms,ax,ay,az,gx,gy,gz
7,0,430468,249,-16274,1702,4,-196,3
7,1,430473,295,-16324,1731,4,-184,5
7,2,430478,282,-16350,1721,5,-158,7
7,3,430483,131,-16396,1624,8,-119,7
7,4,430488,44,-16333,1516,8,-74,6
7,5,430493,46,-16326,1516,9,-31,5
7,6,430498,62,-16320,1647,11,6,6
7,7,430503,102,-16380,1760,10,36,7
7,8,430508,43,-16417,1753,12,64,5
7,9,430513,-76,-16470,1883,15,92,3
7,10,430518,-212,-16453,1963,13,106,0
7,11,430523,-186,-16432,2022,16,99,4
7,12,430528,-128,-16416,2076,19,77,10
7,13,430533,-26,-16438,2181,20,40,12
7,14,430538,36,-16516,2313,21,5,12
7,15,430543,67,-16566,2418,20,-27,17
7,16,430548,177,-16597,2399,24,-65,24
7,17,430553,281,-16601,2335,23,-103,26
7,18,430558,389,-16609,2377,25,-140,31
7,19,430563,471,-16648,2338,24,-180,39
7,20,430568,447,-16654,2177,22,-212,43
7,21,430573,434,-16660,1904,24,-231,46
7,22,430578,286,-16805,1748,26,-226,51
7,23,430583,73,-16808,1782,26,-199,50
7,24,430588,-103,-16781,1737,24,-170,51
7,25,430593,-119,-16774,1611,26,-133,52
7,26,430598,-106,-16789,1488,28,-83,51
7,27,430603,-107,-16775,1423,31,-31,47
7,28,430608,-54,-16754,1658,25,12,46
7,29,430613,39,-16786,1849,27,38,46
7,30,430618,92,-16776,1828,30,56,49
7,31,430623,-14,-16780,1853,29,79,47
7,32,430628,-268,-16704,1940,30,95,47
7,33,430633,-357,-16658,2059,29,98,46
7,34,430638,-349,-16640,2114,29,81,48
7,35,430643,-244,-16683,2131,30,59,49
7,36,430648,-177,-16763,2091,29,50,50
7,37,430653,-101,-16800,2097,29,46,52
7,38,430658,-49,-16851,2054,31,50,52
7,39,430663,-36,-16872,1836,34,52,54
7,40,430668,-83,-16802,1706,32,61,55
7,41,430673,-157,-16686,1760,33,77,57
7,42,430678,-307,-16610,1774,33,95,59
7,43,430683,-439,-16467,1546,31,117,54
7,44,430688,-645,-16326,1508,36,151,47
7,45,430693,-877,-16181,1772,32,169,46
7,46,430698,-1154,-15932,2227,27,162,39
7,47,430703,-323,-15855,2117,35,138,50
7,48,430708,134,-15875,2079,40,134,37
7,49,430713,-207,-15921,2739,35,110,32
7,50,430718,-387,-15911,2904,30,7,42
7,51,430723,-72,-15982,2618,38,-98,58
7,52,430728,141,-16039,2046,42,-131,62
7,53,430733,18,-15974,2064,41,-97,48
7,54,430738,-108,-15449,2119,41,-88,44
7,55,430743,-272,-15620,2087,42,-118,55
7,56,430748,-103,-16088,1765,42,-162,64
7,57,430753,-376,-16343,1564,40,-167,61
7,58,430758,-607,-16659,1529,39,-111,54
7,59,430763,-823,-16699,1276,44,-46,49
7,60,430768,-543,-16695,1145,49,33,45
7,61,430773,-595,-16554,1371,50,92,35
7,62,430778,-610,-16437,1757,48,107,28
7,63,430783,-624,-16299,1843,47,105,31
7,64,430788,-486,-16257,1669,47,136,30
7,65,430793,-344,-16225,1751,52,197,20
7,66,430798,-394,-16111,2110,53,239,13
7,67,430803,-316,-16090,2475,53,222,14
7,68,430808,-86,-16092,2460,51,155,21
