event_id,seq,ts_ms,ax,ay,az,gx,gy,gz
41,0,2380340,435,-16537,-3220,101,-583,-25
41,1,2380345,505,-16601,-3040,101,-596,-35
41,2,2380350,541,-16528,-2937,95,-614,-44
41,3,2380355,771,-16543,-2817,96,-648,-44
41,4,2380360,799,-16528,-2706,93,-685,-49
41,5,2380365,937,-16465,-2471,96,-717,-48
41,6,2380370,1160,-16448,-2295,97,-747,-49
41,7,2380375,1173,-16462,-1954,96,-779,-47
41,8,2380380,1134,-16581,-1716,90,-818,-42
41,9,2380385,1005,-16544,-1500,80,-855,-41
41,10,2380390,978,-16572,-1449,77,-884,-40
41,11,2380395,1082,-16625,-1380,73,-896,-47
41,12,2380400,1206,-16635,-1271,68,-890,-53
41,13,2380405,1354,-16509,-1071,57,-880,-55
41,14,2380410,1529,-16421,-1139,50,-872,-51
41,15,2380415,1557,-16365,-1273,36,-850,-43
41,16,2380420,1501,-16319,-1454,22,-819,-39
41,17,2380425,1523,-16340,-1615,15,-774,-39
41,18,2380430,1559,-16347,-1306,7,-684,-46
41,19,2380435,1682,-16275,-902,5,-656,-48
41,20,2380440,1782,-16186,-564,-1,-648,-43
41,21,2380445,1722,-16165,-208,-13,-660,-36
41,22,2380450,1571,-16219,-219,-28,-693,-24
41,23,2380455,1400,-16290,-183,-36,-718,-17
41,24,2380460,1301,-16331,-206,-40,-739,-14
41,25,2380465,1232,-16309,-33,-39,-748,-12
41,26,2380470,1227,-16292,383,-39,-756,-15
41,27,2380475,1208,-16282,817,-48,-776,-13
41,28,2380480,1253,-16287,929,-60,-812,-4
41,29,2380485,1234,-16222,865,-77,-835,4
41,30,2380490,1100,-16189,616,-92,-850,9
41,31,2380495,954,-16223,293,-99,-841,13
41,32,2380500,944,-16242,-78,-107,-808,13
41,33,2380505,1019,-16329,-257,-113,-755,11
41,34,2380510,1194,-16280,-427,-121,-697,6
41,35,2380515,1332,-16299,-479,-130,-642,9
41,36,2380520,1390,-16020,-673,-141,-613,6
41,37,2380525,1469,-16122,-523,-144,-562,18
41,38,2380530,1354,-16106,-347,-143,-531,19
41,39,2380535,1201,-16399,-448,-141,-540,32
41,40,2380540,1353,-16498,-337,-146,-547,29
41,41,2380545,1645,-16431,-450,-156,-574,25
41,42,2380550,1847,-16439,-419,-158,-609,31
41,43,2380555,2204,-16273,-327,-148,-648,34
41,44,2380560,2476,-16220,-115,-139,-697,43
41,45,2380565,2560,-16213,237,-134,-737,58
41,46,2380570,2612,-16323,608,-133,-784,70
41,47,2380575,2646,-16362,797,-139,-832,83
41,48,2380580,2542,-16371,898,-144,-863,88
41,49,2380585,2693,-16487,967,-145,-864,93
41,50,2380590,2936,-16555,945,-148,-839,95
41,51,2380595,3115,-16415,960,-153,-788,101
41,52,2380600,3241,-16395,854,-166,-731,110
41,53,2380605,3266,-16324,703,-178,-666,121
41,54,2380610,3057,-16225,727,-186,-594,132
41,55,2380615,2612,-16220,973,-186,-513,139
41,56,2380620,2265,-16373,1276,-184,-442,148
41,57,2380625,1800,-16378,1856,-185,-391,146
41,58,2380630,1427,-16200,2272,-200,-385,141
41,59,2380635,1202,-16053,2431,-212,-414,139
41,60,2380640,1042,-15936,2316,-221,-459,139
41,61,2380645,1079,-15823,2047,-222,-493,144
41,62,2380650,1044,-15771,2005,-222,-509,138
41,63,2380655,1014,-15822,2045,-222,-523,134
41,64,2380660,1138,-15885,2103,-222,-535,133
41,65,2380665,1094,-15784,2176,-232,-537,132
41,66,2380670,1102,-15719,2117,-241,-527,134
41,67,2380675,1057,-15744,2057,-247,-503,133
41,68,2380680,904,-15786,1898,-254,-467,127
41,69,2380685,941,-15760,1653,-263,-416,123
41,70,2380690,1088,-15776,1358,-272,-356,112
41,71,2380695,1252,-15815,1217,-287,-290,102
41,72,2380700,1618,-15924,997,-293,-226,96
41,73,2380705,1943,-16043,949,-289,-172,87
41,74,2380710,2160,-16204,1113,-288,-136,87
41,75,2380715,2296,-16371,1381,-288,-124,91
41,76,2380720,2318,-16508,1656,-288,-148,97
41,77,2380725,2227,-16564,1782,-290,-200,105
41,78,2380730,2079,-16551,1870,-289,-272,110
41,79,2380735,1887,-16507,1926,-286,-351,111
41,80,2380740,1712,-16485,1993,-278,-431,111
41,81,2380745,1517,-16432,1928,-276,-502,111
41,82,2380750,1423,-16452,1877,-274,-552,117
41,83,2380755,1234,-16388,1800,-281,-577,117
41,84,2380760,1039,-16439,1552,-282,-585,115
41,85,2380765,1010,-16532,1183,-285,-567,111
41,86,2380770,1056,-16609,1020,-283,-519,103
41,87,2380775,1135,-16626,1035,-284,-452,96
41,88,2380780,1356,-16597,1192,-288,-383,88
41,89,2380785,1475,-16663,1315,-289,-329,81
41,90,2380790,1572,-16791,1228,-293,-288,80
41,91,2380795,1769,-16955,1219,-299,-250,75
41,92,2380800,1848,-17059,961,-299,-203,79
41,93,2380805,1913,-17032,975,-292,-189,79
41,94,2380810,1803,-16967,1116,-282,-186,84
41,95,2380815,1654,-16850,1388,-274,-199,83
41,96,2380820,1497,-16837,1644,-270,-230,84
41,97,2380825,1325,-16820,1683,-270,-277,86
41,98,2380830,1104,-16745,1443,-272,-320,90
41,99,2380835,905,-16688,1172,-269,-345,87
41,100,2380840,861,-16658,880,-264,-349,80
41,101,2380845,821,-16581,763,-256,-329,75
41,102,2380850,817,-16567,756,-249,-300,72
41,103,2380855,730,-16600,772,-247,-271,68
41,104,2380860,660,-16649,660,-247,-241,64
41,105,2380865,624,-16686,443,-248,-206,65
41,106,2380870,547,-16726,101,-246,-164,59
41,107,2380875,511,-16766,-326,-244,-110,49
41,108,2380880,462,-16819,-590,-239,-49,40
41,109,2380885,455,-16770,-882,-235,17,39
41,110,2380890,429,-16725,-974,-226,73,34
41,111,2380895,279,-16697,-1137,-217,119,30
41,112,2380900,162,-16714,-1117,-208,155,27
41,113,2380905,86,-16750,-1260,-200,170,21
41,114,2380910,123,-16731,-1284,-189,180,13
41,115,2380915,308,-16670,-1323,-177,174,7
41,116,2380920,508,-16607,-1329,-161,162,2
41,117,2380925,726,-16562,-1175,-147,140,0
41,118,2380930,834,-16508,-1111,-135,103,6
41,119,2380935,751,-16478,-1148,-120,60,16
41,120,2380940,481,-16499,-1257,-110,25,19
41,121,2380945,109,-16574,-1527,-101,-4,21
41,122,2380950,-177,-16655,-1797,-88,-10,21
41,123,2380955,-437,-16671,-1986,-75,5,14
41,124,2380960,-539,-16662,-2061,-63,44,6
41,125,2380965,-455,-16700,-2024,-48,87,-5
41,126,2380970,-324,-16743,-2049,-42,137,-12
41,127,2380975,-173,-16836,-2218,-36,180,-16
41,128,2380980,-77,-16912,-2385,-28,231,-19
41,129,2380985,-67,-16885,-2408,-17,286,-19
41,130,2380990,-133,-16855,-2313,-5,324,-19
41,131,2380995,-76,-16815,-2056,11,344,-22
41,132,2381000,-27,-16753,-1673,27,337,-25
41,133,2381005,114,-16652,-1322,38,304,-32
41,134,2381010,294,-16492,-1005,49,255,-32
41,135,2381015,560,-16436,-755,64,187,-27
41,136,2381020,776,-16419,-574,76,119,-22
41,137,2381025,939,-16486,-439,86,54,-20
41,138,2381030,1000,-16535,-360,98,2,-14
41,139,2381035,1068,-16634,-455,106,-32,-8
41,140,2381040,1015,-16793,-499,108,-40,-5
41,141,2381045,932,-16820,-648,109,-19,-1
41,142,2381050,862,-16878,-810,112,28,-2
41,143,2381055,860,-16911,-933,116,99,-6
41,144,2381060,854,-16984,-955,117,188,-11
41,145,2381065,941,-17034,-956,115,284,-16
41,146,2381070,1057,-17076,-992,113,382,-15
41,147,2381075,1151,-17038,-949,109,475,-19
41,148,2381080,1308,-16989,-916,110,553,-20
41,149,2381085,1444,-16866,-668,116,620,-22
41,150,2381090,1566,-16732,-274,123,659,-18
41,151,2381095,1565,-16628,415,127,662,-12
41,152,2381100,1517,-16537,1201,130,631,-6
41,153,2381105,1542,-16484,1869,132,571,1
41,154,2381110,1420,-16357,2608,133,498,6
41,155,2381115,1433,-16225,3233,130,411,14
41,156,2381120,1543,-16200,3784,125,319,19
41,157,2381125,1423,-16224,4350,119,227,22
41,158,2381130,1439,-16411,4680,111,137,29
41,159,2381135,1303,-16571,4771,99,70,38
41,160,2381140,1106,-16729,4705,81,33,44
41,161,2381145,1037,-16854,4357,61,33,45
41,162,2381150,1000,-16917,3965,42,76,39
41,163,2381155,1158,-17024,3596,24,147,33
41,164,2381160,1596,-16899,3526,7,245,21
41,165,2381165,2816,-16924,4355,-19,454,4
41,166,2381170,3391,-16933,5156,-37,526,12
41,167,2381175,3698,-16918,6007,-52,556,27
41,168,2381180,3764,-16983,6719,-70,536,43
41,169,2381185,3688,-17036,7221,-89,477,59
41,170,2381190,3518,-17084,7479,-106,401,74
41,171,2381195,3393,-17044,7525,-127,330,80
41,172,2381200,3281,-17029,7256,-147,269,85
41,173,2381205,3286,-16982,7018,-165,245,90
41,174,2381210,3344,-16868,6720,-186,247,95
41,175,2381215,3269,-16784,6456,-204,276,104
41,176,2381220,3173,-16802,6141,-227,338,112
41,177,2381225,2914,-16782,5902,-248,419,123
41,178,2381230,2528,-16763,5459,-277,513,129
41,179,2381235,2071,-16724,4820,-301,615,126
41,180,2381240,1775,-16682,3867,-324,727,122
41,181,2381245,1634,-16686,2773,-348,854,111
41,182,2381250,1733,-16731,1751,-363,994,102
41,183,2381255,2037,-16701,953,-370,1130,96
41,184,2381260,2322,-16526,487,-369,1252,92
41,185,2381265,2485,-16399,461,-363,1344,96
41,186,2381270,2528,-16306,856,-353,1383,103
41,187,2381275,2498,-16282,1263,-347,1363,113
41,188,2381280,2364,-16170,1586,-343,1294,122
41,189,2381285,2283,-15944,1692,-344,1191,128
41,190,2381290,2408,-15742,1736,-338,1079,134
41,191,2381295,2621,-15606,1774,-323,968,136
41,192,2381300,2731,-15718,1720,-311,863,142
41,193,2381305,2684,-15927,1482,-307,761,160
41,194,2381310,2477,-16137,916,-310,676,182
41,195,2381315,1945,-16386,-42,-313,619,193
41,196,2381320,1401,-16635,-1203,-310,623,198
41,197,2381325,1040,-16824,-2131,-299,690,190
41,198,2381330,923,-16884,-2910,-286,802,175
41,199,2381335,1139,-16859,-3200,-277,940,155
41,200,2381340,1578,-16932,-3395,-270,1071,141
41,201,2381345,2121,-16889,-3434,-264,1190,138
41,202,2381350,2471,-16734,-3231,-252,1293,142
41,203,2381355,2667,-16640,-2969,-230,1360,149
