event_id,seq,ts_ms,ax,ay,az,gx,gy,gz
8,0,274521,1831,-16863,1733,116,-590,253
8,1,274526,1619,-16818,1783,111,-596,260
8,2,274531,1754,-16800,1740,102,-606,269
8,3,274536,2124,-16779,1309,97,-592,278
8,4,274541,2280,-16834,1271,88,-527,277
8,5,274546,2023,-16823,1584,75,-457,276
8,6,274551,1748,-16654,1552,68,-434,279
8,7,274556,1739,-16603,1347,63,-421,289
8,8,274561,1956,-16576,1401,52,-378,297
8,9,274566,2027,-16510,1952,40,-321,299
8,10,274571,1840,-16464,2283,33,-302,302
8,11,274576,956,-16302,3430,35,-312,311
8,12,274581,1740,-16265,-151,38,-409,326
8,13,274586,2297,-16461,1272,11,-330,318
8,14,274591,748,-15818,4139,-10,-373,311
8,15,274596,1615,-16016,588,24,-517,334
8,16,274601,1808,-16188,411,0,-302,348
8,17,274606,1582,-16009,2915,-22,-261,338
8,18,274611,1171,-15898,3429,-22,-447,336
8,19,274616,1077,-16023,1655,-6,-571,351
8,20,274621,1067,-16048,714,-16,-457,351
8,21,274626,1113,-15981,2001,-34,-280,353
8,22,274631,1262,-15878,3130,-42,-301,361
8,23,274636,1463,-15888,2543,-37,-459,367
8,24,274641,1326,-15966,1576,-37,-529,364
8,25,274646,935,-16000,1749,-49,-468,364
8,26,274651,751,-16086,2383,-56,-401,371
8,27,274656,940,-16127,2164,-57,-416,377
8,28,274661,1208,-16176,1524,-60,-427,384
8,29,274666,1037,-16197,1534,-72,-390,379
8,30,274671,696,-16144,2082,-79,-348,378
8,31,274676,630,-16165,2140,-81,-337,387
8,32,274681,873,-16257,1748,-87,-323,389
8,33,274686,952,-16314,1717,-95,-281,391
8,34,274691,784,-16338,2157,-100,-256,388
8,35,274696,540,-16218,2347,-104,-275,387
8,36,274701,453,-16178,2087,-103,-300,393
8,37,274706,543,-16074,1880,-107,-294,394
8,38,274711,578,-16061,1963,-110,-284,395
8,39,274716,470,-16103,2270,-114,-286,395
8,40,274721,186,-16042,2203,-115,-316,389
8,41,274726,-27,-16146,1890,-114,-341,394
8,42,274731,47,-16122,1815,-115,-336,395
8,43,274736,153,-16032,2072,-121,-318,391
8,44,274741,211,-16011,2108,-123,-317,386
8,45,274746,29,-16033,1913,-123,-317,383
8,46,274751,-221,-16070,1741,-127,-311,378
8,47,274756,-247,-16018,1837,-129,-297,375
8,48,274761,-62,-15992,2055,-132,-294,373
8,49,274766,112,-15964,2231,-130,-302,371
8,50,274771,112,-15925,2493,-134,-309,363
8,51,274776,330,-16120,1895,-134,-323,357
8,52,274781,-249,-15953,2075,-134,-318,352
8,53,274786,-543,-16123,2088,-136,-349,356
8,54,274791,-74,-15924,1683,-136,-366,359
8,55,274796,631,-16046,1551,-134,-312,349
8,56,274801,228,-16088,1907,-144,-250,330
8,57,274806,-407,-16058,1828,-143,-245,325
8,58,274811,-581,-16065,1353,-145,-237,326
8,59,274816,-209,-16032,1199,-149,-179,327
8,60,274821,249,-16061,1701,-156,-96,319
8,61,274826,159,-16034,2053,-159,-55,304
8,62,274831,-156,-16096,1786,-158,-64,294
8,63,274836,-517,-16119,1398,-158,-62,290
8,64,274841,-525,-16195,1613,-163,-19,284
8,65,274846,-315,-16304,1984,-165,16,278
8,66,274851,-96,-16424,2134,-165,13,268
8,67,274856,-415,-16488,2249,-161,-10,259
8,68,274861,-744,-16286,2000,-156,-43,241
8,69,274866,-867,-16338,1970,-156,-79,247
8,70,274871,-562,-16245,2304,-155,-96,239
8,71,274876,-496,-16180,2515,-149,-136,228
8,72,274881,-491,-16285,2157,-144,-205,222
8,73,274886,-856,-16295,1978,-142,-244,211
8,74,274891,-1045,-16204,2006,-139,-264,201
8,75,274896,-986,-16137,2082,-136,-279,194
8,76,274901,-694,-16199,1899,-133,-295,191
8,77,274906,-524,-16210,1812,-133,-297,174
8,78,274911,-638,-16241,1834,-131,-305,163
8,79,274916,-710,-16204,1790,-127,-320,156
8,80,274921,-650,-16199,1621,-126,-324,147
8,81,274926,-461,-16177,1412,-125,-300,137
8,82,274931,-375,-16221,1368,-124,-265,127
8,83,274936,-397,-16233,1361,-123,-235,119
8,84,274941,-434,-16140,1384,-127,-212,109
8,85,274946,-362,-16084,1362,-125,-192,100
8,86,274951,-227,-16087,1372,-123,-164,94
8,87,274956,-96,-16076,1517,-126,-138,85
8,88,274961,-88,-16002,1590,-117,-144,73
8,89,274966,-30,-15964,1664,-117,-153,72
8,90,274971,114,-15902,1866,-113,-164,63
8,91,274976,243,-15814,1850,-108,-187,59
8,92,274981,278,-15911,1710,-102,-218,58
8,93,274986,198,-15919,1632,-101,-246,53
8,94,274991,62,-15994,1576,-98,-267,52
8,95,274996,74,-16001,1476,-94,-280,51
8,96,275001,143,-16024,1354,-91,-277,50
8,97,275006,171,-16068,1264,-89,-261,44
8,98,275011,121,-16112,1195,-89,-244,40
8,99,275016,24,-16169,1068,-90,-223,36
8,100,275021,-42,-16210,964,-88,-191,34
8,101,275026,4,-16248,847,-87,-144,31
8,102,275031,-48,-16379,849,-90,-83,23
8,103,275036,-151,-16464,823,-91,-24,13
